ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.66,-0.07,0.81,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.68,0.1,0.68,0.16,0.58,0.42,0.41,0.54,0.49,0.48,0.15,0.54,0.01,0.42,0.74,0.19,0.51,0.47,0.6,0.19,0.1,0.47
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.11,0.0,1.0,0.82,0.11
0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.11,0.0,1.0,0.82,0.11
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.67,0.69,0.34,0.72,0.11,0.72,0.22,0.51,0.23,0.61,0.23,0.69,0.23,0.48,0.22,0.97,0.02,0.97,0.02,0.92,0.02,0.95,0.02
0.65,0.65,0.32,0.79,0.07,0.82,0.12,0.64,0.13,0.73,0.12,0.83,0.13,0.74,0.12,0.95,0.04,0.87,0.08,0.86,0.04,0.82,0.08
0.67,0.74,0.33,0.81,0.09,0.82,0.18,0.57,0.36,0.69,0.27,0.3,0.36,0.11,0.18,0.97,0.02,0.87,0.1,0.95,0.02,0.63,0.1
0.62,0.57,0.3,0.6,0.13,0.63,0.21,0.36,0.19,0.49,0.2,0.78,0.19,0.67,0.21,0.98,0.02,0.87,0.07,0.93,0.02,0.85,0.07
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.66,0.69,0.33,0.62,0.17,0.59,0.36,0.35,0.41,0.47,0.39,0.48,0.41,0.24,0.36,0.98,0.01,0.92,0.05,0.96,0.01,0.86,0.05
0.58,0.72,0.19,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.82,0.08,0.0,1.0
0.66,0.66,0.32,0.56,0.18,0.53,0.39,0.31,0.36,0.42,0.38,0.57,0.36,0.31,0.39,0.98,0.02,0.95,0.03,0.94,0.02,0.92,0.03
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.69,0.71,0.37,0.86,0.05,0.9,0.08,0.73,0.12,0.81,0.1,0.83,0.12,0.75,0.08,0.93,0.05,0.88,0.08,0.84,0.05,0.8,0.08
0.51,0.23,0.17,0.65,0.04,0.86,0.02,0.28,0.05,0.57,0.04,0.95,0.05,0.98,0.02,0.88,0.1,0.77,0.12,0.58,0.1,0.8,0.12
0.66,0.67,0.33,0.67,0.13,0.66,0.27,0.43,0.28,0.55,0.28,0.65,0.28,0.45,0.27,0.99,0.01,0.97,0.02,0.98,0.01,0.95,0.02
0.69,0.72,0.36,0.75,0.11,0.76,0.21,0.5,0.3,0.63,0.26,0.57,0.3,0.38,0.21,0.99,0.01,0.99,0.01,0.97,0.01,0.98,0.01
0.66,0.75,0.34,0.87,0.06,0.9,0.1,0.66,0.29,0.78,0.2,0.36,0.29,0.23,0.1,0.95,0.03,1.0,0.0,0.92,0.03,1.0,0.0
0.69,0.74,0.37,0.78,0.1,0.81,0.17,0.53,0.3,0.67,0.23,0.55,0.3,0.4,0.17,0.99,0.01,0.96,0.03,0.98,0.01,0.92,0.03
0.6,0.51,0.26,0.68,0.09,0.74,0.12,0.45,0.14,0.59,0.13,0.85,0.14,0.82,0.12,0.99,0.01,0.81,0.11,0.96,0.01,0.8,0.11
0.66,0.66,0.34,0.62,0.15,0.61,0.3,0.39,0.28,0.5,0.29,0.66,0.28,0.42,0.3,1.0,0.0,1.0,0.0,0.99,0.0,1.0,0.0
0.52,0.26,0.19,0.19,0.15,0.21,0.22,0.07,0.1,0.14,0.16,0.9,0.1,0.76,0.22,0.91,0.08,0.86,0.07,0.58,0.08,0.87,0.07
0.6,0.53,0.26,0.18,0.33,0.17,0.66,0.05,0.47,0.11,0.56,0.52,0.47,0.24,0.66,0.85,0.13,0.87,0.08,0.52,0.13,0.83,0.08
0.69,0.73,0.37,0.8,0.08,0.83,0.14,0.58,0.22,0.7,0.18,0.68,0.22,0.54,0.14,0.97,0.02,0.93,0.05,0.93,0.02,0.87,0.05
0.64,0.62,0.31,0.74,0.09,0.78,0.13,0.53,0.16,0.66,0.15,0.8,0.16,0.74,0.13,0.98,0.01,0.85,0.09,0.95,0.01,0.81,0.09
0.55,0.71,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.65,0.62,0.32,0.62,0.14,0.62,0.26,0.38,0.23,0.5,0.24,0.73,0.23,0.55,0.26,0.99,0.01,0.93,0.04,0.97,0.01,0.91,0.04
0.69,0.72,0.38,0.91,0.03,0.98,0.01,0.82,0.07,0.9,0.04,0.9,0.07,0.96,0.01,0.93,0.05,0.83,0.12,0.82,0.05,0.72,0.12
0.67,0.69,0.35,0.94,0.02,0.95,0.03,0.81,0.07,0.88,0.05,0.9,0.07,0.91,0.03,0.95,0.04,0.77,0.16,0.87,0.04,0.67,0.16
0.6,0.51,0.27,0.68,0.08,0.78,0.09,0.4,0.13,0.59,0.11,0.85,0.13,0.86,0.09,0.95,0.04,0.8,0.11,0.85,0.04,0.79,0.11
0.66,0.71,0.31,0.61,0.19,0.6,0.39,0.28,0.67,0.44,0.53,0.1,0.67,0.03,0.39,0.9,0.07,0.79,0.17,0.8,0.07,0.52,0.17
0.66,0.75,0.33,0.94,0.03,0.98,0.02,0.85,0.12,0.92,0.07,0.67,0.12,0.76,0.02,0.89,0.07,0.88,0.1,0.82,0.07,0.64,0.1
0.69,0.75,0.38,0.87,0.06,0.91,0.08,0.69,0.2,0.8,0.14,0.66,0.2,0.56,0.08,0.94,0.04,0.92,0.06,0.89,0.04,0.81,0.06
0.55,0.37,0.23,0.37,0.14,0.44,0.2,0.13,0.15,0.29,0.17,0.84,0.15,0.76,0.2,0.88,0.11,0.83,0.09,0.54,0.11,0.84,0.09
0.69,0.75,0.36,0.74,0.13,0.76,0.24,0.42,0.5,0.59,0.37,0.22,0.5,0.04,0.24,0.95,0.03,0.8,0.18,0.91,0.03,0.38,0.18
0.7,0.75,0.39,0.79,0.09,0.82,0.16,0.54,0.3,0.68,0.23,0.54,0.3,0.35,0.16,0.99,0.01,0.99,0.01,0.98,0.01,0.97,0.01
0.57,0.72,0.14,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.68,0.75,0.36,0.74,0.13,0.77,0.22,0.41,0.53,0.59,0.38,0.16,0.53,0.05,0.22,0.94,0.04,0.84,0.13,0.89,0.04,0.52,0.13
0.53,0.32,0.18,0.16,0.21,0.17,0.33,0.06,0.2,0.12,0.27,0.8,0.2,0.65,0.33,0.9,0.09,0.88,0.06,0.65,0.09,0.89,0.06
0.56,0.71,0.09,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.58,0.72,0.16,0.99,0.01,0.99,0.01,0.97,0.03,0.98,0.02,0.61,0.03,0.55,0.01,0.84,0.1,0.95,0.05,0.78,0.1,0.74,0.05
0.58,0.72,0.19,1.0,0.0,1.0,0.0,0.96,0.04,0.98,0.02,0.67,0.04,0.72,0.0,0.82,0.12,0.96,0.04,0.75,0.12,0.72,0.04
0.65,0.63,0.33,0.86,0.05,0.95,0.03,0.67,0.1,0.81,0.07,0.88,0.1,0.95,0.03,0.98,0.02,0.79,0.13,0.93,0.02,0.74,0.13
0.65,0.63,0.33,0.78,0.07,0.87,0.08,0.55,0.14,0.71,0.11,0.83,0.14,0.84,0.08,1.0,0.0,0.81,0.11,1.0,0.0,0.77,0.11
0.58,0.72,0.18,0.97,0.01,0.98,0.02,0.92,0.08,0.95,0.05,0.38,0.08,0.28,0.02,0.85,0.09,0.97,0.02,0.8,0.09,0.89,0.02
0.68,0.75,0.36,0.97,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.94,0.01,0.87,0.1,0.87,0.1,0.75,0.1,0.68,0.1
0.65,0.64,0.32,0.43,0.25,0.41,0.51,0.16,0.5,0.28,0.51,0.44,0.5,0.21,0.51,0.89,0.09,0.89,0.07,0.7,0.09,0.83,0.07
