ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.64,0.72,0.28,0.91,0.04,0.87,0.13,0.87,0.09,0.87,0.11,0.78,0.09,0.32,0.13,0.85,0.1,0.88,0.09,0.77,0.1,0.7,0.09
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.55,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.56,0.32,0.0,1.0,0.47,0.32
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.7,0.14,0.92,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.17,0.0,1.0,0.67,0.17,0.0,1.0
0.48,0.05,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.11,0.0,1.0,0.81,0.11
0.48,0.06,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.81,0.11
0.49,0.08,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.12,0.0,1.0,0.8,0.12
0.52,0.6,0.02,0.27,0.36,0.21,0.79,0.08,0.85,0.14,0.82,0.08,0.85,0.01,0.79,0.63,0.3,0.49,0.47,0.38,0.3,0.16,0.47
0.5,0.56,-0.0,0.03,0.46,0.03,0.92,0.0,1.0,0.01,0.96,0.0,1.0,0.05,0.92,0.0,1.0,0.54,0.35,0.0,1.0,0.4,0.35
0.55,0.64,0.07,0.51,0.24,0.43,0.56,0.21,0.73,0.32,0.65,0.11,0.73,0.04,0.56,0.67,0.26,0.61,0.31,0.47,0.26,0.39,0.31
0.53,0.29,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.71,0.16,0.0,1.0,0.73,0.16
0.58,0.7,0.18,0.88,0.06,0.88,0.12,0.63,0.34,0.76,0.23,0.16,0.34,0.08,0.12,0.74,0.18,0.79,0.18,0.64,0.18,0.41,0.18
0.6,0.63,0.2,0.5,0.21,0.43,0.47,0.2,0.46,0.32,0.46,0.48,0.46,0.28,0.47,0.71,0.24,0.68,0.22,0.44,0.24,0.57,0.22
0.64,0.72,0.28,0.87,0.06,0.84,0.16,0.76,0.19,0.8,0.17,0.56,0.19,0.15,0.16,0.89,0.07,0.82,0.15,0.83,0.07,0.5,0.15
0.66,0.69,0.33,0.82,0.07,0.81,0.15,0.69,0.14,0.75,0.15,0.79,0.14,0.6,0.15,0.92,0.05,0.95,0.03,0.84,0.05,0.92,0.03
0.62,0.7,0.25,0.79,0.1,0.77,0.22,0.55,0.42,0.66,0.32,0.13,0.42,0.03,0.22,0.97,0.02,0.8,0.17,0.96,0.02,0.48,0.17
0.6,0.71,0.22,0.86,0.07,0.0,1.0,0.66,0.34,0.33,0.67,0.05,0.34,0.0,1.0,0.94,0.04,0.0,1.0,0.92,0.04,0.0,1.0
0.61,0.71,0.23,0.86,0.07,0.86,0.14,0.65,0.34,0.76,0.24,0.06,0.34,0.03,0.14,0.94,0.03,0.9,0.08,0.92,0.03,0.72,0.08
0.61,0.7,0.22,0.81,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.97,0.02,0.0,1.0,0.96,0.02,0.0,1.0
0.64,0.62,0.28,0.41,0.27,0.35,0.61,0.19,0.53,0.27,0.57,0.39,0.53,0.09,0.61,0.94,0.04,0.73,0.21,0.87,0.04,0.51,0.21
0.64,0.68,0.27,0.59,0.2,0.57,0.43,0.27,0.69,0.42,0.56,0.06,0.69,0.02,0.43,0.89,0.08,0.79,0.16,0.81,0.08,0.55,0.16
0.63,0.71,0.26,0.77,0.11,0.75,0.24,0.5,0.46,0.62,0.35,0.12,0.46,0.03,0.24,1.0,0.0,0.81,0.16,0.99,0.0,0.48,0.16
0.61,0.71,0.24,0.85,0.08,0.83,0.17,0.65,0.32,0.74,0.24,0.18,0.32,0.05,0.17,0.93,0.04,0.81,0.16,0.91,0.04,0.47,0.16
0.65,0.71,0.3,0.73,0.13,0.72,0.28,0.44,0.5,0.58,0.39,0.17,0.5,0.04,0.28,0.97,0.02,0.8,0.17,0.95,0.02,0.45,0.17
0.64,0.63,0.3,0.54,0.19,0.51,0.4,0.32,0.35,0.42,0.38,0.59,0.35,0.33,0.4,0.98,0.01,0.94,0.04,0.96,0.01,0.91,0.04
0.64,0.71,0.28,0.72,0.14,0.72,0.28,0.42,0.55,0.57,0.42,0.08,0.55,0.03,0.28,0.95,0.03,0.85,0.12,0.92,0.03,0.63,0.12
0.61,0.72,0.26,0.98,0.01,0.95,0.04,0.97,0.02,0.96,0.03,0.92,0.02,0.5,0.04,0.82,0.12,0.92,0.06,0.74,0.12,0.75,0.06
0.62,0.71,0.26,0.87,0.06,0.85,0.15,0.73,0.23,0.79,0.19,0.43,0.23,0.14,0.15,0.9,0.06,0.85,0.13,0.86,0.06,0.58,0.13
0.67,0.71,0.33,0.78,0.1,0.75,0.23,0.58,0.27,0.67,0.25,0.56,0.27,0.26,0.23,0.95,0.04,0.9,0.07,0.9,0.04,0.78,0.07
0.64,0.62,0.29,0.97,0.01,0.96,0.03,0.96,0.01,0.96,0.02,0.98,0.01,0.94,0.03,0.91,0.07,0.81,0.12,0.8,0.07,0.75,0.12
