ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.6,0.7,0.2,0.84,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.95,0.03,0.0,1.0,0.93,0.03,0.0,1.0
0.5,0.11,0.12,0.18,0.06,0.14,0.11,0.56,0.01,0.35,0.06,0.99,0.01,0.89,0.11,0.7,0.28,0.85,0.08,0.24,0.28,0.87,0.08
0.6,0.71,0.23,0.86,0.07,0.0,1.0,0.66,0.34,0.33,0.67,0.02,0.34,0.0,1.0,0.95,0.03,0.0,1.0,0.93,0.03,0.0,1.0
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.57,0.39,0.24,0.6,0.08,0.59,0.14,0.63,0.04,0.61,0.09,0.96,0.04,0.82,0.14,0.91,0.08,0.88,0.07,0.69,0.08,0.87,0.07
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.64,0.59,0.3,0.81,0.06,0.83,0.09,0.77,0.06,0.8,0.07,0.93,0.06,0.83,0.09,0.91,0.07,0.88,0.07,0.78,0.07,0.85,0.07
0.65,0.67,0.3,0.88,0.05,0.87,0.09,0.85,0.06,0.86,0.07,0.91,0.06,0.76,0.09,0.89,0.08,0.91,0.05,0.77,0.08,0.87,0.05
0.63,0.71,0.28,0.93,0.03,0.89,0.1,0.91,0.06,0.9,0.08,0.84,0.06,0.42,0.1,0.85,0.1,0.93,0.06,0.77,0.1,0.81,0.06
0.56,0.39,0.21,0.72,0.05,0.69,0.09,0.38,0.08,0.53,0.08,0.92,0.08,0.89,0.09,0.81,0.17,0.8,0.11,0.44,0.17,0.8,0.11
0.62,0.71,0.26,0.94,0.03,0.91,0.09,0.93,0.06,0.92,0.07,0.82,0.06,0.32,0.09,0.84,0.1,0.88,0.1,0.77,0.1,0.66,0.1
0.5,0.12,0.14,0.09,0.05,0.08,0.09,0.0,1.0,0.04,0.55,0.0,1.0,0.91,0.09,0.0,1.0,0.77,0.12,0.0,1.0,0.79,0.12
0.58,0.42,0.23,0.48,0.11,0.45,0.21,0.17,0.12,0.31,0.16,0.88,0.12,0.75,0.21,0.79,0.19,0.76,0.14,0.31,0.19,0.75,0.14
0.59,0.71,0.22,0.98,0.01,1.0,0.0,0.88,0.11,0.94,0.06,0.58,0.11,0.93,0.0,0.8,0.13,0.96,0.03,0.72,0.13,0.85,0.03
0.61,0.71,0.23,0.99,0.0,0.99,0.01,0.9,0.07,0.95,0.04,0.76,0.07,0.9,0.01,0.81,0.13,0.99,0.01,0.73,0.13,0.97,0.01
0.63,0.7,0.27,0.93,0.03,0.93,0.05,0.72,0.17,0.82,0.11,0.71,0.17,0.78,0.05,0.79,0.15,0.9,0.07,0.64,0.15,0.81,0.07
0.64,0.65,0.28,0.68,0.12,0.62,0.28,0.36,0.27,0.49,0.28,0.68,0.27,0.49,0.28,0.77,0.18,0.74,0.18,0.5,0.18,0.64,0.18
0.5,0.15,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.13,0.0,1.0,0.78,0.13
0.63,0.63,0.27,0.58,0.15,0.52,0.35,0.24,0.31,0.38,0.33,0.65,0.31,0.45,0.35,0.74,0.22,0.72,0.19,0.41,0.22,0.62,0.19
