ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.5,0.1,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.07,0.0,1.0,0.87,0.07
0.57,0.49,0.16,0.04,0.45,0.03,0.94,0.01,0.77,0.02,0.85,0.22,0.77,0.04,0.94,0.9,0.07,0.63,0.3,0.81,0.07,0.39,0.3
0.6,0.61,0.2,0.4,0.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.09,0.0,1.0,0.77,0.09,0.0,1.0
0.48,0.06,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.09,0.0,1.0,0.85,0.09
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.59,0.44,0.27,0.66,0.07,0.67,0.12,0.7,0.03,0.69,0.07,0.96,0.03,0.83,0.12,0.91,0.07,0.88,0.07,0.69,0.07,0.87,0.07
0.56,0.7,0.16,0.96,0.02,0.0,1.0,0.89,0.11,0.45,0.56,0.05,0.11,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.54,0.7,0.11,0.99,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.22,0.02,0.0,1.0,0.84,0.1,0.0,1.0,0.81,0.1,0.0,1.0
0.66,0.69,0.32,0.85,0.06,0.84,0.12,0.76,0.11,0.8,0.11,0.82,0.11,0.63,0.12,0.91,0.07,0.95,0.03,0.81,0.07,0.91,0.03
0.64,0.66,0.28,0.51,0.23,0.46,0.52,0.23,0.63,0.35,0.57,0.23,0.63,0.04,0.52,0.91,0.06,0.72,0.24,0.83,0.06,0.4,0.24
0.64,0.67,0.28,0.56,0.22,0.54,0.46,0.25,0.69,0.4,0.57,0.11,0.69,0.03,0.46,0.88,0.08,0.81,0.15,0.79,0.08,0.59,0.15
0.6,0.51,0.26,0.51,0.15,0.49,0.29,0.36,0.19,0.42,0.24,0.79,0.19,0.6,0.29,0.98,0.02,0.94,0.03,0.93,0.02,0.93,0.03
0.66,0.72,0.32,0.8,0.09,0.76,0.23,0.63,0.26,0.7,0.24,0.53,0.26,0.15,0.23,0.92,0.05,0.82,0.15,0.87,0.05,0.51,0.15
0.5,0.14,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.13,0.0,1.0,0.78,0.13
0.63,0.56,0.29,0.97,0.01,0.95,0.02,0.96,0.01,0.95,0.01,0.99,0.01,0.96,0.02,0.9,0.08,0.82,0.11,0.74,0.08,0.78,0.11
0.61,0.71,0.23,0.99,0.01,0.96,0.04,0.94,0.04,0.95,0.04,0.85,0.04,0.63,0.04,0.81,0.12,0.94,0.04,0.73,0.12,0.85,0.04
0.63,0.72,0.28,0.9,0.05,0.86,0.13,0.84,0.12,0.85,0.12,0.69,0.12,0.17,0.13,0.86,0.09,0.82,0.16,0.79,0.09,0.47,0.16
0.64,0.7,0.29,0.92,0.03,0.91,0.08,0.93,0.04,0.92,0.06,0.92,0.04,0.67,0.08,0.86,0.1,0.97,0.02,0.76,0.1,0.94,0.02
0.58,0.52,0.19,0.07,0.32,0.06,0.64,0.0,1.0,0.03,0.82,0.0,1.0,0.34,0.64,0.0,1.0,0.62,0.26,0.0,1.0,0.56,0.26
0.53,0.28,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.72,0.16,0.0,1.0,0.73,0.16
0.55,0.53,0.12,0.02,0.38,0.02,0.75,0.0,1.0,0.01,0.88,0.0,1.0,0.24,0.75,0.0,1.0,0.6,0.27,0.0,1.0,0.54,0.27
