ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.1,0.0,1.0,0.84,0.1
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.1,0.0,1.0,0.84,0.1
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.81,0.1,0.0,1.0
0.58,0.71,0.2,0.97,0.02,0.99,0.01,0.9,0.09,0.95,0.05,0.47,0.09,0.68,0.01,0.88,0.07,0.82,0.14,0.84,0.07,0.57,0.14
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.81,0.1,0.0,1.0
0.66,0.67,0.31,0.96,0.01,1.0,0.0,0.97,0.01,0.98,0.01,0.98,0.01,0.99,0.0,0.9,0.07,0.85,0.1,0.78,0.07,0.78,0.1
0.47,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.84,0.1
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.81,0.1,0.0,1.0
0.49,0.1,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.81,0.11
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.81,0.1,0.0,1.0
0.67,0.71,0.34,1.0,0.0,0.94,0.05,0.99,0.0,0.96,0.03,1.0,0.0,0.84,0.05,0.9,0.07,0.82,0.13,0.79,0.07,0.69,0.13
0.66,0.68,0.32,0.99,0.0,0.91,0.06,0.96,0.01,0.94,0.03,0.98,0.01,0.83,0.06,0.9,0.07,0.81,0.13,0.79,0.07,0.71,0.13
0.6,0.52,0.25,0.57,0.11,0.5,0.24,0.3,0.14,0.4,0.19,0.85,0.14,0.69,0.24,0.82,0.15,0.75,0.15,0.5,0.15,0.73,0.15
0.55,0.34,0.22,0.55,0.06,0.48,0.13,0.39,0.04,0.43,0.09,0.95,0.04,0.85,0.13,0.9,0.08,0.77,0.13,0.6,0.08,0.78,0.13
0.54,0.7,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.66,0.66,0.32,0.83,0.06,0.76,0.16,0.58,0.15,0.67,0.15,0.82,0.15,0.66,0.16,0.84,0.13,0.78,0.14,0.61,0.13,0.7,0.14
0.62,0.72,0.27,0.98,0.01,0.99,0.01,0.97,0.03,0.98,0.02,0.91,0.03,0.85,0.01,0.87,0.09,0.92,0.06,0.8,0.09,0.78,0.06
0.6,0.72,0.23,0.99,0.0,0.99,0.01,0.97,0.02,0.98,0.01,0.89,0.02,0.72,0.01,0.87,0.08,0.82,0.15,0.81,0.08,0.52,0.15
0.55,0.35,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7,0.17,0.0,1.0,0.72,0.17
0.65,0.73,0.31,0.96,0.02,0.94,0.05,0.82,0.11,0.88,0.08,0.76,0.11,0.66,0.05,0.83,0.12,0.86,0.11,0.71,0.12,0.68,0.11
0.56,0.39,0.22,0.43,0.1,0.37,0.21,0.26,0.08,0.32,0.14,0.92,0.08,0.76,0.21,0.87,0.11,0.75,0.14,0.55,0.11,0.75,0.14
0.57,0.71,0.17,0.99,0.0,0.98,0.02,0.98,0.01,0.98,0.01,0.88,0.01,0.37,0.02,0.85,0.09,0.76,0.21,0.8,0.09,0.38,0.21
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.81,0.1,0.0,1.0
0.55,0.36,0.19,0.03,0.19,0.03,0.34,0.0,1.0,0.01,0.67,0.0,1.0,0.66,0.34,0.0,1.0,0.71,0.17,0.0,1.0,0.72,0.17
0.65,0.66,0.3,0.81,0.07,0.72,0.2,0.61,0.15,0.67,0.17,0.81,0.15,0.6,0.2,0.85,0.11,0.76,0.17,0.67,0.11,0.66,0.17
0.64,0.73,0.29,0.97,0.01,0.96,0.04,0.86,0.1,0.91,0.07,0.74,0.1,0.68,0.04,0.83,0.12,0.89,0.09,0.73,0.12,0.7,0.09
0.5,0.13,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.12,0.0,1.0,0.8,0.12
0.57,0.43,0.2,0.07,0.23,0.06,0.42,0.0,1.0,0.03,0.71,0.0,1.0,0.57,0.42,0.0,1.0,0.69,0.18,0.0,1.0,0.69,0.18
0.59,0.72,0.23,0.97,0.02,0.99,0.01,0.9,0.1,0.95,0.06,0.42,0.1,0.41,0.01,0.88,0.07,0.95,0.04,0.84,0.07,0.73,0.04
0.63,0.73,0.29,0.89,0.05,0.92,0.08,0.7,0.27,0.81,0.18,0.28,0.27,0.22,0.08,0.95,0.03,0.96,0.03,0.93,0.03,0.89,0.03
0.61,0.51,0.3,0.64,0.1,0.64,0.18,0.56,0.08,0.6,0.13,0.92,0.08,0.74,0.18,0.95,0.04,0.92,0.04,0.82,0.04,0.91,0.04
0.62,0.54,0.28,0.74,0.07,0.72,0.14,0.76,0.05,0.74,0.1,0.95,0.05,0.77,0.14,0.9,0.08,0.92,0.05,0.71,0.08,0.9,0.05
0.66,0.69,0.32,0.84,0.06,0.78,0.17,0.59,0.18,0.69,0.17,0.76,0.18,0.58,0.17,0.83,0.13,0.78,0.16,0.62,0.13,0.66,0.16
0.55,0.4,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.69,0.18,0.0,1.0,0.7,0.18
0.55,0.39,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.69,0.18,0.0,1.0,0.7,0.18
0.55,0.7,0.12,0.99,0.0,0.99,0.01,0.96,0.03,0.97,0.02,0.55,0.03,0.49,0.01,0.83,0.1,0.92,0.07,0.79,0.1,0.67,0.07
0.54,0.7,0.07,0.99,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.25,0.02,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.55,0.7,0.11,0.99,0.01,0.0,1.0,0.96,0.04,0.48,0.52,0.15,0.04,0.0,1.0,0.85,0.09,0.0,1.0,0.82,0.09,0.0,1.0
0.54,0.7,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.49,0.09,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.81,0.11
0.54,0.31,0.21,0.23,0.11,0.2,0.21,0.11,0.06,0.15,0.14,0.94,0.06,0.78,0.21,0.87,0.12,0.74,0.14,0.42,0.12,0.76,0.14
0.47,0.03,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.6,0.53,0.25,0.24,0.22,0.18,0.47,0.11,0.22,0.14,0.34,0.78,0.22,0.47,0.47,0.83,0.15,0.66,0.22,0.5,0.15,0.63,0.22
0.48,0.07,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.11,0.0,1.0,0.82,0.11
0.67,0.73,0.34,0.91,0.04,0.92,0.07,0.79,0.13,0.85,0.1,0.72,0.13,0.57,0.07,0.92,0.05,0.96,0.03,0.86,0.05,0.89,0.03
0.66,0.73,0.33,0.84,0.08,0.87,0.13,0.6,0.34,0.73,0.24,0.28,0.34,0.15,0.13,0.99,0.01,0.95,0.04,0.98,0.01,0.84,0.04
0.48,0.04,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.1,0.0,1.0,0.83,0.1
0.67,0.72,0.34,0.86,0.06,0.85,0.13,0.76,0.13,0.8,0.13,0.76,0.13,0.45,0.13,0.91,0.06,0.96,0.03,0.82,0.06,0.91,0.03
0.64,0.73,0.31,0.93,0.03,0.95,0.04,0.82,0.13,0.89,0.09,0.65,0.13,0.62,0.04,0.91,0.06,0.91,0.07,0.86,0.06,0.77,0.07
0.61,0.72,0.26,0.97,0.01,0.99,0.01,0.92,0.07,0.96,0.04,0.68,0.07,0.76,0.01,0.88,0.08,0.91,0.08,0.83,0.08,0.66,0.08
