ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.65,0.73,0.27,0.81,0.09,0.78,0.22,0.6,0.33,0.69,0.28,0.34,0.33,0.12,0.22,0.95,0.03,0.83,0.13,0.92,0.03,0.63,0.13
0.56,0.48,0.19,0.58,0.13,0.6,0.19,0.36,0.22,0.48,0.21,0.75,0.22,0.73,0.19,0.96,0.03,0.83,0.09,0.91,0.03,0.84,0.09
0.55,0.45,0.19,0.59,0.11,0.62,0.16,0.38,0.17,0.5,0.17,0.8,0.17,0.78,0.16,0.97,0.02,0.83,0.09,0.93,0.02,0.84,0.09
0.56,0.44,0.21,0.63,0.09,0.66,0.13,0.47,0.11,0.56,0.12,0.88,0.11,0.82,0.13,0.99,0.01,0.84,0.08,0.96,0.01,0.85,0.08
0.57,0.49,0.2,0.76,0.06,0.81,0.08,0.57,0.12,0.69,0.1,0.86,0.12,0.88,0.08,0.99,0.01,0.81,0.1,0.97,0.01,0.82,0.1
