ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.59,0.66,0.16,0.66,0.15,0.55,0.39,0.42,0.39,0.48,0.39,0.45,0.39,0.26,0.39,0.79,0.15,0.66,0.23,0.63,0.15,0.57,0.23
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.6,0.73,0.19,0.93,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.86,0.06,0.0,1.0
0.56,0.71,0.04,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.61,0.59,0.24,0.27,0.34,0.25,0.7,0.06,0.75,0.15,0.72,0.22,0.75,0.08,0.7,0.78,0.19,0.81,0.13,0.45,0.19,0.73,0.13
0.56,0.44,0.22,0.06,0.36,0.05,0.7,0.01,0.42,0.03,0.56,0.58,0.42,0.27,0.7,0.79,0.2,0.86,0.08,0.22,0.2,0.84,0.08
0.67,0.71,0.32,0.71,0.13,0.69,0.28,0.44,0.39,0.56,0.34,0.44,0.39,0.24,0.28,0.99,0.01,0.94,0.04,0.98,0.01,0.89,0.04
0.64,0.63,0.31,0.62,0.14,0.62,0.28,0.38,0.27,0.5,0.28,0.67,0.27,0.5,0.28,0.98,0.01,0.95,0.03,0.95,0.01,0.94,0.03
0.58,0.73,0.17,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.83,0.08,0.0,1.0
0.63,0.73,0.24,0.91,0.04,0.93,0.07,0.74,0.23,0.83,0.15,0.32,0.23,0.4,0.07,0.93,0.05,0.81,0.14,0.89,0.05,0.66,0.14
