ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.83,0.11
0.58,0.53,0.21,0.15,0.39,0.13,0.81,0.04,0.7,0.09,0.76,0.28,0.7,0.08,0.81,0.83,0.14,0.73,0.19,0.57,0.14,0.62,0.19
0.56,0.71,0.11,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.56,0.48,0.17,0.03,0.44,0.02,0.9,0.01,0.71,0.01,0.8,0.28,0.71,0.08,0.9,0.93,0.05,0.7,0.21,0.84,0.05,0.6,0.21
0.66,0.73,0.31,0.71,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.83,0.06,0.0,1.0
0.56,0.47,0.18,0.02,0.44,0.01,0.88,0.0,0.66,0.01,0.77,0.34,0.66,0.11,0.88,0.82,0.15,0.74,0.17,0.53,0.15,0.67,0.17
0.56,0.45,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.15,0.0,1.0,0.7,0.15
0.66,0.71,0.3,0.59,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.11,0.0,1.0,0.72,0.11,0.0,1.0
0.58,0.72,0.18,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.83,0.08,0.0,1.0
0.56,0.71,0.09,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.64,0.74,0.29,0.87,0.06,0.9,0.1,0.65,0.33,0.78,0.22,0.14,0.33,0.07,0.1,0.96,0.02,0.95,0.04,0.94,0.02,0.81,0.04
0.59,0.72,0.19,0.97,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.35,0.08,0.45,0.01,0.86,0.09,0.89,0.09,0.81,0.09,0.57,0.09
0.57,0.43,0.25,0.23,0.24,0.22,0.44,0.11,0.23,0.17,0.34,0.76,0.23,0.49,0.44,0.94,0.05,1.0,0.0,0.78,0.05,1.0,0.0
0.67,0.75,0.34,0.89,0.05,0.92,0.08,0.72,0.22,0.82,0.15,0.53,0.22,0.4,0.08,0.94,0.04,0.96,0.03,0.89,0.04,0.89,0.03
0.68,0.71,0.35,0.9,0.04,0.96,0.03,0.79,0.09,0.88,0.06,0.87,0.09,0.91,0.03,0.94,0.05,0.84,0.11,0.85,0.05,0.75,0.11
0.56,0.71,0.09,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.65,0.74,0.31,0.95,0.03,0.96,0.03,0.87,0.1,0.92,0.07,0.69,0.1,0.57,0.03,0.89,0.08,0.95,0.04,0.82,0.08,0.83,0.04
0.64,0.61,0.33,0.43,0.23,0.42,0.46,0.16,0.39,0.29,0.43,0.58,0.39,0.32,0.46,0.9,0.09,0.93,0.04,0.68,0.09,0.9,0.04
0.68,0.72,0.35,0.73,0.12,0.73,0.25,0.44,0.39,0.58,0.32,0.43,0.39,0.25,0.25,0.98,0.02,0.97,0.02,0.95,0.02,0.93,0.02
0.63,0.74,0.29,0.92,0.04,0.95,0.05,0.76,0.22,0.85,0.14,0.31,0.22,0.27,0.05,0.92,0.05,0.94,0.05,0.88,0.05,0.8,0.05
0.68,0.71,0.35,0.65,0.16,0.66,0.32,0.32,0.51,0.49,0.42,0.33,0.51,0.18,0.32,0.92,0.06,0.95,0.03,0.82,0.06,0.9,0.03
0.55,0.37,0.2,0.07,0.29,0.06,0.52,0.03,0.27,0.04,0.4,0.73,0.27,0.46,0.52,0.92,0.07,0.98,0.01,0.71,0.07,0.98,0.01
0.67,0.74,0.33,0.81,0.09,0.81,0.18,0.56,0.35,0.69,0.27,0.37,0.35,0.2,0.18,0.98,0.01,0.95,0.04,0.96,0.01,0.88,0.04
0.58,0.72,0.17,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.83,0.08,0.0,1.0
0.66,0.75,0.33,0.94,0.03,0.96,0.04,0.83,0.12,0.9,0.08,0.67,0.12,0.62,0.04,0.9,0.07,0.92,0.06,0.83,0.07,0.77,0.06
0.64,0.74,0.3,0.91,0.04,0.93,0.07,0.76,0.21,0.84,0.14,0.39,0.21,0.22,0.07,0.92,0.05,0.97,0.02,0.87,0.05,0.89,0.02
0.68,0.72,0.36,0.73,0.12,0.74,0.24,0.44,0.38,0.59,0.31,0.47,0.38,0.29,0.24,0.97,0.02,0.99,0.01,0.94,0.02,0.98,0.01
0.68,0.69,0.36,0.55,0.2,0.55,0.41,0.22,0.5,0.39,0.45,0.41,0.5,0.2,0.41,0.88,0.09,0.9,0.07,0.7,0.09,0.81,0.07
0.68,0.72,0.34,0.72,0.13,0.72,0.26,0.41,0.45,0.56,0.35,0.34,0.45,0.19,0.26,0.96,0.03,0.95,0.04,0.92,0.03,0.89,0.04
0.67,0.73,0.33,0.69,0.15,0.7,0.3,0.35,0.58,0.52,0.44,0.15,0.58,0.05,0.3,0.92,0.05,0.83,0.13,0.85,0.05,0.59,0.13
0.67,0.73,0.32,0.68,0.16,0.69,0.31,0.34,0.61,0.52,0.46,0.1,0.61,0.02,0.31,0.91,0.06,0.8,0.17,0.83,0.06,0.47,0.17
0.62,0.6,0.26,0.3,0.33,0.28,0.68,0.07,0.75,0.18,0.72,0.21,0.75,0.08,0.68,0.78,0.18,0.8,0.14,0.47,0.18,0.7,0.14
0.67,0.72,0.32,0.64,0.18,0.0,1.0,0.28,0.7,0.14,0.85,0.03,0.7,0.0,1.0,0.87,0.09,0.0,1.0,0.76,0.09,0.0,1.0
0.66,0.73,0.31,0.72,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.06,0.0,1.0,0.85,0.06,0.0,1.0
0.65,0.75,0.31,0.86,0.07,0.0,1.0,0.61,0.38,0.3,0.69,0.06,0.38,0.0,1.0,0.99,0.01,0.0,1.0,0.98,0.01,0.0,1.0
0.67,0.71,0.34,0.59,0.19,0.59,0.39,0.25,0.61,0.42,0.5,0.24,0.61,0.1,0.39,0.88,0.09,0.88,0.09,0.74,0.09,0.77,0.09
0.66,0.74,0.31,0.81,0.09,0.82,0.18,0.54,0.41,0.68,0.29,0.2,0.41,0.08,0.18,0.99,0.0,0.89,0.09,0.99,0.0,0.68,0.09
0.63,0.74,0.28,0.91,0.05,0.0,1.0,0.72,0.27,0.36,0.64,0.08,0.27,0.0,1.0,0.94,0.04,0.0,1.0,0.91,0.04,0.0,1.0
0.6,0.73,0.22,0.94,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.86,0.06,0.0,1.0
