ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.5,0.63,-0.05,0.83,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.15,0.0,1.0,0.72,0.15,0.0,1.0
0.51,0.62,-0.02,0.78,0.11,0.6,0.4,0.69,0.3,0.65,0.35,0.04,0.3,0.01,0.4,0.76,0.15,0.66,0.22,0.73,0.15,0.6,0.22
0.52,0.62,0.0,0.76,0.12,0.58,0.41,0.64,0.35,0.61,0.38,0.03,0.35,0.02,0.41,0.78,0.14,0.93,0.03,0.74,0.14,0.94,0.03
0.53,0.62,0.05,0.69,0.15,0.52,0.48,0.54,0.45,0.53,0.46,0.04,0.45,0.02,0.48,0.8,0.12,0.82,0.11,0.76,0.12,0.79,0.11
0.54,0.62,0.07,0.66,0.17,0.49,0.51,0.49,0.49,0.49,0.5,0.06,0.49,0.02,0.51,0.82,0.11,0.71,0.21,0.77,0.11,0.58,0.21
0.54,0.62,0.07,0.65,0.18,0.48,0.51,0.48,0.51,0.48,0.51,0.05,0.51,0.01,0.51,0.82,0.11,0.76,0.16,0.78,0.11,0.68,0.16
0.55,0.62,0.07,0.64,0.18,0.48,0.51,0.47,0.51,0.47,0.51,0.05,0.51,0.01,0.51,0.83,0.11,0.76,0.16,0.78,0.11,0.68,0.16
0.56,0.62,0.1,0.61,0.19,0.47,0.53,0.42,0.56,0.44,0.55,0.05,0.56,0.01,0.53,0.86,0.08,0.74,0.19,0.82,0.08,0.6,0.19
0.57,0.63,0.13,0.63,0.19,0.5,0.49,0.41,0.57,0.45,0.53,0.05,0.57,0.02,0.49,0.9,0.06,0.76,0.17,0.86,0.06,0.63,0.17
0.58,0.64,0.15,0.61,0.19,0.51,0.49,0.39,0.59,0.45,0.54,0.06,0.59,0.02,0.49,0.93,0.04,0.75,0.19,0.9,0.04,0.57,0.19
0.59,0.66,0.17,0.65,0.17,0.56,0.44,0.41,0.57,0.48,0.51,0.06,0.57,0.01,0.44,0.94,0.04,0.67,0.28,0.91,0.04,0.34,0.28
0.6,0.67,0.19,0.66,0.17,0.58,0.41,0.41,0.57,0.49,0.49,0.06,0.57,0.01,0.41,0.96,0.03,0.69,0.27,0.94,0.03,0.35,0.27
0.61,0.67,0.21,0.65,0.17,0.58,0.42,0.38,0.59,0.48,0.51,0.06,0.59,0.01,0.42,0.99,0.01,0.7,0.26,0.98,0.01,0.36,0.26
0.62,0.67,0.22,0.63,0.19,0.56,0.44,0.36,0.61,0.46,0.53,0.08,0.61,0.01,0.44,1.0,0.0,0.67,0.3,0.99,0.0,0.25,0.3
0.62,0.67,0.23,0.63,0.18,0.57,0.43,0.36,0.6,0.46,0.52,0.08,0.6,0.01,0.43,1.0,0.0,0.67,0.3,1.0,0.0,0.25,0.3
0.63,0.67,0.24,0.6,0.2,0.54,0.46,0.33,0.62,0.44,0.54,0.11,0.62,0.01,0.46,0.98,0.01,0.65,0.32,0.97,0.01,0.18,0.32
0.63,0.67,0.25,0.6,0.2,0.54,0.45,0.32,0.62,0.43,0.54,0.12,0.62,0.02,0.45,0.97,0.02,0.69,0.27,0.95,0.02,0.32,0.27
0.63,0.68,0.25,0.62,0.19,0.57,0.43,0.34,0.61,0.45,0.52,0.12,0.61,0.02,0.43,0.98,0.02,0.7,0.26,0.96,0.02,0.32,0.26
0.63,0.68,0.26,0.62,0.19,0.57,0.43,0.33,0.61,0.45,0.52,0.13,0.61,0.03,0.43,0.97,0.02,0.74,0.22,0.95,0.02,0.43,0.22
0.64,0.69,0.27,0.64,0.18,0.6,0.39,0.35,0.59,0.47,0.49,0.13,0.59,0.02,0.39,0.97,0.02,0.71,0.25,0.95,0.02,0.32,0.25
0.64,0.69,0.28,0.64,0.18,0.6,0.4,0.35,0.59,0.47,0.49,0.15,0.59,0.02,0.4,0.97,0.02,0.7,0.26,0.94,0.02,0.28,0.26
