ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.61,0.55,0.26,0.52,0.17,0.46,0.36,0.38,0.23,0.42,0.29,0.73,0.23,0.48,0.36,0.93,0.05,0.98,0.01,0.84,0.05,0.98,0.01
0.5,0.18,0.13,0.15,0.12,0.14,0.18,0.14,0.07,0.14,0.12,0.93,0.07,0.81,0.18,0.89,0.09,0.84,0.08,0.69,0.09,0.86,0.08
0.56,0.71,0.14,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.59,0.71,0.18,0.91,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.61,0.54,0.27,0.7,0.09,0.73,0.14,0.57,0.11,0.65,0.12,0.87,0.11,0.78,0.14,0.95,0.04,0.85,0.08,0.86,0.04,0.83,0.08
0.66,0.72,0.32,0.78,0.1,0.77,0.22,0.55,0.35,0.66,0.28,0.38,0.35,0.15,0.22,0.96,0.03,0.88,0.09,0.93,0.03,0.71,0.09
0.66,0.72,0.31,0.74,0.12,0.73,0.26,0.46,0.47,0.59,0.36,0.22,0.47,0.06,0.26,1.0,0.0,0.81,0.16,1.0,0.0,0.49,0.16
0.64,0.62,0.31,0.75,0.09,0.76,0.15,0.6,0.13,0.68,0.14,0.83,0.13,0.7,0.15,0.94,0.04,0.88,0.07,0.85,0.04,0.85,0.07
0.64,0.61,0.3,0.98,0.0,0.94,0.03,0.94,0.01,0.94,0.02,0.98,0.01,0.93,0.03,0.89,0.08,0.8,0.12,0.72,0.08,0.75,0.12
0.65,0.73,0.3,0.83,0.08,0.82,0.18,0.63,0.32,0.72,0.25,0.3,0.32,0.04,0.18,0.93,0.04,0.78,0.21,0.89,0.04,0.28,0.21
0.65,0.66,0.31,0.58,0.18,0.54,0.4,0.34,0.39,0.44,0.4,0.52,0.39,0.26,0.4,0.99,0.0,0.92,0.06,0.98,0.0,0.86,0.06
0.66,0.71,0.31,0.77,0.1,0.78,0.2,0.52,0.35,0.65,0.28,0.44,0.35,0.3,0.2,0.98,0.01,0.97,0.02,0.96,0.01,0.94,0.02
0.65,0.62,0.32,0.66,0.12,0.66,0.23,0.48,0.18,0.57,0.21,0.79,0.18,0.59,0.23,0.96,0.03,0.93,0.04,0.9,0.03,0.91,0.04
0.67,0.73,0.33,0.78,0.1,0.78,0.22,0.54,0.35,0.66,0.28,0.39,0.35,0.14,0.22,0.97,0.02,0.87,0.11,0.94,0.02,0.65,0.11
0.66,0.66,0.32,0.69,0.12,0.69,0.24,0.48,0.25,0.58,0.24,0.68,0.25,0.5,0.24,0.98,0.02,0.94,0.03,0.95,0.02,0.92,0.03
0.66,0.72,0.32,0.82,0.08,0.83,0.16,0.63,0.25,0.73,0.21,0.58,0.25,0.41,0.16,0.94,0.04,0.96,0.03,0.89,0.04,0.92,0.03
0.59,0.71,0.19,0.94,0.03,0.0,1.0,0.84,0.16,0.42,0.58,0.21,0.16,0.0,1.0,0.86,0.08,0.0,1.0,0.82,0.08,0.0,1.0
0.67,0.7,0.33,0.93,0.03,0.98,0.01,0.89,0.05,0.94,0.03,0.93,0.05,0.95,0.01,0.89,0.08,0.84,0.11,0.78,0.08,0.74,0.11
0.68,0.71,0.35,0.73,0.12,0.73,0.24,0.49,0.3,0.61,0.27,0.57,0.3,0.35,0.24,0.98,0.01,0.98,0.01,0.96,0.01,0.97,0.01
0.65,0.72,0.3,0.86,0.07,0.87,0.12,0.68,0.23,0.78,0.17,0.54,0.23,0.42,0.12,0.93,0.05,0.94,0.04,0.87,0.05,0.87,0.04
0.68,0.71,0.35,0.79,0.09,0.79,0.17,0.61,0.2,0.7,0.18,0.7,0.2,0.49,0.17,0.94,0.04,0.97,0.02,0.87,0.04,0.94,0.02
0.67,0.69,0.34,0.81,0.07,0.83,0.13,0.66,0.16,0.74,0.15,0.77,0.16,0.64,0.13,0.94,0.05,0.91,0.06,0.86,0.05,0.84,0.06
0.6,0.72,0.23,0.92,0.04,0.0,1.0,0.79,0.2,0.4,0.6,0.15,0.2,0.0,1.0,0.89,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.62,0.72,0.26,0.86,0.07,0.0,1.0,0.66,0.32,0.33,0.66,0.13,0.32,0.0,1.0,0.93,0.04,0.0,1.0,0.9,0.04,0.0,1.0
0.62,0.73,0.27,0.9,0.05,0.0,1.0,0.74,0.23,0.37,0.61,0.28,0.23,0.0,1.0,0.9,0.06,0.0,1.0,0.85,0.06,0.0,1.0
0.57,0.71,0.18,0.97,0.02,0.0,1.0,0.9,0.1,0.45,0.55,0.16,0.1,0.0,1.0,0.85,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.67,0.71,0.33,0.88,0.05,0.9,0.08,0.78,0.11,0.84,0.1,0.82,0.11,0.71,0.08,0.9,0.07,0.9,0.07,0.81,0.07,0.82,0.07
0.66,0.72,0.32,0.93,0.03,0.92,0.06,0.92,0.04,0.92,0.05,0.92,0.04,0.71,0.06,0.86,0.1,0.94,0.04,0.74,0.1,0.87,0.04
0.67,0.72,0.34,0.8,0.09,0.8,0.18,0.61,0.24,0.71,0.21,0.62,0.24,0.39,0.18,0.94,0.04,1.0,0.0,0.88,0.04,0.99,0.0
0.68,0.71,0.35,0.78,0.1,0.78,0.19,0.58,0.24,0.68,0.21,0.64,0.24,0.43,0.19,0.95,0.03,0.98,0.01,0.9,0.03,0.97,0.01
0.67,0.69,0.34,0.89,0.04,0.93,0.05,0.82,0.07,0.88,0.06,0.89,0.07,0.84,0.05,0.91,0.07,0.86,0.09,0.79,0.07,0.78,0.09
