ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.63,0.63,0.27,0.36,0.31,0.34,0.64,0.12,0.75,0.23,0.7,0.17,0.75,0.04,0.64,0.85,0.11,0.77,0.18,0.68,0.11,0.57,0.18
0.53,0.7,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.66,0.7,0.3,0.67,0.16,0.65,0.34,0.38,0.52,0.52,0.43,0.23,0.52,0.08,0.34,1.0,0.0,0.85,0.11,0.99,0.0,0.67,0.11
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.51,0.15,0.16,0.43,0.04,0.51,0.06,0.32,0.02,0.42,0.04,0.98,0.02,0.94,0.06,1.0,0.0,0.78,0.12,0.96,0.0,0.8,0.12
0.65,0.62,0.31,0.4,0.25,0.38,0.52,0.18,0.45,0.28,0.48,0.5,0.45,0.23,0.52,0.94,0.05,0.91,0.06,0.83,0.05,0.85,0.06
0.53,0.28,0.19,0.07,0.2,0.08,0.33,0.03,0.14,0.06,0.24,0.86,0.14,0.66,0.33,0.94,0.05,0.88,0.06,0.76,0.05,0.88,0.06
0.48,0.07,0.1,0.05,0.05,0.07,0.07,0.0,1.0,0.04,0.54,0.0,1.0,0.93,0.07,0.0,1.0,0.78,0.12,0.0,1.0,0.81,0.12
0.67,0.7,0.33,0.76,0.1,0.75,0.22,0.56,0.26,0.66,0.24,0.61,0.26,0.38,0.22,0.93,0.05,0.98,0.01,0.85,0.05,0.97,0.01
0.62,0.73,0.27,0.92,0.04,0.94,0.06,0.8,0.18,0.87,0.12,0.38,0.18,0.15,0.06,0.86,0.09,0.93,0.06,0.81,0.09,0.7,0.06
0.65,0.71,0.3,0.72,0.14,0.7,0.3,0.45,0.47,0.57,0.39,0.23,0.47,0.06,0.3,0.97,0.02,0.81,0.15,0.95,0.02,0.53,0.15
0.64,0.7,0.28,0.67,0.17,0.65,0.35,0.36,0.61,0.51,0.48,0.07,0.61,0.02,0.35,0.97,0.02,0.83,0.14,0.95,0.02,0.59,0.14
0.65,0.66,0.29,0.45,0.27,0.42,0.57,0.17,0.72,0.29,0.65,0.16,0.72,0.03,0.57,0.89,0.08,0.71,0.25,0.78,0.08,0.38,0.25
0.64,0.6,0.3,0.33,0.29,0.32,0.59,0.1,0.56,0.21,0.57,0.4,0.56,0.19,0.59,0.86,0.11,0.9,0.06,0.64,0.11,0.86,0.06
0.55,0.35,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.97,0.02,0.0,1.0,0.97,0.02
0.61,0.58,0.23,0.2,0.38,0.18,0.8,0.05,0.81,0.11,0.81,0.15,0.81,0.03,0.8,0.82,0.15,0.7,0.23,0.59,0.15,0.49,0.23
0.62,0.61,0.24,0.27,0.36,0.25,0.75,0.07,0.83,0.16,0.79,0.11,0.83,0.01,0.75,0.82,0.14,0.66,0.29,0.62,0.14,0.33,0.29
0.61,0.58,0.24,0.2,0.38,0.18,0.79,0.05,0.77,0.11,0.78,0.21,0.77,0.05,0.79,0.81,0.16,0.74,0.19,0.54,0.16,0.58,0.19
0.61,0.72,0.25,0.88,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.06,0.0,1.0,0.87,0.06,0.0,1.0
