ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.6,0.7,0.21,0.86,0.07,0.84,0.16,0.7,0.28,0.77,0.22,0.23,0.28,0.1,0.16,0.87,0.08,0.93,0.05,0.82,0.08,0.83,0.05
0.57,0.71,0.18,0.95,0.02,0.0,1.0,0.86,0.14,0.43,0.57,0.08,0.14,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.61,0.71,0.23,0.89,0.05,0.86,0.13,0.79,0.17,0.82,0.15,0.52,0.17,0.25,0.13,0.84,0.1,0.94,0.04,0.77,0.1,0.86,0.04
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.65,0.65,0.31,0.67,0.13,0.65,0.27,0.49,0.24,0.57,0.26,0.69,0.24,0.46,0.27,0.93,0.05,0.95,0.03,0.84,0.05,0.93,0.03
0.65,0.63,0.31,0.57,0.17,0.55,0.34,0.35,0.31,0.45,0.33,0.63,0.31,0.4,0.34,0.98,0.01,0.97,0.02,0.96,0.01,0.96,0.02
0.62,0.55,0.28,0.52,0.16,0.54,0.27,0.28,0.26,0.41,0.27,0.72,0.26,0.6,0.27,0.96,0.03,0.86,0.08,0.9,0.03,0.83,0.08
0.59,0.71,0.21,0.94,0.03,0.96,0.04,0.82,0.17,0.89,0.11,0.14,0.17,0.15,0.04,0.86,0.09,0.88,0.1,0.81,0.09,0.66,0.1
0.57,0.71,0.2,0.97,0.02,0.0,1.0,0.88,0.12,0.44,0.56,0.05,0.12,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.64,0.72,0.29,0.83,0.08,0.82,0.17,0.65,0.28,0.73,0.23,0.42,0.28,0.19,0.17,0.9,0.07,0.93,0.06,0.84,0.07,0.81,0.06
0.61,0.72,0.25,0.92,0.04,0.94,0.06,0.77,0.21,0.85,0.14,0.21,0.21,0.16,0.06,0.88,0.08,0.95,0.04,0.83,0.08,0.83,0.04
0.59,0.72,0.24,0.95,0.02,0.98,0.02,0.86,0.14,0.92,0.08,0.23,0.14,0.16,0.02,0.85,0.09,0.98,0.01,0.8,0.09,0.89,0.01
0.53,0.7,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.65,0.72,0.3,0.86,0.06,0.87,0.12,0.73,0.19,0.8,0.15,0.62,0.19,0.44,0.12,0.88,0.08,0.95,0.04,0.8,0.08,0.89,0.04
0.63,0.72,0.28,0.86,0.07,0.86,0.14,0.69,0.27,0.77,0.21,0.33,0.27,0.12,0.14,0.89,0.07,0.89,0.09,0.84,0.07,0.67,0.09
0.63,0.72,0.28,0.89,0.05,0.88,0.12,0.76,0.19,0.82,0.15,0.51,0.19,0.27,0.12,0.87,0.09,0.97,0.02,0.8,0.09,0.93,0.02
0.66,0.66,0.33,0.77,0.08,0.78,0.16,0.65,0.13,0.72,0.15,0.82,0.13,0.65,0.16,0.91,0.07,0.9,0.07,0.78,0.07,0.84,0.07
0.63,0.72,0.28,0.87,0.06,0.87,0.13,0.71,0.25,0.79,0.19,0.4,0.25,0.18,0.13,0.88,0.07,0.94,0.05,0.82,0.07,0.82,0.05
0.6,0.72,0.25,0.93,0.04,0.95,0.05,0.78,0.21,0.86,0.13,0.14,0.21,0.07,0.05,0.87,0.08,0.97,0.03,0.83,0.08,0.85,0.03
0.65,0.72,0.3,0.82,0.09,0.81,0.19,0.62,0.31,0.72,0.25,0.38,0.31,0.16,0.19,0.91,0.06,0.92,0.06,0.86,0.06,0.79,0.06
0.65,0.73,0.31,0.85,0.07,0.86,0.14,0.66,0.28,0.76,0.21,0.39,0.28,0.17,0.14,0.91,0.06,0.93,0.05,0.85,0.06,0.8,0.05
0.66,0.71,0.31,0.84,0.07,0.84,0.14,0.7,0.19,0.77,0.17,0.65,0.19,0.46,0.14,0.89,0.08,0.95,0.03,0.8,0.08,0.9,0.03
0.66,0.7,0.32,0.76,0.1,0.75,0.21,0.58,0.26,0.67,0.23,0.61,0.26,0.39,0.21,0.92,0.06,0.98,0.01,0.84,0.06,0.96,0.01
0.67,0.68,0.35,0.77,0.09,0.77,0.17,0.65,0.14,0.71,0.16,0.8,0.14,0.58,0.17,0.9,0.07,0.93,0.05,0.78,0.07,0.88,0.05
0.67,0.72,0.33,0.79,0.09,0.78,0.2,0.6,0.26,0.69,0.23,0.56,0.26,0.32,0.2,0.92,0.06,0.99,0.01,0.84,0.06,0.98,0.01
0.67,0.71,0.33,0.76,0.1,0.76,0.22,0.55,0.29,0.66,0.26,0.55,0.29,0.33,0.22,0.93,0.05,1.0,0.0,0.87,0.05,1.0,0.0
0.67,0.7,0.34,0.87,0.05,0.88,0.1,0.83,0.07,0.85,0.09,0.88,0.07,0.69,0.1,0.86,0.1,0.91,0.06,0.72,0.1,0.83,0.06
0.64,0.74,0.31,0.97,0.01,0.98,0.01,0.97,0.02,0.97,0.01,0.94,0.02,0.8,0.01,0.83,0.12,0.93,0.06,0.73,0.12,0.76,0.06
0.63,0.73,0.29,0.96,0.02,0.98,0.02,0.9,0.08,0.94,0.05,0.73,0.08,0.64,0.02,0.84,0.1,0.93,0.06,0.77,0.1,0.73,0.06
0.64,0.73,0.31,0.98,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.98,0.01,0.88,0.01,0.82,0.12,0.87,0.11,0.72,0.12,0.61,0.11
0.64,0.72,0.29,0.97,0.01,0.98,0.02,0.98,0.01,0.98,0.01,0.97,0.01,0.87,0.02,0.82,0.13,0.9,0.07,0.7,0.13,0.78,0.07
0.59,0.72,0.22,1.0,0.0,0.99,0.01,0.96,0.03,0.97,0.02,0.79,0.03,0.63,0.01,0.8,0.13,0.88,0.1,0.73,0.13,0.53,0.1
0.59,0.72,0.24,0.98,0.01,1.0,0.0,0.98,0.02,0.99,0.01,0.9,0.02,0.89,0.0,0.81,0.12,0.92,0.07,0.74,0.12,0.66,0.07
0.62,0.73,0.28,0.96,0.02,0.98,0.02,0.92,0.06,0.95,0.04,0.76,0.06,0.63,0.02,0.83,0.11,0.94,0.05,0.76,0.11,0.77,0.05
0.6,0.72,0.24,0.99,0.0,1.0,0.0,0.98,0.01,0.99,0.01,0.92,0.01,0.98,0.0,0.8,0.13,0.94,0.06,0.73,0.13,0.7,0.06
0.61,0.72,0.26,1.0,0.0,0.99,0.01,0.94,0.05,0.96,0.03,0.79,0.05,0.72,0.01,0.8,0.14,0.89,0.09,0.71,0.14,0.6,0.09
0.56,0.71,0.16,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.89,0.01,0.72,0.0,0.8,0.13,0.95,0.05,0.74,0.13,0.5,0.05
0.56,0.71,0.16,0.99,0.0,1.0,0.0,0.97,0.03,0.98,0.01,0.54,0.03,0.72,0.0,0.81,0.12,0.89,0.11,0.76,0.12,0.26,0.11
0.55,0.7,0.13,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.88,0.0,0.72,0.0,0.8,0.13,0.91,0.08,0.75,0.13,0.41,0.08
0.54,0.7,0.08,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.39,0.01,0.0,1.0,0.8,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.54,0.7,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.12,0.0,1.0,0.76,0.12,0.0,1.0
0.53,0.7,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.53,0.7,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.53,0.7,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.53,0.7,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.53,0.7,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.54,0.7,0.07,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.59,0.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.54,0.7,0.07,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.47,0.01,0.0,1.0,0.8,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.54,0.7,0.07,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.78,0.0,0.0,1.0,0.8,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.54,0.7,0.08,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.67,0.01,0.0,1.0,0.8,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.54,0.7,0.09,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.77,0.01,0.72,0.0,0.79,0.13,0.93,0.07,0.75,0.13,0.6,0.07
0.55,0.7,0.11,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.85,0.01,0.72,0.0,0.79,0.13,0.93,0.07,0.75,0.13,0.54,0.07
0.55,0.7,0.13,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.88,0.0,0.72,0.0,0.8,0.13,0.91,0.08,0.75,0.13,0.41,0.08
0.55,0.7,0.14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.99,0.0,0.72,0.0,0.8,0.13,0.9,0.09,0.75,0.13,0.48,0.09
0.57,0.71,0.2,1.0,0.0,1.0,0.0,0.97,0.03,0.98,0.01,0.79,0.03,0.89,0.0,0.79,0.13,0.95,0.05,0.73,0.13,0.71,0.05
0.58,0.71,0.21,1.0,0.0,0.99,0.01,0.97,0.03,0.98,0.02,0.78,0.03,0.72,0.01,0.79,0.13,0.92,0.07,0.73,0.13,0.59,0.07
0.56,0.71,0.17,1.0,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.82,0.02,0.72,0.0,0.79,0.13,0.92,0.07,0.74,0.13,0.56,0.07
0.55,0.7,0.14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.99,0.0,0.72,0.0,0.8,0.13,0.9,0.09,0.75,0.13,0.48,0.09
0.55,0.7,0.13,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.78,0.01,0.72,0.0,0.8,0.12,0.9,0.09,0.75,0.12,0.37,0.09
0.56,0.71,0.16,1.0,0.0,0.99,0.01,0.99,0.01,0.99,0.01,0.89,0.01,0.48,0.01,0.8,0.13,0.86,0.13,0.74,0.13,0.37,0.13
0.57,0.71,0.19,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.0,0.72,0.0,0.8,0.13,0.91,0.08,0.74,0.13,0.49,0.08
0.58,0.71,0.2,0.99,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.94,0.01,0.93,0.0,0.8,0.13,0.95,0.05,0.74,0.13,0.72,0.05
0.58,0.71,0.21,0.99,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.99,0.0,0.8,0.0,0.8,0.13,0.96,0.04,0.74,0.13,0.77,0.04
0.56,0.71,0.16,0.99,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.7,0.02,0.93,0.0,0.81,0.12,0.9,0.09,0.76,0.12,0.5,0.09
0.55,0.7,0.14,0.99,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.67,0.02,0.72,0.0,0.8,0.12,0.9,0.1,0.76,0.12,0.32,0.1
0.55,0.7,0.14,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.87,0.01,0.72,0.0,0.8,0.13,0.92,0.07,0.75,0.13,0.4,0.07
0.55,0.7,0.11,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9,0.0,0.72,0.0,0.8,0.13,0.9,0.1,0.75,0.13,0.43,0.1
