ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.56,0.94,0.03,0.95,0.05,0.25,0.2,0.79,0.2,0.37,0.05,0.74,0.17,0.96,0.03,0.66,0.17,0.92,0.03,0.87,0.12
0.61,1.0,0.0,0.99,0.01,0.9,0.03,0.96,0.03,0.89,0.01,0.81,0.13,0.85,0.11,0.71,0.13,0.69,0.11,0.97,0.02
0.63,0.95,0.02,0.95,0.04,0.89,0.04,0.93,0.04,0.75,0.04,0.83,0.12,0.89,0.08,0.73,0.12,0.79,0.08,0.94,0.04
0.64,0.92,0.04,0.91,0.08,0.84,0.07,0.88,0.07,0.61,0.08,0.84,0.11,0.94,0.04,0.73,0.11,0.87,0.04,0.9,0.08
0.65,0.9,0.04,0.9,0.09,0.79,0.1,0.83,0.1,0.58,0.09,0.85,0.1,0.93,0.05,0.75,0.1,0.86,0.05,0.86,0.1
0.65,0.88,0.05,0.87,0.11,0.76,0.13,0.79,0.13,0.55,0.11,0.86,0.1,0.94,0.04,0.76,0.1,0.87,0.04,0.83,0.12
0.66,0.87,0.06,0.87,0.11,0.75,0.14,0.77,0.14,0.57,0.11,0.87,0.09,0.92,0.05,0.77,0.09,0.85,0.05,0.82,0.12
0.66,0.87,0.06,0.87,0.11,0.75,0.14,0.77,0.14,0.58,0.11,0.87,0.09,0.92,0.06,0.78,0.09,0.84,0.06,0.82,0.12
0.66,0.87,0.06,0.87,0.11,0.75,0.14,0.76,0.14,0.57,0.11,0.88,0.09,0.92,0.06,0.78,0.09,0.85,0.06,0.81,0.12
0.66,0.86,0.06,0.87,0.11,0.75,0.14,0.75,0.14,0.6,0.11,0.88,0.08,0.91,0.06,0.78,0.08,0.83,0.06,0.81,0.12
0.67,0.87,0.06,0.87,0.11,0.79,0.12,0.78,0.12,0.59,0.11,0.87,0.09,0.93,0.05,0.76,0.09,0.86,0.05,0.82,0.11
0.67,0.87,0.05,0.87,0.11,0.81,0.11,0.8,0.11,0.6,0.11,0.87,0.09,0.93,0.05,0.75,0.09,0.87,0.05,0.83,0.11
0.67,0.87,0.06,0.86,0.11,0.81,0.11,0.8,0.11,0.59,0.11,0.86,0.1,0.94,0.04,0.75,0.1,0.88,0.04,0.83,0.11
0.67,0.87,0.06,0.86,0.11,0.84,0.1,0.81,0.1,0.61,0.11,0.86,0.1,0.93,0.04,0.74,0.1,0.87,0.04,0.83,0.11
0.67,0.86,0.06,0.86,0.12,0.85,0.09,0.81,0.09,0.61,0.12,0.86,0.1,0.94,0.04,0.73,0.1,0.88,0.04,0.83,0.1
0.66,0.87,0.05,0.86,0.11,0.87,0.08,0.83,0.08,0.64,0.11,0.86,0.11,0.93,0.05,0.72,0.11,0.87,0.05,0.84,0.1
0.66,0.87,0.05,0.86,0.11,0.88,0.07,0.84,0.07,0.66,0.11,0.85,0.11,0.92,0.05,0.72,0.11,0.86,0.05,0.85,0.09
0.66,0.86,0.06,0.86,0.11,0.85,0.09,0.81,0.09,0.66,0.11,0.86,0.1,0.91,0.06,0.73,0.1,0.85,0.06,0.83,0.1
0.66,0.87,0.05,0.87,0.1,0.85,0.09,0.81,0.09,0.68,0.1,0.87,0.1,0.9,0.07,0.74,0.1,0.83,0.07,0.84,0.1
0.66,0.87,0.05,0.87,0.1,0.86,0.09,0.81,0.09,0.67,0.1,0.86,0.1,0.91,0.06,0.73,0.1,0.84,0.06,0.84,0.1
0.67,0.87,0.05,0.87,0.1,0.85,0.09,0.81,0.09,0.68,0.1,0.87,0.1,0.9,0.06,0.74,0.1,0.83,0.06,0.84,0.1
0.67,0.86,0.05,0.87,0.11,0.85,0.09,0.81,0.09,0.66,0.11,0.87,0.1,0.91,0.06,0.74,0.1,0.84,0.06,0.84,0.1
0.67,0.87,0.05,0.86,0.12,0.86,0.08,0.84,0.08,0.6,0.12,0.85,0.11,0.95,0.03,0.72,0.11,0.9,0.03,0.85,0.1
