ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.48,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.73,0.15,0.0,1.0,0.76,0.15,0.0,1.0
0.48,0.03,0.19,0.03,0.26,0.79,0.21,0.03,0.21,0.74,0.26,0.81,0.12,0.73,0.14,0.73,0.12,0.76,0.14,0.03,0.23
0.52,0.21,0.27,0.14,0.52,0.59,0.39,0.13,0.39,0.43,0.52,0.8,0.14,0.66,0.21,0.67,0.14,0.66,0.21,0.14,0.46
0.63,0.87,0.06,0.83,0.15,0.53,0.26,0.63,0.26,0.36,0.15,0.75,0.18,0.76,0.19,0.59,0.18,0.54,0.19,0.73,0.21
0.63,1.0,0.0,0.98,0.02,0.89,0.04,0.95,0.04,0.83,0.02,0.81,0.13,0.86,0.11,0.71,0.13,0.64,0.11,0.96,0.03
0.62,0.96,0.02,0.97,0.02,0.82,0.05,0.93,0.05,0.72,0.02,0.83,0.11,0.91,0.07,0.75,0.11,0.75,0.07,0.95,0.04
0.61,0.93,0.03,0.92,0.07,0.7,0.1,0.88,0.1,0.47,0.07,0.83,0.11,0.96,0.03,0.75,0.11,0.92,0.03,0.9,0.09
0.63,0.9,0.04,0.9,0.09,0.62,0.15,0.8,0.15,0.47,0.09,0.86,0.09,0.93,0.05,0.78,0.09,0.85,0.05,0.85,0.12
0.64,0.87,0.06,0.87,0.11,0.58,0.21,0.71,0.21,0.48,0.11,0.89,0.07,0.89,0.08,0.82,0.07,0.8,0.08,0.79,0.16
0.66,0.84,0.07,0.85,0.13,0.62,0.21,0.68,0.21,0.48,0.13,0.9,0.07,0.91,0.06,0.83,0.07,0.83,0.06,0.77,0.17
0.67,0.8,0.08,0.8,0.17,0.66,0.21,0.64,0.21,0.47,0.17,0.91,0.06,0.94,0.04,0.82,0.06,0.9,0.04,0.72,0.19
0.67,0.8,0.08,0.8,0.17,0.74,0.17,0.67,0.17,0.51,0.17,0.89,0.08,0.95,0.03,0.79,0.08,0.91,0.03,0.74,0.17
0.67,0.81,0.08,0.81,0.16,0.74,0.17,0.67,0.17,0.55,0.16,0.9,0.07,0.93,0.05,0.8,0.07,0.87,0.05,0.74,0.17
0.67,0.78,0.09,0.79,0.17,0.72,0.19,0.62,0.19,0.54,0.17,0.92,0.06,0.92,0.05,0.82,0.06,0.87,0.05,0.71,0.18
0.67,0.78,0.09,0.78,0.18,0.72,0.19,0.62,0.19,0.52,0.18,0.91,0.06,0.93,0.05,0.82,0.06,0.88,0.05,0.7,0.18
0.67,0.79,0.09,0.79,0.17,0.73,0.19,0.63,0.19,0.53,0.17,0.91,0.06,0.93,0.05,0.82,0.06,0.87,0.05,0.71,0.18
0.67,0.79,0.09,0.78,0.18,0.73,0.18,0.64,0.18,0.51,0.18,0.9,0.07,0.94,0.04,0.8,0.07,0.9,0.04,0.71,0.18
0.67,0.8,0.08,0.8,0.17,0.68,0.2,0.65,0.2,0.46,0.17,0.9,0.07,0.96,0.03,0.81,0.07,0.92,0.03,0.73,0.18
0.67,0.81,0.08,0.8,0.17,0.65,0.21,0.64,0.21,0.44,0.17,0.9,0.07,0.96,0.03,0.82,0.07,0.92,0.03,0.72,0.19
0.66,0.82,0.08,0.81,0.16,0.66,0.2,0.68,0.2,0.43,0.16,0.89,0.08,0.97,0.02,0.8,0.08,0.94,0.02,0.75,0.18
0.66,0.83,0.07,0.83,0.15,0.67,0.19,0.69,0.19,0.46,0.15,0.89,0.08,0.96,0.03,0.8,0.08,0.91,0.03,0.76,0.17
0.66,0.84,0.07,0.83,0.14,0.68,0.18,0.7,0.18,0.46,0.14,0.89,0.08,0.96,0.03,0.8,0.08,0.91,0.03,0.76,0.16
0.66,0.83,0.07,0.83,0.15,0.68,0.19,0.69,0.19,0.46,0.15,0.89,0.08,0.96,0.03,0.8,0.08,0.92,0.03,0.76,0.17
0.67,0.83,0.07,0.83,0.15,0.7,0.18,0.7,0.18,0.49,0.15,0.89,0.08,0.95,0.04,0.8,0.08,0.9,0.04,0.76,0.16
0.67,0.83,0.07,0.84,0.14,0.72,0.17,0.7,0.17,0.52,0.14,0.89,0.07,0.93,0.05,0.8,0.07,0.87,0.05,0.77,0.16
0.67,0.84,0.07,0.84,0.13,0.76,0.14,0.73,0.14,0.57,0.13,0.88,0.08,0.93,0.05,0.78,0.08,0.87,0.05,0.78,0.14
0.67,0.85,0.06,0.85,0.13,0.78,0.13,0.75,0.13,0.58,0.13,0.88,0.09,0.93,0.05,0.77,0.09,0.87,0.05,0.8,0.13
0.66,0.86,0.06,0.86,0.12,0.81,0.11,0.77,0.11,0.62,0.12,0.87,0.09,0.92,0.06,0.76,0.09,0.85,0.06,0.81,0.11
