ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.6,0.49,0.24,0.22,0.3,0.2,0.61,0.06,0.43,0.13,0.52,0.56,0.43,0.27,0.61,0.81,0.17,0.82,0.11,0.47,0.17,0.76,0.11
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.06,0.0,1.0,0.89,0.06
0.65,0.71,0.29,0.76,0.12,0.75,0.24,0.47,0.46,0.61,0.35,0.23,0.46,0.11,0.24,0.92,0.05,0.88,0.09,0.87,0.05,0.71,0.09
0.65,0.71,0.3,0.84,0.07,0.85,0.14,0.63,0.26,0.74,0.2,0.54,0.26,0.46,0.14,0.98,0.01,0.98,0.02,0.96,0.01,0.95,0.02
0.64,0.69,0.27,0.67,0.16,0.66,0.34,0.36,0.61,0.51,0.47,0.09,0.61,0.03,0.34,0.87,0.09,0.78,0.18,0.79,0.09,0.48,0.18
0.62,0.59,0.25,0.42,0.25,0.38,0.55,0.19,0.51,0.29,0.53,0.42,0.51,0.19,0.55,0.88,0.09,0.81,0.13,0.74,0.09,0.7,0.13
0.64,0.63,0.29,0.5,0.22,0.47,0.47,0.22,0.5,0.34,0.48,0.42,0.5,0.19,0.47,0.86,0.1,0.83,0.12,0.7,0.1,0.71,0.12
0.66,0.62,0.34,0.47,0.21,0.44,0.47,0.21,0.36,0.33,0.41,0.6,0.36,0.26,0.47,0.88,0.09,0.82,0.13,0.68,0.09,0.69,0.13
0.66,0.67,0.32,0.69,0.13,0.64,0.31,0.46,0.3,0.55,0.3,0.6,0.3,0.3,0.31,0.97,0.02,0.87,0.09,0.94,0.02,0.75,0.09
0.64,0.58,0.32,0.48,0.19,0.47,0.38,0.22,0.29,0.34,0.33,0.69,0.29,0.43,0.38,0.89,0.09,0.92,0.05,0.68,0.09,0.88,0.05
0.64,0.66,0.28,0.55,0.21,0.52,0.45,0.25,0.58,0.39,0.52,0.28,0.58,0.11,0.45,0.85,0.11,0.81,0.14,0.72,0.11,0.64,0.14
0.65,0.69,0.3,0.66,0.16,0.64,0.34,0.37,0.48,0.51,0.41,0.33,0.48,0.15,0.34,0.9,0.07,0.85,0.11,0.82,0.07,0.69,0.11
0.65,0.71,0.3,0.76,0.11,0.76,0.23,0.47,0.44,0.61,0.34,0.29,0.44,0.19,0.23,0.92,0.06,0.95,0.04,0.86,0.06,0.88,0.04
0.66,0.63,0.33,0.49,0.21,0.47,0.45,0.22,0.38,0.34,0.42,0.57,0.38,0.26,0.45,0.88,0.09,0.83,0.12,0.7,0.09,0.7,0.12
0.66,0.68,0.31,0.65,0.16,0.63,0.34,0.36,0.45,0.49,0.4,0.4,0.45,0.2,0.34,0.9,0.07,0.87,0.09,0.81,0.07,0.74,0.09
0.65,0.71,0.3,0.79,0.1,0.78,0.2,0.53,0.38,0.66,0.29,0.35,0.38,0.2,0.2,0.94,0.04,0.92,0.06,0.91,0.04,0.82,0.06
0.65,0.61,0.33,0.53,0.18,0.52,0.37,0.27,0.31,0.4,0.34,0.65,0.31,0.39,0.37,0.9,0.08,0.91,0.06,0.74,0.08,0.85,0.06
0.68,0.7,0.36,0.85,0.06,0.87,0.1,0.71,0.13,0.79,0.12,0.81,0.13,0.69,0.1,0.99,0.01,0.97,0.02,0.97,0.01,0.95,0.02
0.66,0.68,0.32,0.59,0.18,0.57,0.4,0.29,0.5,0.43,0.45,0.37,0.5,0.15,0.4,0.87,0.09,0.81,0.14,0.74,0.09,0.62,0.14
0.6,0.47,0.26,0.25,0.26,0.25,0.5,0.06,0.33,0.15,0.42,0.66,0.33,0.4,0.5,0.79,0.19,0.9,0.06,0.35,0.19,0.87,0.06
0.65,0.66,0.3,0.56,0.2,0.53,0.44,0.27,0.51,0.4,0.47,0.37,0.51,0.15,0.44,0.87,0.09,0.8,0.15,0.74,0.09,0.62,0.15
0.6,0.45,0.28,0.44,0.15,0.47,0.25,0.18,0.16,0.32,0.21,0.83,0.16,0.68,0.25,0.88,0.11,0.98,0.01,0.55,0.11,0.98,0.01
0.53,0.22,0.2,0.8,0.02,0.92,0.01,0.16,0.04,0.54,0.03,0.96,0.04,0.99,0.01,0.81,0.18,0.86,0.07,0.23,0.18,0.86,0.07
0.67,0.65,0.34,0.78,0.08,0.79,0.15,0.61,0.14,0.7,0.15,0.82,0.14,0.67,0.15,1.0,0.0,0.98,0.01,0.99,0.0,0.97,0.01
0.67,0.7,0.33,0.75,0.11,0.73,0.24,0.52,0.3,0.62,0.27,0.55,0.3,0.3,0.24,0.97,0.02,0.9,0.07,0.94,0.02,0.78,0.07
0.64,0.58,0.32,0.6,0.13,0.62,0.23,0.32,0.21,0.47,0.22,0.76,0.21,0.62,0.23,0.9,0.08,0.98,0.01,0.72,0.08,0.98,0.01
0.67,0.72,0.35,0.86,0.06,0.86,0.12,0.71,0.17,0.78,0.15,0.72,0.17,0.53,0.12,0.98,0.01,0.98,0.01,0.97,0.01,0.95,0.01
0.67,0.69,0.34,0.98,0.01,0.97,0.02,0.87,0.05,0.92,0.04,0.93,0.05,0.93,0.02,0.9,0.07,0.91,0.06,0.78,0.07,0.85,0.06
0.68,0.71,0.36,0.99,0.0,1.0,0.0,0.91,0.04,0.96,0.02,0.94,0.04,0.99,0.0,0.9,0.07,0.95,0.04,0.79,0.07,0.89,0.04
0.67,0.72,0.33,0.92,0.03,0.92,0.07,0.86,0.08,0.89,0.08,0.86,0.08,0.69,0.07,0.94,0.04,0.99,0.01,0.89,0.04,0.97,0.01
0.66,0.72,0.33,0.79,0.1,0.79,0.2,0.54,0.34,0.67,0.27,0.42,0.34,0.23,0.2,0.95,0.03,0.9,0.07,0.91,0.03,0.75,0.07
0.66,0.72,0.32,0.83,0.08,0.83,0.16,0.6,0.31,0.71,0.23,0.44,0.31,0.26,0.16,0.97,0.02,0.93,0.05,0.95,0.02,0.82,0.05
0.66,0.71,0.32,0.75,0.12,0.75,0.24,0.48,0.41,0.61,0.32,0.36,0.41,0.17,0.24,0.93,0.05,0.87,0.1,0.88,0.05,0.69,0.1
0.68,0.71,0.35,0.76,0.11,0.75,0.23,0.5,0.33,0.62,0.28,0.52,0.33,0.28,0.23,0.95,0.04,0.9,0.08,0.9,0.04,0.76,0.08
0.67,0.71,0.33,0.73,0.13,0.72,0.26,0.44,0.41,0.58,0.33,0.39,0.41,0.18,0.26,0.92,0.05,0.86,0.11,0.85,0.05,0.67,0.11
0.66,0.68,0.33,0.65,0.15,0.62,0.34,0.38,0.4,0.5,0.37,0.46,0.4,0.2,0.34,0.92,0.06,0.84,0.12,0.84,0.06,0.67,0.12
0.67,0.71,0.34,0.71,0.14,0.71,0.28,0.4,0.47,0.55,0.38,0.32,0.47,0.13,0.28,0.89,0.07,0.85,0.12,0.81,0.07,0.63,0.12
0.66,0.71,0.32,0.73,0.13,0.73,0.27,0.42,0.49,0.57,0.38,0.23,0.49,0.08,0.27,0.9,0.07,0.81,0.16,0.83,0.07,0.51,0.16
0.66,0.69,0.32,0.67,0.16,0.65,0.33,0.36,0.49,0.51,0.41,0.33,0.49,0.15,0.33,0.89,0.08,0.85,0.12,0.79,0.08,0.67,0.12
0.66,0.71,0.33,0.74,0.12,0.73,0.26,0.45,0.43,0.59,0.34,0.34,0.43,0.13,0.26,0.92,0.05,0.84,0.13,0.86,0.05,0.6,0.13
0.66,0.72,0.33,0.74,0.12,0.73,0.27,0.46,0.42,0.59,0.34,0.33,0.42,0.09,0.27,0.93,0.05,0.79,0.18,0.88,0.05,0.43,0.18
0.66,0.72,0.33,0.76,0.11,0.76,0.24,0.47,0.43,0.61,0.33,0.3,0.43,0.1,0.24,0.92,0.05,0.82,0.15,0.87,0.05,0.51,0.15
0.66,0.72,0.33,0.78,0.1,0.79,0.21,0.5,0.42,0.65,0.32,0.29,0.42,0.09,0.21,0.93,0.05,0.83,0.14,0.88,0.05,0.51,0.14
0.65,0.72,0.3,0.81,0.09,0.81,0.19,0.56,0.38,0.69,0.29,0.28,0.38,0.1,0.19,0.95,0.03,0.84,0.13,0.93,0.03,0.55,0.13
0.64,0.72,0.3,0.84,0.08,0.84,0.15,0.61,0.34,0.72,0.24,0.29,0.34,0.12,0.15,0.97,0.02,0.88,0.1,0.95,0.02,0.63,0.1
0.62,0.72,0.27,0.9,0.05,0.91,0.09,0.73,0.24,0.82,0.16,0.32,0.24,0.2,0.09,0.99,0.01,0.94,0.04,0.98,0.01,0.82,0.04
