ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.46,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.09,0.0,1.0,0.82,0.09
0.56,0.72,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.78,0.1,0.0,1.0
0.54,0.46,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.68,0.23,0.0,1.0,0.56,0.23
0.57,0.56,0.17,0.21,0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.16,0.0,1.0,0.58,0.16,0.0,1.0
0.64,0.73,0.27,0.78,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.99,0.01,0.0,1.0,0.98,0.01,0.0,1.0
0.46,0.06,0.07,0.12,0.05,0.18,0.05,0.0,1.0,0.09,0.53,0.0,1.0,0.95,0.05,0.0,1.0,0.79,0.1,0.0,1.0,0.83,0.1
0.57,0.72,0.11,0.99,0.01,0.0,1.0,0.96,0.04,0.48,0.52,0.45,0.04,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.65,0.68,0.3,0.88,0.04,0.77,0.17,0.78,0.09,0.78,0.13,0.88,0.09,0.61,0.17,0.89,0.09,0.72,0.19,0.74,0.09,0.63,0.19
0.58,0.55,0.19,0.19,0.39,0.16,0.81,0.04,0.86,0.1,0.83,0.11,0.86,0.04,0.81,0.78,0.18,0.77,0.15,0.48,0.18,0.69,0.15
0.63,0.66,0.26,0.48,0.26,0.44,0.54,0.18,0.77,0.31,0.66,0.07,0.77,0.04,0.54,0.86,0.1,0.9,0.07,0.71,0.1,0.85,0.07
0.66,0.73,0.3,0.73,0.13,0.74,0.26,0.41,0.56,0.57,0.41,0.09,0.56,0.06,0.26,0.95,0.03,0.99,0.01,0.91,0.03,0.98,0.01
0.56,0.53,0.15,0.15,0.42,0.12,0.87,0.04,0.96,0.08,0.92,0.01,0.96,0.0,0.87,0.79,0.16,0.99,0.0,0.56,0.16,0.99,0.0
0.61,0.74,0.24,0.93,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.06,0.0,1.0,0.87,0.06,0.0,1.0
0.65,0.7,0.29,0.6,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.09,0.0,1.0,0.77,0.09,0.0,1.0
0.66,0.69,0.31,0.58,0.2,0.56,0.42,0.26,0.61,0.41,0.52,0.22,0.61,0.09,0.42,0.91,0.07,0.84,0.11,0.8,0.07,0.71,0.11
0.67,0.73,0.32,0.81,0.09,0.8,0.18,0.61,0.27,0.71,0.23,0.53,0.27,0.31,0.18,0.95,0.03,0.97,0.02,0.9,0.03,0.95,0.02
0.57,0.53,0.19,0.16,0.4,0.13,0.83,0.04,0.77,0.09,0.8,0.2,0.77,0.05,0.83,0.84,0.12,0.71,0.2,0.63,0.12,0.59,0.2
0.66,0.72,0.3,0.67,0.16,0.66,0.33,0.33,0.64,0.49,0.48,0.06,0.64,0.03,0.33,0.92,0.06,0.97,0.02,0.84,0.06,0.94,0.02
0.6,0.53,0.28,0.78,0.06,0.85,0.07,0.64,0.07,0.74,0.07,0.92,0.07,0.89,0.07,0.97,0.03,0.82,0.1,0.89,0.03,0.81,0.1
0.56,0.48,0.18,0.07,0.42,0.06,0.85,0.02,0.66,0.04,0.76,0.33,0.66,0.1,0.85,0.88,0.09,0.74,0.17,0.69,0.09,0.66,0.17
0.67,0.68,0.34,0.88,0.04,0.95,0.03,0.74,0.09,0.84,0.06,0.88,0.09,0.92,0.03,0.95,0.04,0.82,0.12,0.87,0.04,0.75,0.12
0.58,0.56,0.19,0.2,0.39,0.18,0.8,0.04,0.91,0.11,0.85,0.06,0.91,0.03,0.8,0.75,0.21,0.87,0.08,0.42,0.21,0.83,0.08
0.54,0.49,0.13,0.06,0.46,0.05,0.92,0.02,0.91,0.04,0.92,0.08,0.91,0.03,0.92,0.82,0.14,0.81,0.11,0.61,0.14,0.78,0.11
0.67,0.71,0.34,0.74,0.11,0.75,0.22,0.47,0.34,0.61,0.28,0.52,0.34,0.39,0.22,0.99,0.01,0.95,0.03,0.98,0.01,0.91,0.03
0.59,0.53,0.22,0.19,0.36,0.16,0.75,0.05,0.64,0.11,0.7,0.34,0.64,0.13,0.75,0.83,0.14,0.8,0.13,0.56,0.14,0.73,0.13
0.66,0.74,0.31,0.94,0.03,0.91,0.08,0.78,0.14,0.84,0.11,0.71,0.14,0.51,0.08,0.82,0.13,0.8,0.16,0.67,0.13,0.58,0.16
0.64,0.64,0.29,0.44,0.26,0.41,0.55,0.16,0.65,0.28,0.6,0.26,0.65,0.1,0.55,0.86,0.11,0.84,0.11,0.68,0.11,0.74,0.11
0.55,0.41,0.21,0.44,0.11,0.32,0.26,0.53,0.06,0.43,0.16,0.94,0.06,0.71,0.26,0.98,0.01,0.69,0.18,0.94,0.01,0.71,0.18
0.57,0.61,0.13,0.18,0.36,0.11,0.8,0.11,0.56,0.11,0.68,0.4,0.56,0.12,0.8,0.86,0.1,0.5,0.39,0.75,0.1,0.37,0.39
0.66,0.66,0.33,0.67,0.13,0.66,0.25,0.46,0.23,0.56,0.24,0.71,0.23,0.5,0.25,0.98,0.01,0.97,0.02,0.96,0.01,0.95,0.02
0.66,0.73,0.3,0.89,0.05,0.83,0.15,0.67,0.2,0.75,0.17,0.67,0.2,0.46,0.15,0.81,0.14,0.76,0.18,0.64,0.14,0.58,0.18
0.58,0.58,0.18,0.12,0.33,0.08,0.72,0.07,0.41,0.08,0.56,0.57,0.41,0.24,0.72,0.87,0.1,0.55,0.32,0.72,0.1,0.49,0.32
0.54,0.61,0.04,0.19,0.38,0.13,0.85,0.07,0.77,0.1,0.81,0.18,0.77,0.03,0.85,0.72,0.22,0.46,0.46,0.5,0.22,0.25,0.46
0.68,0.71,0.34,0.97,0.01,0.97,0.02,0.98,0.01,0.97,0.01,0.99,0.01,0.92,0.02,0.89,0.08,0.82,0.12,0.76,0.08,0.72,0.12
0.64,0.71,0.25,0.72,0.12,0.62,0.35,0.44,0.37,0.53,0.36,0.48,0.37,0.18,0.35,0.79,0.16,0.62,0.31,0.59,0.16,0.39,0.31
0.58,0.6,0.17,0.16,0.34,0.11,0.75,0.07,0.49,0.09,0.62,0.49,0.49,0.17,0.75,0.8,0.16,0.53,0.35,0.56,0.16,0.43,0.35
