ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.56,0.92,0.04,0.87,0.12,0.31,0.17,0.81,0.17,0.32,0.12,0.81,0.12,0.82,0.1,0.74,0.12,0.81,0.1,0.84,0.15
0.56,0.92,0.04,0.87,0.12,0.32,0.17,0.81,0.17,0.32,0.12,0.81,0.12,0.81,0.11,0.74,0.12,0.8,0.11,0.84,0.15
0.55,0.92,0.04,0.87,0.12,0.31,0.18,0.81,0.18,0.34,0.12,0.81,0.12,0.84,0.09,0.74,0.12,0.84,0.09,0.84,0.15
0.56,0.92,0.04,0.87,0.12,0.33,0.17,0.81,0.17,0.33,0.12,0.81,0.12,0.81,0.11,0.74,0.12,0.8,0.11,0.84,0.15
0.55,0.91,0.04,0.87,0.12,0.31,0.19,0.79,0.19,0.35,0.12,0.8,0.13,0.86,0.07,0.73,0.13,0.86,0.07,0.83,0.15
0.56,0.9,0.05,0.87,0.12,0.28,0.23,0.75,0.23,0.37,0.12,0.79,0.14,0.93,0.04,0.71,0.14,0.93,0.04,0.81,0.17
0.56,0.9,0.05,0.86,0.13,0.28,0.24,0.74,0.24,0.38,0.13,0.79,0.14,0.94,0.03,0.7,0.14,0.93,0.03,0.8,0.18
0.56,0.89,0.05,0.86,0.13,0.27,0.25,0.72,0.25,0.38,0.13,0.78,0.15,0.95,0.03,0.7,0.15,0.95,0.03,0.79,0.19
0.56,0.89,0.05,0.87,0.12,0.27,0.26,0.71,0.26,0.4,0.12,0.78,0.15,0.99,0.01,0.68,0.15,0.99,0.01,0.79,0.19
0.56,0.89,0.05,0.87,0.12,0.31,0.26,0.7,0.26,0.42,0.12,0.78,0.15,0.95,0.03,0.68,0.15,0.94,0.03,0.78,0.19
0.58,0.88,0.06,0.85,0.14,0.4,0.26,0.69,0.26,0.39,0.14,0.78,0.15,0.83,0.11,0.67,0.15,0.77,0.11,0.77,0.2
0.6,0.89,0.05,0.85,0.14,0.51,0.22,0.71,0.22,0.46,0.14,0.8,0.14,0.8,0.13,0.68,0.14,0.72,0.13,0.78,0.18
0.61,0.91,0.04,0.86,0.12,0.66,0.16,0.77,0.16,0.53,0.12,0.82,0.13,0.77,0.16,0.7,0.13,0.67,0.16,0.81,0.14
0.61,0.95,0.02,0.9,0.08,0.83,0.08,0.87,0.08,0.71,0.08,0.84,0.11,0.78,0.14,0.74,0.11,0.71,0.14,0.89,0.08
0.62,0.96,0.01,0.92,0.06,0.87,0.07,0.88,0.07,0.78,0.06,0.85,0.11,0.8,0.13,0.73,0.11,0.73,0.13,0.9,0.07
0.63,0.99,0.0,0.96,0.03,0.9,0.05,0.9,0.05,0.9,0.03,0.85,0.11,0.83,0.11,0.72,0.11,0.77,0.11,0.93,0.04
0.63,0.99,0.0,0.97,0.02,0.98,0.01,0.98,0.01,0.92,0.02,0.87,0.09,0.81,0.12,0.75,0.09,0.75,0.12,0.97,0.01
0.64,0.96,0.02,0.99,0.0,0.95,0.03,0.94,0.03,0.99,0.0,0.89,0.08,0.82,0.11,0.77,0.08,0.76,0.11,0.96,0.01
0.65,0.9,0.04,0.95,0.03,0.85,0.09,0.79,0.09,0.9,0.03,0.93,0.05,0.81,0.12,0.84,0.05,0.75,0.12,0.87,0.06
0.64,0.85,0.06,0.9,0.07,0.78,0.15,0.68,0.15,0.82,0.07,0.95,0.03,0.81,0.12,0.9,0.03,0.76,0.12,0.79,0.11
0.64,0.8,0.07,0.82,0.12,0.77,0.17,0.63,0.17,0.71,0.12,0.95,0.04,0.85,0.09,0.89,0.04,0.82,0.09,0.72,0.15
0.63,0.74,0.1,0.75,0.17,0.71,0.21,0.54,0.21,0.64,0.17,0.97,0.02,0.87,0.08,0.93,0.02,0.84,0.08,0.65,0.19
0.63,0.7,0.11,0.69,0.22,0.7,0.23,0.5,0.23,0.57,0.22,0.96,0.03,0.9,0.06,0.91,0.03,0.88,0.06,0.59,0.23
0.63,0.66,0.13,0.64,0.26,0.68,0.25,0.46,0.25,0.52,0.26,0.97,0.02,0.92,0.04,0.93,0.02,0.91,0.04,0.55,0.26
0.63,0.61,0.15,0.58,0.31,0.64,0.3,0.37,0.3,0.45,0.31,1.0,0.0,0.96,0.02,0.99,0.0,0.95,0.02,0.47,0.3
0.63,0.57,0.17,0.54,0.35,0.62,0.32,0.34,0.32,0.4,0.35,0.99,0.0,1.0,0.0,0.98,0.0,1.0,0.0,0.44,0.33
0.63,0.53,0.19,0.5,0.39,0.58,0.36,0.3,0.36,0.36,0.39,0.98,0.02,0.99,0.01,0.94,0.02,0.98,0.01,0.4,0.38
0.63,0.52,0.2,0.48,0.41,0.56,0.38,0.27,0.38,0.34,0.41,0.97,0.03,0.97,0.02,0.91,0.03,0.97,0.02,0.38,0.4
0.63,0.5,0.21,0.47,0.43,0.51,0.42,0.24,0.42,0.31,0.43,0.94,0.05,0.98,0.01,0.84,0.05,0.97,0.01,0.35,0.42
0.64,0.48,0.22,0.45,0.46,0.51,0.43,0.23,0.43,0.27,0.46,0.93,0.05,0.92,0.05,0.82,0.05,0.89,0.05,0.34,0.45
0.64,0.48,0.22,0.45,0.46,0.49,0.45,0.22,0.45,0.26,0.46,0.93,0.05,0.92,0.05,0.82,0.05,0.89,0.05,0.34,0.46
