ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.67,0.68,0.35,0.13,0.43,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.21,0.0,1.0,0.44,0.21,0.0,1.0
0.75,0.69,0.53,0.2,0.28,0.25,0.57,0.09,0.16,0.17,0.36,0.84,0.16,0.3,0.57,0.98,0.02,0.94,0.04,0.85,0.02,0.88,0.04
0.8,0.81,0.61,0.48,0.23,0.74,0.25,0.11,0.53,0.42,0.39,0.43,0.53,0.16,0.25,0.86,0.11,0.96,0.03,0.57,0.11,0.81,0.03
0.8,0.77,0.6,0.84,0.05,0.83,0.13,0.7,0.04,0.76,0.09,0.96,0.04,0.61,0.13,0.81,0.17,0.68,0.28,0.31,0.17,0.27,0.28
0.79,0.74,0.59,0.83,0.05,0.76,0.18,0.86,0.01,0.81,0.1,0.99,0.01,0.58,0.18,0.89,0.1,0.64,0.32,0.37,0.1,0.27,0.32
0.81,0.78,0.63,0.67,0.11,0.99,0.01,0.56,0.05,0.78,0.03,0.95,0.05,0.97,0.01,0.93,0.07,0.73,0.23,0.58,0.07,0.37,0.23
0.81,0.79,0.62,0.45,0.22,0.66,0.3,0.13,0.3,0.4,0.3,0.69,0.3,0.3,0.3,0.94,0.05,0.92,0.07,0.71,0.05,0.73,0.07
0.8,0.8,0.6,0.46,0.24,0.71,0.28,0.1,0.56,0.4,0.42,0.4,0.56,0.13,0.28,0.85,0.13,0.99,0.01,0.55,0.13,0.94,0.01
0.79,0.81,0.6,0.48,0.24,0.75,0.24,0.1,0.63,0.42,0.43,0.32,0.63,0.1,0.24,0.83,0.14,0.99,0.01,0.52,0.14,0.94,0.01
0.76,0.78,0.55,0.49,0.25,0.78,0.22,0.1,0.84,0.44,0.53,0.07,0.84,0.02,0.22,0.8,0.16,0.97,0.03,0.55,0.16,0.72,0.03
0.81,0.81,0.62,0.5,0.23,0.78,0.21,0.11,0.55,0.45,0.38,0.41,0.55,0.18,0.21,0.86,0.12,0.95,0.05,0.58,0.12,0.72,0.05
0.81,0.82,0.63,0.57,0.19,0.84,0.15,0.21,0.39,0.53,0.27,0.57,0.39,0.35,0.15,0.96,0.03,0.89,0.09,0.88,0.03,0.54,0.09
0.81,0.78,0.63,0.75,0.08,0.87,0.1,0.86,0.01,0.86,0.06,0.99,0.01,0.71,0.1,0.9,0.1,0.69,0.27,0.44,0.1,0.3,0.27
0.79,0.81,0.6,0.52,0.23,0.79,0.2,0.13,0.62,0.46,0.41,0.32,0.62,0.11,0.2,0.87,0.11,0.98,0.02,0.65,0.11,0.85,0.02
0.8,0.77,0.62,0.79,0.06,0.85,0.12,0.92,0.01,0.89,0.07,0.99,0.01,0.65,0.12,0.86,0.13,0.69,0.28,0.37,0.13,0.28,0.28
0.82,0.81,0.65,0.63,0.14,0.94,0.05,0.32,0.18,0.63,0.11,0.8,0.18,0.79,0.05,0.97,0.02,0.79,0.19,0.88,0.02,0.38,0.19
0.82,0.81,0.64,0.65,0.13,0.97,0.02,0.37,0.15,0.67,0.08,0.83,0.15,0.91,0.02,0.95,0.04,0.77,0.21,0.8,0.04,0.35,0.21
0.78,0.8,0.58,0.52,0.23,0.79,0.21,0.13,0.69,0.46,0.45,0.23,0.69,0.07,0.21,0.86,0.11,0.99,0.0,0.65,0.11,0.96,0.0
0.8,0.81,0.61,0.49,0.23,0.76,0.23,0.11,0.58,0.43,0.4,0.37,0.58,0.14,0.23,0.85,0.13,0.97,0.03,0.56,0.13,0.82,0.03
0.82,0.82,0.64,0.55,0.2,0.83,0.16,0.17,0.41,0.5,0.28,0.56,0.41,0.33,0.16,0.93,0.06,0.9,0.09,0.74,0.06,0.55,0.09
0.79,0.81,0.6,0.56,0.2,0.82,0.17,0.2,0.52,0.51,0.35,0.41,0.52,0.18,0.17,0.95,0.04,0.94,0.05,0.86,0.04,0.69,0.05
0.77,0.79,0.57,0.61,0.18,0.84,0.15,0.26,0.53,0.55,0.34,0.34,0.53,0.13,0.15,0.98,0.01,0.97,0.03,0.96,0.01,0.77,0.03
0.83,0.83,0.66,0.58,0.17,0.86,0.13,0.24,0.29,0.55,0.21,0.68,0.29,0.46,0.13,0.99,0.01,0.87,0.11,0.95,0.01,0.5,0.11
0.77,0.77,0.55,0.33,0.31,0.49,0.49,0.05,0.59,0.27,0.54,0.39,0.59,0.07,0.49,0.82,0.16,0.93,0.06,0.43,0.16,0.71,0.06
0.77,0.79,0.57,0.5,0.24,0.78,0.22,0.11,0.74,0.45,0.48,0.18,0.74,0.07,0.22,0.83,0.14,0.98,0.02,0.59,0.14,0.85,0.02
0.78,0.8,0.58,0.57,0.2,0.82,0.17,0.2,0.57,0.51,0.37,0.33,0.57,0.12,0.17,0.95,0.04,0.97,0.03,0.88,0.04,0.8,0.03
0.79,0.81,0.6,0.52,0.22,0.79,0.2,0.13,0.6,0.46,0.4,0.34,0.6,0.13,0.2,0.87,0.1,0.97,0.02,0.66,0.1,0.82,0.02
0.78,0.79,0.57,0.44,0.27,0.68,0.32,0.08,0.68,0.38,0.5,0.27,0.68,0.06,0.32,0.81,0.16,0.96,0.04,0.49,0.16,0.76,0.04
0.83,0.82,0.65,0.61,0.15,0.92,0.07,0.29,0.21,0.6,0.14,0.77,0.21,0.72,0.07,0.99,0.01,0.8,0.17,0.95,0.01,0.39,0.17
0.81,0.78,0.63,0.69,0.1,0.96,0.03,0.61,0.04,0.78,0.04,0.95,0.04,0.91,0.03,0.92,0.07,0.72,0.24,0.55,0.07,0.35,0.24
0.81,0.78,0.63,0.74,0.08,0.88,0.09,0.82,0.02,0.85,0.06,0.98,0.02,0.73,0.09,0.9,0.09,0.69,0.27,0.45,0.09,0.3,0.27
0.82,0.8,0.64,0.62,0.14,0.94,0.04,0.3,0.16,0.62,0.1,0.83,0.16,0.84,0.04,0.99,0.01,0.77,0.2,0.93,0.01,0.38,0.2
0.81,0.8,0.63,0.7,0.11,0.99,0.01,0.52,0.11,0.76,0.06,0.87,0.11,0.98,0.01,0.9,0.09,0.76,0.22,0.63,0.09,0.33,0.22
0.83,0.82,0.65,0.61,0.15,0.91,0.08,0.29,0.22,0.6,0.15,0.75,0.22,0.65,0.08,0.98,0.01,0.82,0.16,0.93,0.01,0.41,0.16
0.82,0.81,0.65,0.65,0.13,0.98,0.01,0.36,0.13,0.67,0.07,0.85,0.13,0.95,0.01,0.97,0.03,0.76,0.22,0.83,0.03,0.35,0.22
0.8,0.81,0.62,0.51,0.22,0.79,0.2,0.12,0.58,0.46,0.39,0.37,0.58,0.15,0.2,0.86,0.11,0.96,0.03,0.61,0.11,0.76,0.03
0.82,0.82,0.64,0.55,0.19,0.84,0.15,0.18,0.38,0.51,0.27,0.58,0.38,0.36,0.15,0.93,0.05,0.89,0.1,0.76,0.05,0.53,0.1
0.8,0.81,0.62,0.5,0.23,0.77,0.22,0.11,0.56,0.44,0.39,0.4,0.56,0.16,0.22,0.86,0.12,0.96,0.04,0.57,0.12,0.77,0.04
0.79,0.81,0.6,0.49,0.24,0.77,0.23,0.1,0.66,0.43,0.45,0.28,0.66,0.09,0.23,0.83,0.14,1.0,0.0,0.54,0.14,0.97,0.0
0.78,0.8,0.59,0.49,0.24,0.77,0.22,0.1,0.7,0.43,0.46,0.24,0.7,0.07,0.22,0.82,0.15,1.0,0.0,0.54,0.15,0.96,0.0
