ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.72,0.69,0.44,0.05,0.42,0.07,0.88,0.01,0.56,0.04,0.72,0.44,0.56,0.06,0.88,0.85,0.13,0.83,0.14,0.49,0.13,0.56,0.14
0.71,0.7,0.43,0.11,0.41,0.14,0.84,0.02,0.69,0.08,0.76,0.3,0.69,0.03,0.84,0.85,0.12,0.78,0.19,0.59,0.12,0.36,0.19
0.79,0.79,0.58,0.41,0.26,0.61,0.37,0.09,0.53,0.35,0.45,0.44,0.53,0.13,0.37,0.87,0.11,1.0,0.0,0.57,0.11,0.99,0.0
0.82,0.82,0.64,0.54,0.19,0.82,0.16,0.17,0.35,0.49,0.26,0.63,0.35,0.39,0.16,0.93,0.06,0.87,0.11,0.74,0.06,0.53,0.11
0.83,0.82,0.65,0.57,0.17,0.86,0.12,0.22,0.27,0.54,0.2,0.71,0.27,0.52,0.12,0.98,0.02,0.85,0.13,0.89,0.02,0.48,0.13
0.83,0.82,0.66,0.59,0.16,0.89,0.1,0.26,0.22,0.57,0.16,0.76,0.22,0.61,0.1,1.0,0.0,0.83,0.15,0.99,0.0,0.44,0.15
0.83,0.82,0.66,0.61,0.15,0.91,0.07,0.29,0.2,0.6,0.14,0.79,0.2,0.7,0.07,0.99,0.01,0.81,0.17,0.94,0.01,0.41,0.17
0.83,0.81,0.65,0.62,0.15,0.93,0.06,0.3,0.18,0.61,0.12,0.8,0.18,0.76,0.06,0.98,0.02,0.79,0.18,0.91,0.02,0.39,0.18
0.83,0.81,0.65,0.62,0.14,0.93,0.05,0.31,0.17,0.62,0.11,0.81,0.17,0.78,0.05,0.98,0.02,0.79,0.18,0.89,0.02,0.39,0.18
0.82,0.81,0.65,0.63,0.14,0.95,0.04,0.33,0.16,0.64,0.1,0.83,0.16,0.84,0.04,0.97,0.02,0.78,0.2,0.87,0.02,0.37,0.2
0.82,0.81,0.64,0.64,0.13,0.97,0.02,0.35,0.15,0.66,0.08,0.84,0.15,0.9,0.02,0.97,0.03,0.76,0.21,0.84,0.03,0.36,0.21
0.82,0.81,0.64,0.64,0.13,0.97,0.02,0.36,0.14,0.67,0.08,0.85,0.14,0.91,0.02,0.97,0.03,0.76,0.21,0.83,0.03,0.36,0.21
0.82,0.81,0.65,0.65,0.13,0.98,0.02,0.37,0.13,0.68,0.07,0.86,0.13,0.93,0.02,0.96,0.03,0.76,0.21,0.8,0.03,0.36,0.21
0.82,0.8,0.64,0.65,0.12,0.99,0.01,0.39,0.12,0.69,0.07,0.87,0.12,0.96,0.01,0.96,0.04,0.76,0.22,0.78,0.04,0.35,0.22
0.82,0.8,0.64,0.66,0.12,1.0,0.0,0.4,0.11,0.7,0.06,0.88,0.11,0.99,0.0,0.95,0.04,0.75,0.22,0.76,0.04,0.35,0.22
