ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.64,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,0.29,0.0,1.0,0.58,0.29,0.0,1.0
0.73,0.74,0.47,0.33,0.33,0.52,0.48,0.04,0.89,0.28,0.69,0.07,0.89,0.0,0.48,0.73,0.23,0.85,0.14,0.38,0.23,0.25,0.14
0.73,0.63,0.49,0.08,0.3,0.11,0.63,0.04,0.13,0.07,0.38,0.87,0.13,0.32,0.63,0.98,0.02,0.94,0.04,0.88,0.02,0.88,0.04
0.74,0.64,0.51,0.13,0.28,0.18,0.59,0.06,0.13,0.12,0.36,0.86,0.13,0.33,0.59,0.98,0.02,0.93,0.05,0.87,0.02,0.86,0.05
0.68,0.49,0.42,0.08,0.22,0.12,0.42,0.03,0.05,0.07,0.23,0.95,0.05,0.55,0.42,1.0,0.0,0.78,0.15,0.94,0.0,0.67,0.15
0.78,0.79,0.58,0.48,0.24,0.76,0.24,0.1,0.67,0.43,0.46,0.28,0.67,0.09,0.24,0.82,0.15,0.99,0.01,0.53,0.15,0.96,0.01
0.76,0.78,0.55,0.47,0.26,0.76,0.24,0.09,0.8,0.42,0.52,0.13,0.8,0.04,0.24,0.78,0.18,0.99,0.01,0.51,0.18,0.95,0.01
0.79,0.8,0.59,0.66,0.15,0.9,0.09,0.37,0.33,0.64,0.21,0.59,0.33,0.41,0.09,0.91,0.06,0.9,0.09,0.8,0.06,0.49,0.09
0.76,0.78,0.56,0.53,0.23,0.81,0.19,0.14,0.73,0.48,0.46,0.18,0.73,0.07,0.19,0.85,0.11,0.98,0.02,0.68,0.11,0.83,0.02
0.78,0.79,0.58,0.58,0.19,0.84,0.15,0.23,0.52,0.54,0.34,0.38,0.52,0.19,0.15,0.96,0.03,0.95,0.05,0.91,0.03,0.66,0.05
0.78,0.79,0.58,0.73,0.12,0.93,0.06,0.54,0.22,0.74,0.14,0.7,0.22,0.54,0.06,0.82,0.14,0.89,0.1,0.65,0.14,0.44,0.1
0.76,0.69,0.54,0.98,0.0,0.6,0.3,0.47,0.05,0.53,0.17,0.95,0.05,0.44,0.3,0.85,0.14,0.6,0.36,0.28,0.14,0.23,0.36
0.82,0.8,0.64,0.61,0.14,0.94,0.05,0.29,0.18,0.61,0.11,0.81,0.18,0.82,0.05,1.0,0.0,0.78,0.19,0.98,0.0,0.38,0.19
0.82,0.82,0.65,0.58,0.17,0.87,0.11,0.23,0.27,0.55,0.19,0.7,0.27,0.55,0.11,0.97,0.02,0.85,0.13,0.89,0.02,0.46,0.13
0.79,0.8,0.6,0.49,0.24,0.77,0.22,0.11,0.62,0.44,0.42,0.33,0.62,0.13,0.22,0.83,0.14,0.97,0.02,0.56,0.14,0.82,0.02
0.76,0.78,0.55,0.49,0.25,0.79,0.21,0.11,0.79,0.45,0.5,0.13,0.79,0.04,0.21,0.8,0.16,0.99,0.01,0.56,0.16,0.92,0.01
0.78,0.75,0.57,0.34,0.25,0.48,0.43,0.1,0.27,0.29,0.35,0.72,0.27,0.28,0.43,0.94,0.05,0.94,0.04,0.72,0.05,0.84,0.04
0.77,0.69,0.56,0.53,0.13,0.79,0.13,0.47,0.04,0.63,0.09,0.96,0.04,0.75,0.13,0.93,0.06,0.76,0.19,0.54,0.06,0.52,0.19
0.8,0.79,0.61,0.76,0.09,0.93,0.06,0.7,0.06,0.81,0.06,0.93,0.06,0.77,0.06,0.85,0.12,0.74,0.23,0.55,0.12,0.29,0.23
0.79,0.8,0.6,0.58,0.19,0.84,0.15,0.23,0.47,0.54,0.31,0.45,0.47,0.23,0.15,0.97,0.02,0.94,0.05,0.92,0.02,0.64,0.05
0.82,0.81,0.65,0.58,0.17,0.88,0.1,0.24,0.26,0.56,0.18,0.72,0.26,0.57,0.1,0.98,0.02,0.85,0.14,0.92,0.02,0.45,0.14
0.82,0.81,0.64,0.51,0.2,0.78,0.2,0.16,0.36,0.47,0.28,0.62,0.36,0.31,0.2,0.93,0.06,0.92,0.07,0.73,0.06,0.66,0.07
0.82,0.8,0.64,0.64,0.13,0.98,0.01,0.35,0.15,0.67,0.08,0.83,0.15,0.94,0.01,0.97,0.02,0.77,0.2,0.87,0.02,0.35,0.2
0.82,0.79,0.63,0.65,0.12,0.99,0.01,0.37,0.13,0.68,0.07,0.85,0.13,0.97,0.01,0.97,0.03,0.76,0.21,0.84,0.03,0.35,0.21
0.8,0.79,0.61,0.74,0.1,0.97,0.03,0.61,0.1,0.79,0.07,0.88,0.1,0.87,0.03,0.86,0.11,0.77,0.21,0.6,0.11,0.3,0.21
0.77,0.69,0.56,0.46,0.16,0.66,0.21,0.42,0.05,0.54,0.13,0.95,0.05,0.63,0.21,0.92,0.07,0.79,0.16,0.52,0.07,0.58,0.16
0.82,0.81,0.64,0.59,0.17,0.87,0.12,0.26,0.3,0.56,0.21,0.66,0.3,0.47,0.12,1.0,0.0,0.88,0.11,1.0,0.0,0.49,0.11
0.81,0.81,0.63,0.62,0.16,0.87,0.12,0.31,0.32,0.59,0.22,0.63,0.32,0.38,0.12,0.96,0.03,0.91,0.08,0.89,0.03,0.56,0.08
