ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.69,0.52,0.43,0.71,0.05,0.86,0.05,0.96,0.0,0.91,0.03,1.0,0.0,0.92,0.05,0.91,0.08,0.63,0.29,0.37,0.08,0.44,0.29
0.79,0.77,0.58,0.87,0.04,0.82,0.15,0.7,0.05,0.76,0.1,0.94,0.05,0.54,0.15,0.78,0.2,0.7,0.28,0.33,0.2,0.25,0.28
0.8,0.78,0.61,0.78,0.07,0.89,0.09,0.86,0.02,0.88,0.06,0.97,0.02,0.7,0.09,0.84,0.14,0.73,0.25,0.47,0.14,0.29,0.25
0.81,0.79,0.61,0.75,0.09,0.92,0.06,0.71,0.05,0.81,0.06,0.94,0.05,0.77,0.06,0.86,0.12,0.74,0.24,0.54,0.12,0.3,0.24
0.81,0.79,0.61,0.75,0.08,0.91,0.07,0.72,0.05,0.81,0.06,0.94,0.05,0.74,0.07,0.87,0.12,0.73,0.24,0.54,0.12,0.29,0.24
0.81,0.79,0.62,0.75,0.08,0.9,0.08,0.74,0.04,0.82,0.06,0.95,0.04,0.73,0.08,0.87,0.11,0.73,0.24,0.52,0.11,0.29,0.24
0.81,0.79,0.62,0.75,0.08,0.9,0.08,0.69,0.05,0.79,0.07,0.94,0.05,0.74,0.08,0.88,0.1,0.73,0.25,0.56,0.1,0.29,0.25
0.81,0.79,0.62,0.74,0.09,0.91,0.07,0.67,0.05,0.79,0.06,0.94,0.05,0.75,0.07,0.89,0.1,0.73,0.24,0.56,0.1,0.3,0.24
0.81,0.78,0.62,0.75,0.08,0.89,0.09,0.74,0.04,0.81,0.07,0.96,0.04,0.71,0.09,0.88,0.1,0.72,0.25,0.52,0.1,0.29,0.25
0.81,0.78,0.62,0.75,0.08,0.9,0.08,0.68,0.05,0.79,0.07,0.94,0.05,0.74,0.08,0.89,0.1,0.73,0.25,0.56,0.1,0.29,0.25
0.81,0.79,0.62,0.74,0.09,0.91,0.07,0.68,0.05,0.8,0.06,0.95,0.05,0.75,0.07,0.89,0.1,0.73,0.24,0.55,0.1,0.3,0.24
0.81,0.78,0.62,0.75,0.08,0.91,0.07,0.69,0.05,0.8,0.06,0.94,0.05,0.74,0.07,0.88,0.1,0.73,0.25,0.56,0.1,0.29,0.25
0.81,0.78,0.62,0.75,0.08,0.9,0.08,0.73,0.04,0.81,0.06,0.95,0.04,0.72,0.08,0.88,0.11,0.72,0.25,0.53,0.11,0.29,0.25
0.81,0.78,0.62,0.76,0.08,0.89,0.08,0.75,0.04,0.82,0.06,0.96,0.04,0.71,0.08,0.88,0.11,0.72,0.25,0.52,0.11,0.29,0.25
0.81,0.78,0.62,0.76,0.08,0.89,0.08,0.75,0.04,0.82,0.06,0.96,0.04,0.71,0.08,0.87,0.11,0.72,0.25,0.52,0.11,0.29,0.25
0.81,0.78,0.62,0.76,0.08,0.88,0.1,0.79,0.03,0.83,0.07,0.97,0.03,0.69,0.1,0.88,0.11,0.71,0.26,0.5,0.11,0.28,0.26
0.81,0.79,0.62,0.75,0.08,0.9,0.08,0.69,0.05,0.79,0.07,0.94,0.05,0.73,0.08,0.89,0.1,0.73,0.25,0.55,0.1,0.29,0.25
0.81,0.79,0.62,0.75,0.09,0.91,0.07,0.67,0.06,0.79,0.07,0.93,0.06,0.74,0.07,0.88,0.1,0.73,0.24,0.57,0.1,0.29,0.24
0.81,0.78,0.62,0.75,0.08,0.9,0.08,0.73,0.04,0.81,0.06,0.95,0.04,0.72,0.08,0.88,0.1,0.72,0.25,0.53,0.1,0.29,0.25
0.81,0.79,0.62,0.75,0.08,0.9,0.08,0.7,0.05,0.8,0.07,0.95,0.05,0.72,0.08,0.88,0.1,0.72,0.25,0.55,0.1,0.29,0.25
0.81,0.78,0.62,0.75,0.08,0.9,0.08,0.71,0.05,0.8,0.07,0.95,0.05,0.72,0.08,0.88,0.1,0.72,0.25,0.54,0.1,0.29,0.25
