ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.48,0.65,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.52,0.3,0.0,1.0,0.55,0.3,0.0,1.0
0.79,0.75,0.58,0.45,0.19,0.65,0.26,0.24,0.15,0.45,0.21,0.85,0.15,0.49,0.26,0.97,0.03,0.83,0.14,0.82,0.03,0.61,0.14
0.8,0.81,0.61,0.54,0.21,0.81,0.18,0.16,0.5,0.49,0.34,0.44,0.5,0.23,0.18,0.92,0.07,0.92,0.07,0.76,0.07,0.61,0.07
0.82,0.81,0.64,0.62,0.14,0.93,0.05,0.33,0.18,0.63,0.11,0.81,0.18,0.78,0.05,0.96,0.03,0.78,0.19,0.84,0.03,0.38,0.19
0.79,0.74,0.59,0.68,0.1,0.99,0.01,0.8,0.02,0.9,0.01,0.98,0.02,0.97,0.01,0.89,0.1,0.71,0.25,0.41,0.1,0.39,0.25
0.81,0.81,0.63,0.63,0.15,0.91,0.08,0.34,0.25,0.62,0.17,0.72,0.25,0.63,0.08,0.95,0.04,0.83,0.16,0.83,0.04,0.4,0.16
0.78,0.8,0.58,0.6,0.19,0.85,0.14,0.24,0.51,0.54,0.33,0.38,0.51,0.2,0.14,1.0,0.0,0.93,0.06,0.99,0.0,0.61,0.06
0.8,0.8,0.6,0.44,0.24,0.65,0.32,0.12,0.4,0.39,0.36,0.58,0.4,0.22,0.32,0.91,0.07,0.95,0.04,0.68,0.07,0.81,0.04
0.82,0.81,0.64,0.6,0.16,0.89,0.09,0.28,0.21,0.58,0.15,0.77,0.21,0.68,0.09,0.99,0.01,0.8,0.18,0.95,0.01,0.41,0.18
0.8,0.78,0.6,0.45,0.21,0.65,0.29,0.15,0.25,0.4,0.27,0.73,0.25,0.38,0.29,0.97,0.03,0.87,0.1,0.84,0.03,0.65,0.1
0.82,0.82,0.64,0.59,0.17,0.88,0.11,0.25,0.26,0.56,0.18,0.71,0.26,0.56,0.11,1.0,0.0,0.83,0.15,1.0,0.0,0.44,0.15
0.76,0.79,0.56,0.63,0.18,0.86,0.14,0.28,0.56,0.57,0.35,0.29,0.56,0.1,0.14,0.97,0.02,0.99,0.01,0.93,0.02,0.87,0.01
0.8,0.81,0.61,0.51,0.22,0.77,0.22,0.13,0.53,0.45,0.38,0.42,0.53,0.2,0.22,0.89,0.09,0.93,0.06,0.66,0.09,0.66,0.06
0.81,0.79,0.63,0.71,0.1,0.94,0.05,0.61,0.06,0.77,0.06,0.94,0.06,0.83,0.05,0.9,0.09,0.72,0.25,0.56,0.09,0.32,0.25
0.82,0.82,0.64,0.6,0.16,0.88,0.1,0.29,0.27,0.58,0.18,0.7,0.27,0.56,0.1,0.98,0.02,0.84,0.14,0.92,0.02,0.44,0.14
