ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.64,0.04,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.95,0.0,0.0,1.0,0.51,0.3,0.0,1.0,0.55,0.3,0.0,1.0
0.57,0.68,0.3,0.88,0.06,0.98,0.02,0.7,0.3,0.84,0.16,0.02,0.3,0.01,0.02,0.64,0.23,0.97,0.03,0.62,0.23,0.54,0.03
0.68,0.71,0.4,0.89,0.05,0.82,0.17,0.4,0.35,0.61,0.26,0.54,0.35,0.19,0.17,0.51,0.41,0.72,0.27,0.27,0.41,0.14,0.27
0.78,0.79,0.57,0.76,0.1,0.98,0.02,0.69,0.12,0.83,0.07,0.83,0.12,0.88,0.02,0.76,0.19,0.82,0.16,0.53,0.19,0.33,0.16
0.81,0.79,0.61,0.74,0.09,0.97,0.03,0.74,0.06,0.85,0.04,0.93,0.06,0.87,0.03,0.82,0.16,0.76,0.22,0.49,0.16,0.3,0.22
0.73,0.77,0.52,0.77,0.1,0.96,0.04,0.59,0.25,0.77,0.14,0.61,0.25,0.59,0.04,0.76,0.18,0.87,0.12,0.62,0.18,0.34,0.12
0.82,0.82,0.64,0.58,0.17,0.87,0.11,0.25,0.32,0.56,0.21,0.64,0.32,0.47,0.11,1.0,0.0,0.86,0.12,1.0,0.0,0.45,0.12
0.8,0.81,0.62,0.61,0.17,0.88,0.11,0.3,0.34,0.59,0.23,0.61,0.34,0.43,0.11,0.96,0.03,0.87,0.11,0.88,0.03,0.46,0.11
0.82,0.8,0.64,0.65,0.13,0.99,0.01,0.38,0.14,0.69,0.08,0.84,0.14,0.97,0.01,0.95,0.04,0.75,0.23,0.79,0.04,0.31,0.23
0.81,0.78,0.63,0.72,0.09,0.89,0.08,0.59,0.06,0.74,0.07,0.93,0.06,0.73,0.08,0.91,0.08,0.7,0.27,0.59,0.08,0.28,0.27
0.81,0.78,0.63,0.75,0.08,0.85,0.12,0.83,0.02,0.84,0.07,0.98,0.02,0.66,0.12,0.89,0.1,0.69,0.28,0.46,0.1,0.27,0.28
0.8,0.78,0.61,0.77,0.07,0.86,0.11,0.89,0.01,0.88,0.06,0.98,0.01,0.64,0.11,0.85,0.13,0.69,0.28,0.44,0.13,0.26,0.28
0.81,0.81,0.62,0.67,0.13,0.96,0.03,0.45,0.17,0.7,0.1,0.8,0.17,0.83,0.03,0.89,0.09,0.8,0.18,0.68,0.09,0.34,0.18
0.8,0.81,0.62,0.54,0.2,0.83,0.16,0.18,0.48,0.51,0.32,0.47,0.48,0.24,0.16,0.93,0.05,0.92,0.07,0.81,0.05,0.59,0.07
0.83,0.81,0.65,0.62,0.14,0.95,0.04,0.32,0.18,0.64,0.11,0.81,0.18,0.84,0.04,0.97,0.02,0.78,0.2,0.88,0.02,0.35,0.2
0.81,0.78,0.63,0.62,0.13,0.97,0.02,0.35,0.12,0.66,0.07,0.88,0.12,0.93,0.02,0.97,0.03,0.74,0.22,0.82,0.03,0.36,0.22
0.8,0.81,0.61,0.64,0.15,0.9,0.09,0.36,0.3,0.63,0.2,0.64,0.3,0.47,0.09,0.91,0.07,0.87,0.12,0.78,0.07,0.44,0.12
0.83,0.81,0.65,0.6,0.15,0.93,0.06,0.27,0.19,0.6,0.12,0.79,0.19,0.77,0.06,0.99,0.01,0.79,0.19,0.97,0.01,0.37,0.19
0.83,0.81,0.65,0.58,0.16,0.91,0.07,0.25,0.22,0.58,0.15,0.76,0.22,0.7,0.07,0.99,0.01,0.8,0.17,0.97,0.01,0.39,0.17
0.81,0.79,0.61,0.72,0.1,0.97,0.02,0.6,0.1,0.78,0.06,0.88,0.1,0.9,0.02,0.86,0.12,0.75,0.22,0.57,0.12,0.3,0.22
0.77,0.79,0.57,0.74,0.11,0.96,0.04,0.59,0.19,0.77,0.12,0.74,0.19,0.69,0.04,0.79,0.16,0.85,0.13,0.59,0.16,0.36,0.13
0.81,0.81,0.62,0.66,0.14,0.93,0.07,0.42,0.23,0.68,0.15,0.72,0.23,0.63,0.07,0.89,0.09,0.84,0.14,0.71,0.09,0.38,0.14
0.69,0.75,0.48,0.78,0.1,0.94,0.06,0.56,0.34,0.75,0.2,0.42,0.34,0.24,0.06,0.74,0.17,0.95,0.05,0.65,0.17,0.53,0.05
0.78,0.79,0.58,0.53,0.22,0.81,0.19,0.15,0.65,0.48,0.42,0.26,0.65,0.07,0.19,0.89,0.08,1.0,0.0,0.75,0.08,1.0,0.0
0.82,0.8,0.64,0.64,0.13,0.99,0.0,0.38,0.13,0.69,0.07,0.86,0.13,0.98,0.0,0.95,0.04,0.75,0.22,0.78,0.04,0.33,0.22
0.83,0.81,0.65,0.62,0.15,0.94,0.05,0.32,0.18,0.63,0.11,0.8,0.18,0.79,0.05,0.97,0.03,0.79,0.18,0.86,0.03,0.36,0.18
0.81,0.79,0.62,0.47,0.21,0.72,0.24,0.16,0.28,0.44,0.26,0.71,0.28,0.39,0.24,0.95,0.04,0.87,0.11,0.8,0.04,0.59,0.11
0.82,0.82,0.65,0.56,0.18,0.86,0.12,0.2,0.32,0.53,0.22,0.65,0.32,0.47,0.12,0.96,0.03,0.86,0.12,0.87,0.03,0.46,0.12
0.83,0.81,0.65,0.58,0.16,0.9,0.08,0.25,0.21,0.57,0.14,0.77,0.21,0.68,0.08,0.99,0.0,0.8,0.17,0.98,0.0,0.4,0.17
0.81,0.81,0.63,0.64,0.14,0.93,0.06,0.37,0.22,0.65,0.14,0.75,0.22,0.7,0.06,0.92,0.06,0.82,0.16,0.77,0.06,0.37,0.16
0.82,0.8,0.63,0.66,0.13,0.99,0.01,0.42,0.15,0.7,0.08,0.83,0.15,0.96,0.01,0.93,0.06,0.77,0.21,0.73,0.06,0.32,0.21
0.81,0.77,0.62,0.78,0.07,0.84,0.12,0.99,0.0,0.92,0.06,1.0,0.0,0.63,0.12,0.85,0.13,0.69,0.28,0.39,0.13,0.26,0.28
0.74,0.76,0.5,0.96,0.02,0.89,0.1,0.7,0.13,0.79,0.12,0.82,0.13,0.4,0.1,0.62,0.32,0.76,0.23,0.36,0.32,0.18,0.23
0.77,0.76,0.54,0.94,0.02,0.82,0.16,0.6,0.11,0.71,0.14,0.87,0.11,0.44,0.16,0.68,0.28,0.69,0.28,0.3,0.28,0.21,0.28
0.76,0.79,0.57,0.65,0.16,0.89,0.11,0.35,0.43,0.62,0.27,0.45,0.43,0.27,0.11,0.9,0.07,0.92,0.08,0.81,0.07,0.52,0.08
0.75,0.77,0.53,0.86,0.06,0.96,0.03,0.95,0.02,0.95,0.03,0.97,0.02,0.73,0.03,0.68,0.25,0.81,0.18,0.46,0.25,0.25,0.18
0.72,0.76,0.5,0.78,0.1,0.95,0.05,0.58,0.28,0.76,0.17,0.54,0.28,0.41,0.05,0.74,0.18,0.91,0.08,0.62,0.18,0.41,0.08
0.73,0.77,0.52,0.76,0.11,0.95,0.05,0.54,0.3,0.74,0.17,0.55,0.3,0.48,0.05,0.78,0.16,0.89,0.1,0.65,0.16,0.37,0.1
0.79,0.8,0.59,0.69,0.14,0.93,0.07,0.45,0.27,0.69,0.17,0.66,0.27,0.54,0.07,0.86,0.11,0.87,0.12,0.69,0.11,0.4,0.12
0.81,0.8,0.62,0.68,0.12,0.97,0.03,0.5,0.16,0.73,0.1,0.81,0.16,0.85,0.03,0.87,0.11,0.8,0.18,0.64,0.11,0.34,0.18
0.77,0.76,0.54,0.92,0.03,0.85,0.13,0.7,0.09,0.77,0.11,0.89,0.09,0.47,0.13,0.68,0.27,0.71,0.27,0.34,0.27,0.21,0.27
0.79,0.78,0.59,0.82,0.06,0.89,0.09,0.96,0.01,0.93,0.05,0.99,0.01,0.64,0.09,0.77,0.2,0.72,0.25,0.4,0.2,0.25,0.25
0.8,0.81,0.61,0.67,0.14,0.93,0.06,0.44,0.24,0.69,0.15,0.71,0.24,0.61,0.06,0.87,0.1,0.85,0.14,0.69,0.1,0.38,0.14
0.74,0.77,0.54,0.73,0.12,0.93,0.06,0.49,0.33,0.71,0.2,0.51,0.33,0.37,0.06,0.8,0.14,0.91,0.09,0.68,0.14,0.43,0.09
0.76,0.76,0.53,0.93,0.03,0.87,0.12,0.71,0.09,0.79,0.1,0.88,0.09,0.46,0.12,0.66,0.28,0.73,0.25,0.35,0.28,0.2,0.25
0.77,0.78,0.56,0.8,0.08,1.0,0.0,0.77,0.09,0.89,0.04,0.86,0.09,0.98,0.0,0.73,0.21,0.83,0.16,0.51,0.21,0.29,0.16
0.77,0.79,0.57,0.68,0.14,0.91,0.08,0.41,0.35,0.66,0.21,0.54,0.35,0.38,0.08,0.86,0.1,0.9,0.1,0.73,0.1,0.45,0.1
0.78,0.79,0.58,0.7,0.13,0.93,0.07,0.46,0.29,0.7,0.18,0.62,0.29,0.48,0.07,0.84,0.12,0.88,0.11,0.68,0.12,0.41,0.11
0.82,0.81,0.64,0.59,0.17,0.87,0.11,0.27,0.3,0.57,0.2,0.66,0.3,0.48,0.11,0.98,0.01,0.86,0.13,0.95,0.01,0.45,0.13
0.82,0.81,0.64,0.6,0.16,0.89,0.09,0.29,0.28,0.59,0.18,0.69,0.28,0.56,0.09,0.97,0.02,0.84,0.14,0.9,0.02,0.41,0.14
