ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.58,0.28,0.0,1.0,0.54,0.28
0.72,0.69,0.44,0.1,0.39,0.12,0.81,0.02,0.53,0.07,0.67,0.46,0.53,0.08,0.81,0.86,0.11,0.87,0.1,0.57,0.11,0.67,0.1
0.8,0.8,0.6,0.6,0.17,0.85,0.13,0.25,0.39,0.55,0.26,0.55,0.39,0.36,0.13,0.99,0.01,0.89,0.1,0.97,0.01,0.53,0.1
0.8,0.8,0.61,0.66,0.14,0.91,0.08,0.41,0.23,0.66,0.15,0.73,0.23,0.59,0.08,0.91,0.07,0.85,0.13,0.75,0.07,0.45,0.13
0.81,0.8,0.62,0.68,0.12,0.93,0.06,0.48,0.17,0.71,0.12,0.8,0.17,0.73,0.06,0.89,0.09,0.83,0.15,0.68,0.09,0.41,0.15
0.81,0.81,0.62,0.64,0.14,0.9,0.09,0.37,0.24,0.64,0.16,0.72,0.24,0.59,0.09,0.94,0.05,0.85,0.13,0.81,0.05,0.45,0.13
0.82,0.81,0.63,0.63,0.15,0.9,0.09,0.35,0.23,0.62,0.16,0.74,0.23,0.61,0.09,0.95,0.04,0.85,0.14,0.85,0.04,0.45,0.14
0.82,0.81,0.64,0.62,0.14,0.92,0.07,0.33,0.19,0.62,0.13,0.79,0.19,0.71,0.07,0.98,0.02,0.82,0.16,0.9,0.02,0.42,0.16
0.82,0.81,0.64,0.6,0.17,0.87,0.11,0.26,0.29,0.56,0.2,0.68,0.29,0.51,0.11,0.99,0.01,0.86,0.12,0.96,0.01,0.48,0.12
0.82,0.81,0.64,0.61,0.16,0.89,0.1,0.29,0.25,0.59,0.17,0.72,0.25,0.59,0.1,0.99,0.01,0.85,0.14,0.96,0.01,0.45,0.14
0.81,0.8,0.63,0.68,0.12,0.98,0.02,0.46,0.14,0.72,0.08,0.84,0.14,0.91,0.02,0.92,0.07,0.79,0.19,0.71,0.07,0.37,0.19
0.81,0.8,0.62,0.7,0.11,0.98,0.01,0.52,0.1,0.75,0.06,0.89,0.1,0.95,0.01,0.91,0.07,0.76,0.21,0.66,0.07,0.34,0.21
0.8,0.78,0.59,0.78,0.08,0.94,0.05,0.82,0.04,0.88,0.04,0.96,0.04,0.79,0.05,0.82,0.15,0.75,0.23,0.49,0.15,0.31,0.23
0.76,0.77,0.54,0.87,0.05,0.94,0.05,0.99,0.0,0.96,0.03,0.99,0.0,0.68,0.05,0.72,0.23,0.78,0.2,0.45,0.23,0.28,0.2
0.72,0.75,0.47,0.94,0.02,0.94,0.06,0.84,0.08,0.89,0.07,0.87,0.08,0.55,0.06,0.64,0.28,0.8,0.19,0.44,0.28,0.24,0.19
0.66,0.72,0.4,0.99,0.0,0.95,0.05,0.79,0.14,0.87,0.1,0.72,0.14,0.39,0.05,0.58,0.32,0.82,0.17,0.45,0.32,0.2,0.17
0.62,0.7,0.35,1.0,0.0,0.97,0.03,0.81,0.14,0.89,0.09,0.65,0.14,0.44,0.03,0.55,0.32,0.86,0.13,0.47,0.32,0.24,0.13
0.6,0.69,0.32,1.0,0.0,0.98,0.02,0.83,0.13,0.91,0.07,0.63,0.13,0.46,0.02,0.55,0.32,0.87,0.12,0.48,0.32,0.26,0.12
0.58,0.69,0.3,1.0,0.0,0.98,0.02,0.86,0.11,0.92,0.07,0.63,0.11,0.49,0.02,0.55,0.31,0.88,0.12,0.5,0.31,0.28,0.12
0.57,0.68,0.28,0.99,0.0,0.98,0.02,0.86,0.12,0.92,0.07,0.59,0.12,0.45,0.02,0.54,0.31,0.89,0.11,0.5,0.31,0.27,0.11
0.56,0.68,0.27,1.0,0.0,0.99,0.01,0.89,0.1,0.94,0.06,0.61,0.1,0.54,0.01,0.54,0.31,0.9,0.1,0.51,0.31,0.3,0.1
0.56,0.68,0.27,0.99,0.0,0.99,0.01,0.92,0.07,0.96,0.04,0.7,0.07,0.7,0.01,0.55,0.3,0.92,0.08,0.52,0.3,0.34,0.08
0.56,0.68,0.26,0.99,0.01,1.0,0.0,0.95,0.04,0.97,0.02,0.78,0.04,0.9,0.0,0.55,0.3,0.93,0.06,0.53,0.3,0.38,0.06
0.55,0.68,0.26,0.98,0.01,1.0,0.0,0.98,0.01,0.99,0.01,0.91,0.01,0.92,0.0,0.56,0.29,0.94,0.06,0.54,0.29,0.39,0.06
0.55,0.67,0.25,0.98,0.01,1.0,0.0,0.99,0.0,0.99,0.0,0.97,0.0,0.71,0.0,0.56,0.28,0.95,0.05,0.55,0.28,0.45,0.05
0.55,0.67,0.25,0.97,0.01,1.0,0.0,0.98,0.01,0.99,0.01,0.91,0.01,0.63,0.0,0.57,0.28,0.95,0.05,0.56,0.28,0.47,0.05
0.55,0.67,0.25,0.97,0.01,0.99,0.01,0.98,0.02,0.98,0.01,0.86,0.02,0.52,0.01,0.57,0.28,0.96,0.04,0.56,0.28,0.53,0.04
0.54,0.67,0.25,0.97,0.02,0.99,0.01,0.96,0.03,0.97,0.02,0.79,0.03,0.52,0.01,0.57,0.28,0.96,0.04,0.56,0.28,0.49,0.04
0.54,0.67,0.24,0.96,0.02,0.99,0.01,0.94,0.06,0.96,0.03,0.63,0.06,0.48,0.01,0.58,0.27,0.94,0.05,0.57,0.27,0.43,0.05
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.93,0.07,0.96,0.04,0.55,0.07,0.44,0.01,0.58,0.27,0.94,0.06,0.58,0.27,0.42,0.06
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.07,0.96,0.04,0.53,0.07,0.42,0.01,0.58,0.27,0.94,0.06,0.58,0.27,0.42,0.06
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.07,0.96,0.04,0.52,0.07,0.42,0.01,0.58,0.27,0.94,0.06,0.58,0.27,0.41,0.06
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.07,0.96,0.04,0.51,0.07,0.4,0.01,0.58,0.27,0.94,0.06,0.58,0.27,0.42,0.06
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.07,0.96,0.04,0.51,0.07,0.38,0.01,0.58,0.27,0.95,0.05,0.58,0.27,0.45,0.05
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.08,0.96,0.04,0.5,0.08,0.37,0.01,0.58,0.27,0.95,0.05,0.58,0.27,0.44,0.05
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.08,0.96,0.04,0.49,0.08,0.35,0.01,0.58,0.27,0.95,0.05,0.58,0.27,0.46,0.05
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.08,0.96,0.04,0.49,0.08,0.33,0.01,0.58,0.27,0.96,0.04,0.58,0.27,0.49,0.04
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.08,0.96,0.04,0.49,0.08,0.33,0.01,0.58,0.27,0.96,0.04,0.58,0.27,0.48,0.04
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.08,0.96,0.04,0.49,0.08,0.33,0.01,0.58,0.27,0.96,0.04,0.58,0.27,0.48,0.04
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.08,0.96,0.04,0.49,0.08,0.33,0.01,0.58,0.27,0.96,0.04,0.58,0.27,0.48,0.04
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.08,0.96,0.04,0.49,0.08,0.33,0.01,0.58,0.27,0.96,0.04,0.58,0.27,0.48,0.04
0.54,0.67,0.23,0.96,0.02,0.99,0.01,0.92,0.08,0.96,0.04,0.49,0.08,0.33,0.01,0.58,0.27,0.96,0.04,0.58,0.27,0.48,0.04
