ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.72,0.7,0.44,0.13,0.4,0.17,0.79,0.02,0.62,0.1,0.71,0.37,0.62,0.05,0.79,0.83,0.14,0.85,0.13,0.5,0.14,0.57,0.13
0.78,0.8,0.59,0.52,0.23,0.79,0.21,0.13,0.65,0.46,0.43,0.29,0.65,0.1,0.21,0.85,0.12,0.98,0.02,0.63,0.12,0.87,0.02
0.82,0.82,0.64,0.57,0.18,0.85,0.13,0.21,0.3,0.53,0.21,0.67,0.3,0.47,0.13,0.96,0.03,0.86,0.12,0.85,0.03,0.5,0.12
0.81,0.79,0.62,0.52,0.18,0.77,0.19,0.2,0.22,0.48,0.21,0.77,0.22,0.51,0.19,0.97,0.02,0.84,0.14,0.87,0.02,0.55,0.14
0.82,0.81,0.64,0.6,0.15,0.91,0.08,0.26,0.22,0.58,0.15,0.76,0.22,0.68,0.08,0.99,0.01,0.81,0.17,0.96,0.01,0.42,0.17
0.79,0.76,0.59,0.47,0.19,0.69,0.23,0.19,0.17,0.44,0.2,0.83,0.17,0.51,0.23,0.99,0.01,0.83,0.14,0.91,0.01,0.59,0.14
0.82,0.82,0.64,0.61,0.16,0.9,0.08,0.27,0.25,0.58,0.17,0.73,0.25,0.64,0.08,1.0,0.0,0.83,0.15,0.99,0.0,0.42,0.15
0.79,0.75,0.58,0.88,0.03,0.77,0.18,0.67,0.04,0.72,0.11,0.96,0.04,0.53,0.18,0.83,0.16,0.66,0.31,0.32,0.16,0.26,0.31
0.82,0.81,0.64,0.64,0.13,0.97,0.03,0.32,0.18,0.65,0.1,0.81,0.18,0.89,0.03,0.99,0.01,0.77,0.2,0.94,0.01,0.36,0.2
0.77,0.74,0.55,0.3,0.27,0.42,0.48,0.08,0.29,0.25,0.39,0.71,0.29,0.26,0.48,0.93,0.07,0.95,0.03,0.64,0.07,0.88,0.03
0.78,0.74,0.58,0.43,0.2,0.63,0.27,0.16,0.16,0.4,0.22,0.84,0.16,0.49,0.27,0.98,0.02,0.83,0.13,0.87,0.02,0.62,0.13
0.82,0.82,0.65,0.58,0.17,0.87,0.11,0.22,0.27,0.55,0.19,0.7,0.27,0.56,0.11,0.97,0.03,0.84,0.14,0.86,0.03,0.46,0.14
0.8,0.79,0.61,0.77,0.08,0.91,0.07,0.75,0.04,0.83,0.06,0.95,0.04,0.73,0.07,0.87,0.12,0.72,0.25,0.52,0.12,0.29,0.25
0.81,0.79,0.63,0.72,0.09,0.92,0.06,0.56,0.07,0.74,0.07,0.92,0.07,0.79,0.06,0.92,0.07,0.72,0.25,0.64,0.07,0.31,0.25
0.8,0.76,0.61,0.78,0.06,0.83,0.13,0.86,0.01,0.84,0.07,0.99,0.01,0.66,0.13,0.91,0.09,0.67,0.29,0.47,0.09,0.29,0.29
0.8,0.77,0.59,0.43,0.22,0.62,0.32,0.12,0.26,0.37,0.29,0.73,0.26,0.35,0.32,0.94,0.05,0.89,0.08,0.71,0.05,0.7,0.08
0.81,0.78,0.62,0.6,0.14,0.91,0.07,0.3,0.13,0.6,0.1,0.86,0.13,0.8,0.07,0.99,0.01,0.77,0.2,0.93,0.01,0.43,0.2
0.76,0.72,0.53,0.22,0.31,0.3,0.61,0.04,0.34,0.17,0.47,0.65,0.34,0.18,0.61,0.9,0.09,0.98,0.02,0.55,0.09,0.94,0.02
0.73,0.73,0.46,0.23,0.36,0.33,0.65,0.03,0.74,0.18,0.7,0.24,0.74,0.03,0.65,0.77,0.21,0.87,0.12,0.36,0.21,0.55,0.12
0.74,0.74,0.49,0.27,0.34,0.38,0.6,0.04,0.68,0.21,0.64,0.3,0.68,0.05,0.6,0.79,0.19,0.88,0.1,0.39,0.19,0.59,0.1
0.79,0.8,0.6,0.54,0.21,0.81,0.18,0.16,0.57,0.49,0.38,0.36,0.57,0.17,0.18,0.9,0.08,0.95,0.05,0.73,0.08,0.69,0.05
0.82,0.81,0.64,0.64,0.13,0.96,0.03,0.32,0.16,0.64,0.1,0.82,0.16,0.89,0.03,0.98,0.01,0.77,0.2,0.92,0.01,0.37,0.2
0.77,0.71,0.55,0.35,0.22,0.49,0.36,0.15,0.13,0.32,0.24,0.86,0.13,0.44,0.36,1.0,0.0,0.85,0.11,1.0,0.0,0.7,0.11
0.81,0.82,0.63,0.59,0.17,0.86,0.13,0.25,0.33,0.55,0.23,0.63,0.33,0.42,0.13,0.99,0.01,0.88,0.11,0.97,0.01,0.51,0.11
0.8,0.77,0.6,0.83,0.05,0.84,0.12,0.82,0.02,0.83,0.07,0.97,0.02,0.63,0.12,0.83,0.16,0.69,0.27,0.35,0.16,0.28,0.27
0.82,0.82,0.65,0.58,0.17,0.86,0.12,0.22,0.32,0.54,0.22,0.65,0.32,0.48,0.12,0.96,0.03,0.86,0.12,0.86,0.03,0.48,0.12
0.82,0.82,0.65,0.59,0.16,0.89,0.09,0.23,0.26,0.56,0.17,0.71,0.26,0.62,0.09,0.97,0.03,0.83,0.15,0.87,0.03,0.43,0.15
0.82,0.81,0.64,0.63,0.14,0.95,0.04,0.32,0.19,0.64,0.12,0.79,0.19,0.81,0.04,0.98,0.01,0.79,0.19,0.92,0.01,0.37,0.19
0.82,0.82,0.65,0.56,0.18,0.85,0.13,0.2,0.31,0.53,0.22,0.67,0.31,0.47,0.13,0.95,0.04,0.86,0.12,0.8,0.04,0.5,0.12
0.82,0.82,0.64,0.55,0.19,0.82,0.16,0.17,0.38,0.49,0.27,0.59,0.38,0.35,0.16,0.93,0.06,0.9,0.09,0.73,0.06,0.57,0.09
0.81,0.81,0.62,0.46,0.23,0.69,0.29,0.11,0.44,0.4,0.36,0.53,0.44,0.19,0.29,0.88,0.1,0.97,0.03,0.59,0.1,0.86,0.03
0.81,0.81,0.63,0.48,0.22,0.72,0.26,0.12,0.4,0.42,0.33,0.58,0.4,0.25,0.26,0.9,0.09,0.94,0.05,0.62,0.09,0.76,0.05
0.75,0.75,0.5,0.98,0.01,0.82,0.16,0.5,0.18,0.66,0.17,0.77,0.18,0.36,0.16,0.64,0.32,0.7,0.28,0.29,0.32,0.2,0.28
0.82,0.81,0.63,0.68,0.12,0.98,0.01,0.45,0.15,0.71,0.08,0.83,0.15,0.93,0.01,0.92,0.06,0.78,0.2,0.72,0.06,0.35,0.2
0.81,0.81,0.63,0.7,0.11,0.99,0.01,0.49,0.14,0.74,0.08,0.84,0.14,0.96,0.01,0.91,0.08,0.78,0.2,0.68,0.08,0.34,0.2
0.82,0.82,0.64,0.55,0.2,0.82,0.17,0.17,0.41,0.49,0.29,0.56,0.41,0.3,0.17,0.92,0.06,0.92,0.07,0.73,0.06,0.61,0.07
0.82,0.82,0.64,0.5,0.21,0.76,0.22,0.13,0.37,0.45,0.29,0.61,0.37,0.3,0.22,0.9,0.08,0.92,0.07,0.62,0.08,0.67,0.07
0.79,0.81,0.6,0.52,0.22,0.79,0.2,0.13,0.61,0.46,0.41,0.33,0.61,0.12,0.2,0.86,0.11,0.98,0.02,0.62,0.11,0.84,0.02
0.82,0.82,0.65,0.56,0.18,0.84,0.14,0.19,0.3,0.52,0.22,0.67,0.3,0.47,0.14,0.95,0.04,0.86,0.12,0.8,0.04,0.5,0.12
0.78,0.79,0.58,0.44,0.26,0.69,0.3,0.07,0.68,0.38,0.49,0.28,0.68,0.06,0.3,0.8,0.18,0.96,0.03,0.44,0.18,0.77,0.03
0.8,0.8,0.61,0.46,0.25,0.7,0.29,0.09,0.56,0.39,0.43,0.41,0.56,0.13,0.29,0.84,0.14,1.0,0.0,0.49,0.14,0.99,0.0
0.82,0.81,0.64,0.53,0.19,0.8,0.17,0.17,0.28,0.49,0.23,0.71,0.28,0.46,0.17,0.94,0.05,0.86,0.12,0.75,0.05,0.54,0.12
0.82,0.8,0.64,0.69,0.11,0.99,0.01,0.51,0.09,0.75,0.05,0.91,0.09,0.96,0.01,0.92,0.07,0.75,0.22,0.65,0.07,0.35,0.22
0.82,0.8,0.64,0.61,0.14,0.92,0.06,0.31,0.14,0.61,0.1,0.85,0.14,0.8,0.06,0.99,0.01,0.78,0.19,0.93,0.01,0.41,0.19
0.77,0.76,0.53,0.28,0.32,0.4,0.57,0.04,0.56,0.22,0.56,0.43,0.56,0.08,0.57,0.81,0.17,0.9,0.08,0.37,0.17,0.66,0.08
0.82,0.82,0.64,0.51,0.21,0.77,0.21,0.14,0.36,0.46,0.28,0.61,0.36,0.31,0.21,0.92,0.07,0.92,0.07,0.68,0.07,0.66,0.07
0.72,0.69,0.44,0.05,0.43,0.07,0.89,0.0,0.58,0.04,0.73,0.42,0.58,0.05,0.89,0.75,0.24,0.81,0.16,0.11,0.24,0.5,0.16
0.82,0.82,0.64,0.53,0.2,0.79,0.19,0.15,0.39,0.47,0.29,0.58,0.39,0.3,0.19,0.91,0.07,0.91,0.07,0.69,0.07,0.63,0.07
0.8,0.8,0.6,0.42,0.26,0.64,0.34,0.08,0.51,0.36,0.43,0.47,0.51,0.14,0.34,0.85,0.14,0.99,0.0,0.48,0.14,0.97,0.0
0.82,0.82,0.64,0.52,0.21,0.79,0.2,0.14,0.41,0.47,0.3,0.56,0.41,0.28,0.2,0.9,0.08,0.92,0.07,0.65,0.08,0.65,0.07
0.8,0.81,0.62,0.51,0.22,0.78,0.21,0.13,0.55,0.46,0.38,0.4,0.55,0.14,0.21,0.87,0.11,0.98,0.01,0.63,0.11,0.9,0.01
0.8,0.81,0.61,0.53,0.21,0.8,0.19,0.15,0.56,0.48,0.38,0.38,0.56,0.14,0.19,0.89,0.09,0.98,0.02,0.68,0.09,0.87,0.02
0.82,0.8,0.64,0.63,0.13,0.94,0.04,0.35,0.14,0.65,0.09,0.85,0.14,0.83,0.04,0.97,0.03,0.78,0.19,0.85,0.03,0.4,0.19
0.8,0.79,0.61,0.81,0.07,0.89,0.09,1.0,0.0,0.95,0.04,1.0,0.0,0.68,0.09,0.82,0.16,0.72,0.25,0.41,0.16,0.29,0.25
0.8,0.81,0.62,0.53,0.21,0.8,0.19,0.15,0.53,0.48,0.36,0.42,0.53,0.15,0.19,0.89,0.09,0.98,0.02,0.69,0.09,0.85,0.02
0.76,0.73,0.53,0.2,0.33,0.28,0.65,0.02,0.41,0.15,0.53,0.59,0.41,0.13,0.65,0.84,0.15,0.93,0.05,0.32,0.15,0.81,0.05
