ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.7,0.67,0.4,0.02,0.45,0.03,0.92,0.0,0.64,0.01,0.78,0.36,0.64,0.05,0.92,0.72,0.27,0.83,0.14,0.07,0.27,0.58,0.14
0.69,0.7,0.39,0.17,0.4,0.24,0.75,0.02,0.88,0.13,0.81,0.1,0.88,0.01,0.75,0.75,0.21,0.82,0.15,0.4,0.21,0.45,0.15
0.78,0.79,0.58,0.45,0.25,0.7,0.29,0.09,0.65,0.39,0.47,0.31,0.65,0.1,0.29,0.82,0.15,0.99,0.01,0.5,0.15,0.96,0.01
0.8,0.81,0.61,0.52,0.21,0.79,0.19,0.13,0.48,0.46,0.33,0.48,0.48,0.27,0.19,0.88,0.1,0.9,0.09,0.63,0.1,0.59,0.09
0.82,0.82,0.64,0.58,0.17,0.87,0.11,0.22,0.28,0.55,0.2,0.69,0.28,0.54,0.11,0.97,0.03,0.84,0.14,0.87,0.03,0.46,0.14
0.82,0.81,0.64,0.63,0.14,0.94,0.05,0.31,0.19,0.62,0.12,0.79,0.19,0.79,0.05,0.99,0.01,0.79,0.19,0.93,0.01,0.38,0.19
0.82,0.8,0.64,0.65,0.13,0.98,0.02,0.36,0.15,0.67,0.08,0.83,0.15,0.94,0.02,0.97,0.03,0.76,0.21,0.86,0.03,0.35,0.21
0.82,0.8,0.64,0.65,0.13,0.98,0.01,0.36,0.15,0.67,0.08,0.83,0.15,0.94,0.01,0.97,0.03,0.76,0.21,0.85,0.03,0.35,0.21
0.82,0.81,0.64,0.63,0.14,0.95,0.04,0.31,0.18,0.63,0.11,0.8,0.18,0.85,0.04,0.99,0.01,0.78,0.2,0.93,0.01,0.37,0.2
0.82,0.81,0.64,0.6,0.15,0.91,0.08,0.26,0.23,0.58,0.15,0.75,0.23,0.68,0.08,0.99,0.01,0.81,0.17,0.95,0.01,0.41,0.17
0.82,0.82,0.64,0.58,0.17,0.88,0.1,0.22,0.28,0.55,0.19,0.69,0.28,0.57,0.1,0.97,0.03,0.83,0.15,0.86,0.03,0.44,0.15
0.82,0.82,0.64,0.57,0.18,0.86,0.13,0.2,0.33,0.53,0.23,0.65,0.33,0.48,0.13,0.95,0.04,0.85,0.13,0.8,0.04,0.48,0.13
0.82,0.82,0.64,0.57,0.18,0.87,0.12,0.2,0.31,0.54,0.21,0.66,0.31,0.52,0.12,0.95,0.04,0.84,0.14,0.8,0.04,0.46,0.14
0.82,0.82,0.65,0.58,0.17,0.88,0.11,0.21,0.28,0.55,0.2,0.69,0.28,0.56,0.11,0.96,0.03,0.84,0.14,0.84,0.03,0.45,0.14
0.82,0.82,0.65,0.59,0.16,0.9,0.09,0.23,0.25,0.57,0.17,0.73,0.25,0.64,0.09,0.97,0.02,0.82,0.16,0.89,0.02,0.42,0.16
0.82,0.81,0.64,0.6,0.16,0.9,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.67,0.08,0.98,0.02,0.81,0.17,0.91,0.02,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.91,0.08,0.25,0.23,0.58,0.15,0.75,0.23,0.68,0.08,0.98,0.01,0.81,0.17,0.92,0.01,0.41,0.17
0.82,0.81,0.64,0.6,0.16,0.91,0.08,0.25,0.23,0.58,0.15,0.75,0.23,0.68,0.08,0.98,0.01,0.81,0.17,0.93,0.01,0.41,0.17
0.82,0.81,0.64,0.6,0.15,0.91,0.08,0.25,0.23,0.58,0.15,0.75,0.23,0.69,0.08,0.98,0.01,0.81,0.17,0.93,0.01,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.91,0.08,0.25,0.23,0.58,0.15,0.75,0.23,0.68,0.08,0.98,0.01,0.81,0.17,0.93,0.01,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.91,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.68,0.08,0.98,0.02,0.81,0.17,0.9,0.02,0.41,0.17
0.82,0.82,0.65,0.6,0.16,0.9,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.67,0.08,0.98,0.02,0.81,0.17,0.9,0.02,0.41,0.17
0.82,0.82,0.65,0.6,0.16,0.9,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.66,0.08,0.98,0.02,0.81,0.17,0.89,0.02,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.9,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.67,0.08,0.98,0.02,0.81,0.17,0.9,0.02,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.91,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.68,0.08,0.98,0.02,0.81,0.17,0.9,0.02,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.91,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.68,0.08,0.98,0.02,0.81,0.17,0.91,0.02,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.91,0.08,0.25,0.24,0.58,0.16,0.74,0.24,0.68,0.08,0.98,0.02,0.81,0.17,0.91,0.02,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.91,0.08,0.25,0.24,0.58,0.16,0.74,0.24,0.68,0.08,0.98,0.02,0.81,0.17,0.91,0.02,0.41,0.17
0.82,0.81,0.65,0.6,0.16,0.9,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.67,0.08,0.98,0.02,0.81,0.17,0.91,0.02,0.41,0.17
0.82,0.82,0.65,0.6,0.16,0.9,0.08,0.24,0.24,0.57,0.16,0.73,0.24,0.66,0.08,0.98,0.02,0.81,0.16,0.9,0.02,0.41,0.16
0.82,0.82,0.65,0.59,0.16,0.9,0.09,0.24,0.25,0.57,0.17,0.73,0.25,0.63,0.09,0.97,0.02,0.82,0.16,0.89,0.02,0.42,0.16
0.82,0.82,0.65,0.59,0.16,0.9,0.09,0.23,0.25,0.57,0.17,0.72,0.25,0.63,0.09,0.97,0.02,0.82,0.16,0.88,0.02,0.42,0.16
0.82,0.82,0.65,0.6,0.16,0.91,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.68,0.08,0.98,0.02,0.81,0.17,0.9,0.02,0.41,0.17
0.82,0.82,0.65,0.6,0.15,0.91,0.07,0.25,0.23,0.58,0.15,0.75,0.23,0.7,0.07,0.98,0.02,0.81,0.17,0.91,0.02,0.4,0.17
