ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.72,0.64,0.45,0.04,0.37,0.05,0.76,0.01,0.32,0.03,0.54,0.68,0.32,0.21,0.76,0.91,0.08,1.0,0.0,0.6,0.08,0.99,0.0
0.75,0.75,0.5,0.3,0.33,0.42,0.57,0.06,0.66,0.24,0.61,0.32,0.66,0.04,0.57,0.83,0.14,0.87,0.11,0.55,0.14,0.51,0.11
0.8,0.81,0.61,0.51,0.22,0.77,0.22,0.14,0.5,0.46,0.36,0.45,0.5,0.19,0.22,0.89,0.09,0.95,0.05,0.68,0.09,0.74,0.05
0.82,0.82,0.64,0.58,0.17,0.85,0.13,0.25,0.31,0.55,0.22,0.65,0.31,0.43,0.13,0.99,0.01,0.88,0.11,0.97,0.01,0.52,0.11
0.82,0.82,0.64,0.6,0.16,0.87,0.11,0.28,0.26,0.57,0.18,0.71,0.26,0.52,0.11,0.99,0.01,0.86,0.12,0.96,0.01,0.48,0.12
0.81,0.81,0.63,0.61,0.16,0.87,0.11,0.29,0.3,0.58,0.2,0.66,0.3,0.47,0.11,0.98,0.02,0.88,0.11,0.92,0.02,0.49,0.11
0.82,0.81,0.64,0.62,0.15,0.9,0.09,0.32,0.24,0.61,0.16,0.73,0.24,0.61,0.09,0.97,0.03,0.84,0.14,0.88,0.03,0.44,0.14
0.82,0.81,0.63,0.66,0.13,0.93,0.06,0.41,0.19,0.67,0.12,0.78,0.19,0.72,0.06,0.92,0.06,0.82,0.16,0.75,0.06,0.4,0.16
0.82,0.81,0.63,0.66,0.14,0.93,0.06,0.4,0.2,0.67,0.13,0.77,0.2,0.7,0.06,0.93,0.06,0.83,0.15,0.77,0.06,0.4,0.15
0.8,0.81,0.61,0.68,0.13,0.92,0.07,0.44,0.22,0.68,0.15,0.73,0.22,0.63,0.07,0.89,0.08,0.85,0.14,0.72,0.08,0.42,0.14
0.81,0.81,0.62,0.68,0.13,0.94,0.05,0.46,0.19,0.7,0.12,0.78,0.19,0.73,0.05,0.89,0.09,0.83,0.15,0.7,0.09,0.39,0.15
0.8,0.8,0.61,0.7,0.12,0.95,0.05,0.5,0.18,0.72,0.11,0.78,0.18,0.74,0.05,0.87,0.1,0.83,0.15,0.66,0.1,0.39,0.15
0.8,0.8,0.61,0.71,0.12,0.96,0.03,0.53,0.17,0.74,0.1,0.79,0.17,0.8,0.03,0.86,0.11,0.83,0.16,0.64,0.11,0.37,0.16
0.78,0.79,0.58,0.77,0.09,0.99,0.01,0.7,0.11,0.84,0.06,0.85,0.11,0.91,0.01,0.78,0.17,0.82,0.16,0.54,0.17,0.34,0.16
0.76,0.78,0.55,0.79,0.09,0.98,0.02,0.71,0.13,0.84,0.07,0.82,0.13,0.85,0.02,0.76,0.19,0.84,0.15,0.55,0.19,0.35,0.15
0.75,0.78,0.54,0.8,0.09,0.98,0.02,0.71,0.14,0.84,0.08,0.79,0.14,0.81,0.02,0.75,0.19,0.85,0.14,0.56,0.19,0.35,0.14
0.74,0.77,0.52,0.83,0.07,0.99,0.01,0.8,0.09,0.9,0.05,0.85,0.09,0.91,0.01,0.71,0.22,0.85,0.14,0.53,0.22,0.33,0.14
0.73,0.76,0.5,0.86,0.06,1.0,0.0,0.85,0.07,0.93,0.04,0.87,0.07,0.98,0.0,0.69,0.23,0.85,0.14,0.52,0.23,0.32,0.14
0.72,0.76,0.49,0.85,0.06,0.99,0.01,0.83,0.09,0.91,0.05,0.85,0.09,0.93,0.01,0.69,0.23,0.85,0.14,0.53,0.23,0.32,0.14
