ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.57,0.29,0.0,1.0,0.53,0.29
0.52,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.57,0.29,0.0,1.0,0.53,0.29
0.72,0.68,0.44,0.03,0.42,0.05,0.88,0.0,0.51,0.03,0.7,0.49,0.51,0.08,0.88,0.8,0.19,0.85,0.12,0.27,0.19,0.62,0.12
0.77,0.79,0.56,0.47,0.25,0.74,0.26,0.09,0.74,0.41,0.5,0.2,0.74,0.05,0.26,0.81,0.16,0.98,0.02,0.52,0.16,0.87,0.02
0.75,0.78,0.54,0.52,0.24,0.79,0.21,0.13,0.77,0.46,0.49,0.13,0.77,0.04,0.21,0.84,0.12,0.99,0.01,0.66,0.12,0.93,0.01
0.74,0.77,0.53,0.57,0.21,0.82,0.18,0.19,0.72,0.51,0.45,0.13,0.72,0.04,0.18,0.92,0.06,1.0,0.0,0.84,0.06,0.96,0.0
0.74,0.77,0.53,0.6,0.19,0.84,0.16,0.24,0.64,0.54,0.4,0.2,0.64,0.07,0.16,0.98,0.01,0.98,0.02,0.96,0.01,0.84,0.02
0.76,0.78,0.55,0.62,0.18,0.85,0.15,0.28,0.53,0.56,0.34,0.33,0.53,0.13,0.15,0.98,0.02,0.97,0.03,0.95,0.02,0.78,0.03
0.77,0.79,0.56,0.63,0.17,0.86,0.14,0.29,0.48,0.57,0.31,0.41,0.48,0.22,0.14,0.96,0.02,0.93,0.06,0.92,0.02,0.61,0.06
0.79,0.8,0.6,0.63,0.16,0.88,0.11,0.31,0.35,0.59,0.23,0.58,0.35,0.41,0.11,0.96,0.03,0.88,0.11,0.89,0.03,0.49,0.11
0.81,0.8,0.62,0.69,0.12,0.97,0.02,0.49,0.15,0.73,0.08,0.83,0.15,0.9,0.02,0.9,0.08,0.79,0.19,0.68,0.08,0.36,0.19
0.81,0.78,0.61,0.78,0.07,0.89,0.08,0.88,0.02,0.89,0.05,0.98,0.02,0.72,0.08,0.86,0.13,0.72,0.25,0.45,0.13,0.3,0.25
