ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.2,0.98,0.01,0.0,1.0,0.91,0.08,0.46,0.54,0.19,0.08,0.0,1.0,0.8,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.89,0.94,0.3,0.93,0.03,0.94,0.06,0.74,0.24,0.84,0.15,0.27,0.24,0.11,0.06,0.84,0.15,0.81,0.13,0.35,0.15,0.72,0.13
0.89,0.94,0.25,0.95,0.02,0.96,0.04,0.79,0.2,0.88,0.12,0.14,0.2,0.05,0.04,0.83,0.16,0.9,0.07,0.34,0.16,0.81,0.07
0.89,0.94,0.25,0.96,0.02,0.97,0.03,0.8,0.19,0.89,0.11,0.14,0.19,0.04,0.03,0.82,0.16,0.93,0.05,0.34,0.16,0.84,0.05
0.89,0.94,0.26,0.95,0.02,0.96,0.04,0.78,0.21,0.87,0.12,0.16,0.21,0.05,0.04,0.83,0.16,0.93,0.05,0.35,0.16,0.85,0.05
0.89,0.94,0.28,0.94,0.03,0.95,0.05,0.73,0.25,0.84,0.15,0.16,0.25,0.06,0.05,0.84,0.15,0.85,0.11,0.36,0.15,0.73,0.11
0.89,0.94,0.27,0.95,0.03,0.96,0.04,0.76,0.23,0.86,0.14,0.16,0.23,0.04,0.04,0.83,0.15,0.96,0.03,0.35,0.15,0.91,0.03
0.89,0.94,0.23,0.96,0.02,0.97,0.03,0.84,0.16,0.91,0.1,0.14,0.16,0.03,0.03,0.82,0.17,0.99,0.01,0.33,0.17,0.97,0.01
0.89,0.94,0.23,0.96,0.02,0.97,0.03,0.83,0.16,0.9,0.1,0.14,0.16,0.03,0.03,0.82,0.17,0.98,0.01,0.33,0.17,0.95,0.01
0.89,0.94,0.22,0.97,0.02,0.98,0.02,0.85,0.14,0.92,0.08,0.14,0.14,0.01,0.02,0.81,0.17,0.85,0.13,0.33,0.17,0.49,0.13
0.89,0.94,0.22,0.97,0.01,0.98,0.02,0.87,0.13,0.93,0.07,0.13,0.13,0.02,0.02,0.81,0.17,0.91,0.07,0.33,0.17,0.66,0.07
0.89,0.94,0.18,0.98,0.01,0.99,0.01,0.9,0.1,0.95,0.06,0.12,0.1,0.02,0.01,0.8,0.18,0.94,0.05,0.32,0.18,0.8,0.05
0.88,0.94,0.15,0.99,0.01,0.0,1.0,0.94,0.06,0.47,0.53,0.15,0.06,0.0,1.0,0.79,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.88,0.94,0.13,0.99,0.01,0.0,1.0,0.95,0.05,0.47,0.53,0.12,0.05,0.0,1.0,0.79,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.88,0.94,0.1,0.99,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.22,0.02,0.0,1.0,0.79,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.1,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.26,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.09,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.13,0.02,0.0,1.0,0.79,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.22,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.22,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.08,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.22,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.08,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.22,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.08,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.22,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.08,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.22,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
