ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.13,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.81,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.14,0.99,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.46,0.02,0.0,1.0,0.79,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.23,0.98,0.01,0.99,0.01,0.91,0.09,0.95,0.05,0.38,0.09,0.13,0.01,0.81,0.18,0.92,0.07,0.31,0.18,0.75,0.07
0.88,0.94,0.13,0.99,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.32,0.03,0.0,1.0,0.79,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.89,0.94,0.2,0.98,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.26,0.08,0.04,0.01,0.8,0.18,0.94,0.06,0.31,0.18,0.67,0.06
0.89,0.94,0.38,0.92,0.04,0.94,0.06,0.75,0.19,0.84,0.12,0.56,0.19,0.25,0.06,0.86,0.13,0.77,0.15,0.34,0.13,0.68,0.15
0.89,0.94,0.31,0.96,0.02,0.97,0.03,0.86,0.12,0.92,0.07,0.51,0.12,0.18,0.03,0.82,0.16,0.87,0.09,0.32,0.16,0.75,0.09
0.89,0.94,0.2,0.99,0.01,0.99,0.01,0.95,0.05,0.97,0.03,0.46,0.05,0.15,0.01,0.8,0.19,0.93,0.06,0.31,0.19,0.76,0.06
0.89,0.94,0.26,0.98,0.01,0.99,0.01,0.95,0.05,0.97,0.03,0.65,0.05,0.25,0.01,0.8,0.18,0.89,0.09,0.3,0.18,0.67,0.09
0.88,0.94,0.13,0.99,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.37,0.02,0.0,1.0,0.79,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.17,0.99,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.65,0.02,0.15,0.0,0.79,0.19,1.0,0.0,0.3,0.19,1.0,0.0
0.9,0.94,0.4,0.92,0.04,0.94,0.06,0.75,0.18,0.84,0.12,0.58,0.18,0.27,0.06,0.86,0.13,0.77,0.16,0.34,0.13,0.66,0.16
0.89,0.94,0.22,0.98,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.35,0.08,0.13,0.01,0.8,0.18,0.9,0.08,0.31,0.18,0.72,0.08
0.89,0.94,0.29,0.97,0.02,0.98,0.02,0.89,0.1,0.94,0.06,0.54,0.1,0.24,0.02,0.82,0.17,0.81,0.14,0.31,0.17,0.63,0.14
0.89,0.94,0.18,0.99,0.01,0.99,0.01,0.95,0.05,0.97,0.03,0.34,0.05,0.1,0.01,0.79,0.19,0.96,0.03,0.31,0.19,0.83,0.03
0.89,0.94,0.2,0.98,0.01,0.99,0.01,0.93,0.07,0.96,0.04,0.27,0.07,0.1,0.01,0.8,0.18,0.93,0.06,0.31,0.18,0.68,0.06
0.9,0.94,0.37,0.92,0.04,0.94,0.06,0.71,0.24,0.82,0.15,0.4,0.24,0.15,0.06,0.86,0.13,0.84,0.11,0.36,0.13,0.73,0.11
0.89,0.94,0.24,0.97,0.01,0.98,0.02,0.87,0.12,0.93,0.07,0.26,0.12,0.06,0.02,0.81,0.17,1.0,0.0,0.32,0.17,0.99,0.0
0.89,0.94,0.23,0.97,0.02,0.98,0.02,0.86,0.14,0.92,0.08,0.18,0.14,0.05,0.02,0.81,0.17,0.98,0.01,0.33,0.17,0.95,0.01
0.89,0.94,0.18,0.99,0.0,0.99,0.01,0.98,0.02,0.98,0.01,0.7,0.02,0.1,0.01,0.79,0.19,0.92,0.07,0.3,0.19,0.67,0.07
0.88,0.94,0.15,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.23,0.04,0.0,1.0,0.79,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.89,0.94,0.17,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.12,0.07,0.0,1.0,0.8,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.89,0.94,0.3,0.93,0.03,0.94,0.06,0.71,0.28,0.82,0.17,0.15,0.28,0.03,0.06,0.85,0.14,0.97,0.02,0.37,0.14,0.93,0.02
0.89,0.94,0.29,0.97,0.01,0.98,0.02,0.93,0.06,0.96,0.04,0.65,0.06,0.2,0.02,0.81,0.18,0.93,0.05,0.3,0.18,0.82,0.05
0.89,0.94,0.19,0.99,0.01,0.99,0.0,0.97,0.03,0.98,0.01,0.6,0.03,0.2,0.0,0.79,0.19,0.93,0.06,0.3,0.19,0.75,0.06
0.89,0.94,0.23,0.99,0.01,1.0,0.0,0.97,0.03,0.98,0.01,0.74,0.03,0.41,0.0,0.8,0.19,0.81,0.16,0.3,0.19,0.52,0.16
0.89,0.94,0.18,0.99,0.0,0.99,0.01,0.98,0.02,0.98,0.01,0.7,0.02,0.1,0.01,0.79,0.19,0.92,0.07,0.3,0.19,0.67,0.07
0.89,0.94,0.17,0.99,0.0,0.99,0.01,0.97,0.03,0.98,0.02,0.48,0.03,0.1,0.01,0.79,0.19,0.98,0.02,0.3,0.19,0.91,0.02
0.88,0.94,0.15,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.86,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.18,0.99,0.01,0.99,0.01,0.94,0.06,0.96,0.03,0.24,0.06,0.05,0.01,0.8,0.19,0.98,0.02,0.31,0.19,0.9,0.02
0.89,0.94,0.21,0.97,0.01,0.0,1.0,0.86,0.14,0.43,0.57,0.11,0.14,0.0,1.0,0.81,0.17,0.0,1.0,0.33,0.17,0.0,1.0
0.88,0.94,0.15,0.99,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.48,0.02,0.0,1.0,0.79,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.88,0.94,0.15,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.26,0.04,0.0,1.0,0.79,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.89,0.94,0.18,1.0,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.73,0.02,0.68,0.0,0.79,0.2,0.83,0.14,0.29,0.2,0.57,0.14
0.88,0.94,0.15,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.85,0.01,0.23,0.0,0.78,0.2,0.95,0.04,0.29,0.2,0.86,0.04
0.88,0.94,0.14,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.75,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9,0.0,0.3,0.0,0.78,0.2,0.96,0.03,0.3,0.2,0.89,0.03
0.89,0.94,0.17,1.0,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.64,0.02,0.83,0.0,0.78,0.2,0.78,0.19,0.29,0.2,0.39,0.2
0.88,0.94,0.13,1.0,0.0,1.0,0.0,0.97,0.03,0.98,0.01,0.36,0.03,0.9,0.0,0.78,0.2,0.91,0.07,0.29,0.2,0.79,0.07
0.88,0.94,0.14,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.9,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.13,1.0,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.28,0.03,0.0,1.0,0.78,0.2,0.0,1.0,0.29,0.2,0.0,1.0
0.88,0.94,0.15,1.0,0.0,0.0,1.0,0.95,0.05,0.47,0.53,0.24,0.05,0.0,1.0,0.78,0.2,0.0,1.0,0.29,0.2,0.0,1.0
0.88,0.94,0.13,1.0,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.26,0.03,0.0,1.0,0.78,0.2,0.0,1.0,0.29,0.2,0.0,1.0
0.88,0.94,0.12,1.0,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.28,0.03,0.0,1.0,0.78,0.2,0.0,1.0,0.29,0.2,0.0,1.0
0.88,0.94,0.13,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.31,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.29,0.2,0.0,1.0
0.88,0.94,0.13,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.31,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.29,0.2,0.0,1.0
0.88,0.94,0.11,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.19,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.29,0.2,0.0,1.0
0.88,0.94,0.11,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.19,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.29,0.2,0.0,1.0
