ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.25,0.22,0.0,1.0
0.89,0.94,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.25,0.22,0.0,1.0
0.89,0.94,0.18,0.98,0.01,0.0,1.0,0.89,0.11,0.45,0.56,0.04,0.11,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.89,0.94,0.2,0.98,0.01,0.0,1.0,0.88,0.12,0.44,0.56,0.03,0.12,0.0,1.0,0.79,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.9,0.95,0.33,0.92,0.04,0.94,0.06,0.66,0.33,0.8,0.2,0.11,0.33,0.04,0.06,0.84,0.15,0.77,0.16,0.32,0.15,0.64,0.16
0.9,0.95,0.35,0.89,0.05,0.9,0.1,0.59,0.37,0.74,0.23,0.18,0.37,0.06,0.1,0.85,0.14,0.8,0.13,0.33,0.14,0.73,0.13
0.9,0.95,0.31,0.94,0.03,0.97,0.03,0.72,0.28,0.84,0.16,0.08,0.28,0.02,0.03,0.83,0.16,0.96,0.03,0.31,0.16,0.86,0.03
0.9,0.95,0.28,0.95,0.03,0.97,0.03,0.75,0.25,0.86,0.14,0.06,0.25,0.03,0.03,0.82,0.17,0.73,0.21,0.3,0.17,0.51,0.21
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.66,0.33,0.8,0.19,0.13,0.33,0.04,0.05,0.84,0.15,0.83,0.13,0.32,0.15,0.64,0.13
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.68,0.31,0.82,0.17,0.08,0.31,0.03,0.04,0.83,0.15,0.83,0.13,0.32,0.15,0.63,0.13
0.9,0.95,0.25,0.96,0.02,0.98,0.02,0.81,0.19,0.9,0.1,0.04,0.19,0.01,0.02,0.8,0.18,0.85,0.12,0.28,0.18,0.63,0.12
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.65,0.33,0.8,0.19,0.11,0.33,0.03,0.05,0.84,0.15,0.94,0.05,0.33,0.15,0.83,0.05
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.67,0.32,0.81,0.18,0.07,0.32,0.02,0.04,0.84,0.15,0.85,0.11,0.32,0.15,0.66,0.11
0.9,0.95,0.35,0.9,0.05,0.92,0.08,0.59,0.38,0.76,0.23,0.14,0.38,0.05,0.08,0.86,0.13,0.78,0.15,0.34,0.13,0.67,0.15
0.9,0.95,0.35,0.91,0.04,0.94,0.06,0.62,0.36,0.78,0.21,0.11,0.36,0.03,0.06,0.85,0.14,0.84,0.11,0.33,0.14,0.71,0.11
0.9,0.95,0.37,0.88,0.06,0.9,0.1,0.56,0.4,0.73,0.25,0.18,0.4,0.05,0.1,0.86,0.13,0.86,0.09,0.35,0.13,0.78,0.09
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.63,0.36,0.79,0.2,0.08,0.36,0.04,0.05,0.85,0.14,0.74,0.2,0.34,0.14,0.53,0.2
0.9,0.95,0.34,0.93,0.04,0.96,0.04,0.65,0.34,0.8,0.19,0.08,0.34,0.02,0.04,0.84,0.15,0.89,0.09,0.33,0.15,0.7,0.09
0.9,0.95,0.35,0.91,0.04,0.94,0.06,0.61,0.37,0.77,0.21,0.1,0.37,0.04,0.06,0.85,0.14,0.76,0.17,0.34,0.14,0.62,0.17
0.9,0.95,0.33,0.94,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.08,0.3,0.03,0.04,0.83,0.16,0.89,0.09,0.32,0.16,0.7,0.09
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.64,0.34,0.79,0.2,0.09,0.34,0.02,0.05,0.84,0.14,0.98,0.01,0.33,0.14,0.94,0.01
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.6,0.38,0.77,0.23,0.09,0.38,0.02,0.07,0.85,0.14,0.93,0.05,0.34,0.14,0.86,0.05
0.9,0.95,0.35,0.92,0.04,0.96,0.04,0.64,0.34,0.8,0.19,0.09,0.34,0.02,0.04,0.84,0.14,0.96,0.03,0.33,0.14,0.88,0.03
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.68,0.31,0.82,0.17,0.08,0.31,0.02,0.04,0.84,0.15,0.89,0.09,0.32,0.15,0.71,0.09
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.68,0.31,0.82,0.17,0.08,0.31,0.02,0.04,0.83,0.15,0.89,0.08,0.32,0.15,0.72,0.08
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.6,0.38,0.77,0.23,0.09,0.38,0.02,0.07,0.85,0.14,1.0,0.0,0.34,0.14,1.0,0.0
0.9,0.95,0.36,0.9,0.05,0.92,0.08,0.58,0.4,0.75,0.24,0.1,0.4,0.02,0.08,0.86,0.13,0.96,0.03,0.35,0.13,0.91,0.03
0.9,0.95,0.34,0.9,0.05,0.92,0.08,0.58,0.4,0.75,0.24,0.1,0.4,0.04,0.08,0.86,0.13,0.77,0.16,0.34,0.13,0.66,0.16
0.9,0.95,0.35,0.93,0.04,0.96,0.04,0.65,0.34,0.8,0.19,0.09,0.34,0.02,0.04,0.84,0.15,0.93,0.06,0.33,0.15,0.79,0.06
0.9,0.95,0.36,0.9,0.05,0.93,0.07,0.59,0.4,0.76,0.24,0.09,0.4,0.02,0.07,0.86,0.13,0.93,0.05,0.35,0.13,0.86,0.05
0.91,0.95,0.36,0.92,0.04,0.95,0.05,0.61,0.37,0.78,0.21,0.1,0.37,0.02,0.05,0.85,0.14,0.93,0.05,0.34,0.14,0.82,0.05
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.61,0.37,0.77,0.22,0.1,0.37,0.02,0.07,0.85,0.14,0.99,0.01,0.34,0.14,0.98,0.01
0.9,0.95,0.36,0.92,0.04,0.95,0.05,0.63,0.35,0.79,0.2,0.09,0.35,0.02,0.05,0.85,0.14,0.97,0.03,0.33,0.14,0.89,0.03
0.9,0.95,0.36,0.91,0.04,0.94,0.06,0.61,0.38,0.77,0.22,0.09,0.38,0.02,0.06,0.85,0.14,0.91,0.07,0.34,0.14,0.79,0.07
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.61,0.38,0.77,0.23,0.09,0.38,0.02,0.07,0.85,0.14,0.93,0.05,0.34,0.14,0.85,0.05
0.9,0.95,0.36,0.92,0.04,0.94,0.06,0.62,0.36,0.78,0.21,0.1,0.36,0.02,0.06,0.85,0.14,0.96,0.03,0.34,0.14,0.88,0.03
0.9,0.95,0.35,0.92,0.04,0.96,0.04,0.65,0.34,0.8,0.19,0.08,0.34,0.02,0.04,0.84,0.15,0.94,0.05,0.33,0.15,0.81,0.05
0.9,0.95,0.36,0.91,0.04,0.94,0.06,0.62,0.37,0.78,0.21,0.1,0.37,0.02,0.06,0.85,0.14,0.95,0.04,0.34,0.14,0.88,0.04
0.9,0.95,0.36,0.89,0.05,0.92,0.08,0.57,0.41,0.74,0.24,0.11,0.41,0.05,0.08,0.86,0.13,0.72,0.19,0.35,0.13,0.61,0.19
0.9,0.95,0.36,0.9,0.05,0.92,0.08,0.57,0.41,0.74,0.24,0.11,0.41,0.03,0.08,0.86,0.13,0.85,0.11,0.35,0.13,0.74,0.11
0.9,0.95,0.36,0.9,0.05,0.93,0.07,0.58,0.4,0.76,0.24,0.1,0.4,0.02,0.07,0.86,0.13,0.97,0.02,0.35,0.13,0.93,0.02
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.6,0.38,0.77,0.23,0.1,0.38,0.02,0.07,0.85,0.14,0.96,0.03,0.34,0.14,0.92,0.03
0.9,0.95,0.36,0.91,0.05,0.93,0.07,0.59,0.39,0.76,0.23,0.1,0.39,0.02,0.07,0.86,0.13,0.95,0.04,0.34,0.13,0.88,0.04
0.9,0.95,0.36,0.9,0.05,0.92,0.08,0.59,0.39,0.76,0.24,0.1,0.39,0.02,0.08,0.86,0.13,0.92,0.06,0.34,0.13,0.84,0.06
0.9,0.95,0.36,0.9,0.05,0.92,0.08,0.58,0.4,0.75,0.24,0.1,0.4,0.02,0.08,0.86,0.13,0.93,0.05,0.35,0.13,0.86,0.05
0.9,0.95,0.35,0.89,0.05,0.92,0.08,0.57,0.41,0.74,0.24,0.1,0.41,0.03,0.08,0.86,0.13,0.89,0.08,0.35,0.13,0.8,0.08
0.9,0.95,0.36,0.89,0.05,0.91,0.09,0.57,0.41,0.74,0.25,0.1,0.41,0.02,0.09,0.86,0.13,0.93,0.05,0.35,0.13,0.87,0.05
0.9,0.95,0.35,0.89,0.05,0.91,0.09,0.57,0.41,0.74,0.25,0.1,0.41,0.02,0.09,0.86,0.13,0.89,0.07,0.35,0.13,0.81,0.07
0.9,0.95,0.36,0.89,0.05,0.91,0.09,0.56,0.42,0.74,0.26,0.1,0.42,0.03,0.09,0.86,0.13,0.83,0.11,0.35,0.13,0.73,0.11
0.9,0.95,0.36,0.9,0.05,0.92,0.08,0.59,0.39,0.76,0.24,0.1,0.39,0.02,0.08,0.86,0.13,0.99,0.01,0.34,0.13,0.97,0.01
