ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.88,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.88,0.94,-0.01,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.86,0.92,0.4,0.84,0.08,0.83,0.16,0.68,0.16,0.76,0.16,0.76,0.16,0.35,0.16,0.9,0.09,0.71,0.15,0.34,0.09,0.77,0.15
0.88,0.94,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.89,0.94,0.32,0.93,0.04,0.94,0.06,0.75,0.21,0.84,0.14,0.44,0.21,0.22,0.06,0.86,0.13,0.73,0.17,0.36,0.13,0.68,0.17
0.89,0.94,0.19,0.97,0.01,0.98,0.02,0.87,0.13,0.93,0.07,0.14,0.13,0.08,0.02,0.82,0.16,0.71,0.2,0.34,0.16,0.6,0.2
0.88,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.88,0.93,0.39,0.89,0.05,0.9,0.09,0.68,0.21,0.79,0.15,0.62,0.21,0.33,0.09,0.89,0.1,0.69,0.19,0.37,0.1,0.69,0.19
0.89,0.94,0.29,0.93,0.03,0.93,0.07,0.75,0.22,0.84,0.15,0.32,0.22,0.12,0.07,0.85,0.14,0.86,0.09,0.36,0.14,0.81,0.09
0.89,0.94,0.16,0.99,0.01,0.0,1.0,0.95,0.05,0.47,0.53,0.25,0.05,0.0,1.0,0.81,0.17,0.0,1.0,0.32,0.17,0.0,1.0
0.89,0.94,0.25,0.95,0.02,0.96,0.04,0.8,0.19,0.88,0.12,0.19,0.19,0.07,0.04,0.84,0.15,0.86,0.1,0.36,0.15,0.76,0.1
0.89,0.94,0.34,0.91,0.05,0.91,0.09,0.67,0.28,0.79,0.18,0.38,0.28,0.16,0.09,0.88,0.11,0.79,0.13,0.39,0.11,0.74,0.13
0.89,0.94,0.31,0.91,0.04,0.92,0.08,0.69,0.27,0.8,0.18,0.3,0.27,0.11,0.08,0.87,0.12,0.84,0.1,0.38,0.12,0.8,0.1
0.89,0.94,0.32,0.91,0.04,0.91,0.08,0.68,0.28,0.8,0.18,0.3,0.28,0.11,0.08,0.87,0.12,0.85,0.09,0.39,0.12,0.81,0.09
0.89,0.94,0.13,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.16,0.04,0.0,1.0,0.81,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.88,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.89,0.94,0.09,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.89,0.94,0.39,0.88,0.06,0.9,0.1,0.62,0.27,0.76,0.18,0.5,0.27,0.24,0.1,0.9,0.1,0.73,0.16,0.4,0.1,0.71,0.16
0.89,0.94,0.19,0.97,0.01,0.98,0.02,0.88,0.12,0.93,0.07,0.17,0.12,0.1,0.02,0.82,0.16,0.7,0.21,0.34,0.16,0.58,0.21
0.89,0.94,0.26,0.95,0.03,0.96,0.04,0.77,0.22,0.86,0.13,0.18,0.22,0.09,0.04,0.85,0.14,0.78,0.16,0.37,0.14,0.66,0.16
0.89,0.94,0.17,0.98,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.17,0.08,0.05,0.01,0.82,0.17,0.94,0.05,0.33,0.17,0.84,0.05
0.89,0.94,0.13,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.07,0.04,0.0,1.0,0.81,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.88,0.94,0.07,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.21,0.01,0.0,1.0,0.8,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.89,0.94,0.13,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.14,0.04,0.0,1.0,0.81,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.89,0.94,0.3,0.92,0.04,0.93,0.07,0.7,0.27,0.81,0.17,0.24,0.27,0.1,0.07,0.86,0.13,0.81,0.12,0.39,0.13,0.75,0.12
0.89,0.94,0.29,0.93,0.03,0.94,0.06,0.7,0.28,0.82,0.17,0.19,0.28,0.09,0.06,0.86,0.13,0.76,0.16,0.39,0.13,0.66,0.16
0.85,0.91,0.42,0.77,0.11,0.75,0.23,0.54,0.22,0.65,0.23,0.71,0.22,0.26,0.23,0.92,0.08,0.8,0.1,0.37,0.08,0.85,0.1
0.89,0.94,0.26,0.94,0.03,0.96,0.04,0.74,0.24,0.85,0.14,0.14,0.24,0.08,0.04,0.85,0.14,0.71,0.2,0.38,0.14,0.6,0.2
0.89,0.94,0.15,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.09,0.07,0.0,1.0,0.81,0.17,0.0,1.0,0.33,0.17,0.0,1.0
0.89,0.94,0.12,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.08,0.04,0.0,1.0,0.81,0.18,0.0,1.0,0.32,0.18,0.0,1.0
0.89,0.94,0.24,0.96,0.02,0.98,0.02,0.82,0.17,0.9,0.1,0.15,0.17,0.08,0.02,0.84,0.15,0.79,0.16,0.35,0.15,0.6,0.16
0.89,0.94,0.28,0.94,0.03,0.95,0.05,0.73,0.25,0.84,0.15,0.2,0.25,0.1,0.05,0.86,0.13,0.76,0.16,0.38,0.13,0.65,0.16
0.89,0.94,0.3,0.93,0.03,0.95,0.05,0.71,0.27,0.83,0.16,0.2,0.27,0.09,0.05,0.86,0.13,0.81,0.13,0.39,0.13,0.7,0.13
0.89,0.94,0.37,0.87,0.06,0.87,0.13,0.58,0.33,0.72,0.23,0.4,0.33,0.16,0.13,0.9,0.1,0.79,0.12,0.42,0.1,0.78,0.12
0.89,0.94,0.31,0.92,0.04,0.93,0.07,0.66,0.32,0.8,0.2,0.21,0.32,0.09,0.07,0.87,0.12,0.81,0.12,0.4,0.12,0.74,0.12
0.89,0.94,0.23,0.97,0.02,0.98,0.02,0.84,0.16,0.91,0.09,0.11,0.16,0.01,0.02,0.83,0.15,0.88,0.1,0.35,0.15,0.58,0.1
0.89,0.94,0.27,0.94,0.03,0.96,0.04,0.74,0.24,0.85,0.14,0.16,0.24,0.1,0.04,0.85,0.13,0.71,0.21,0.38,0.13,0.59,0.21
0.89,0.94,0.33,0.92,0.04,0.93,0.07,0.68,0.28,0.81,0.18,0.32,0.28,0.15,0.07,0.87,0.12,0.77,0.15,0.39,0.12,0.71,0.15
0.89,0.94,0.28,0.94,0.03,0.95,0.05,0.74,0.25,0.84,0.15,0.21,0.25,0.11,0.05,0.86,0.13,0.72,0.19,0.38,0.13,0.63,0.19
0.89,0.94,0.29,0.94,0.03,0.95,0.05,0.72,0.26,0.83,0.15,0.22,0.26,0.11,0.05,0.86,0.13,0.74,0.17,0.38,0.13,0.65,0.17
0.89,0.94,0.28,0.94,0.03,0.95,0.05,0.72,0.26,0.83,0.15,0.2,0.26,0.11,0.05,0.86,0.13,0.71,0.2,0.38,0.13,0.61,0.2
0.89,0.94,0.26,0.96,0.02,0.97,0.03,0.79,0.2,0.88,0.12,0.14,0.2,0.06,0.03,0.84,0.14,0.83,0.12,0.37,0.14,0.67,0.12
0.89,0.94,0.25,0.95,0.02,0.96,0.04,0.77,0.22,0.86,0.13,0.13,0.22,0.07,0.04,0.85,0.14,0.75,0.18,0.37,0.14,0.62,0.18
0.89,0.94,0.26,0.95,0.03,0.96,0.04,0.74,0.25,0.85,0.14,0.12,0.25,0.1,0.04,0.85,0.13,0.6,0.29,0.38,0.13,0.5,0.29
