ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,-0.01,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.87,0.93,0.34,0.87,0.06,0.85,0.14,0.65,0.25,0.75,0.2,0.53,0.25,0.23,0.14,0.88,0.11,0.74,0.14,0.37,0.11,0.78,0.14
0.84,0.91,0.4,0.78,0.1,0.76,0.22,0.55,0.22,0.66,0.22,0.71,0.22,0.31,0.22,0.92,0.08,0.72,0.13,0.37,0.08,0.8,0.13
0.86,0.92,0.4,0.81,0.09,0.79,0.2,0.56,0.23,0.68,0.22,0.67,0.23,0.28,0.2,0.91,0.08,0.74,0.13,0.39,0.08,0.8,0.13
0.87,0.93,0.39,0.83,0.08,0.82,0.17,0.57,0.27,0.69,0.22,0.58,0.27,0.25,0.17,0.91,0.09,0.75,0.13,0.4,0.09,0.79,0.13
0.89,0.94,0.38,0.86,0.07,0.87,0.13,0.55,0.34,0.71,0.24,0.43,0.34,0.19,0.13,0.91,0.09,0.76,0.14,0.43,0.09,0.75,0.14
0.89,0.94,0.34,0.89,0.05,0.89,0.11,0.6,0.34,0.74,0.23,0.3,0.34,0.12,0.11,0.89,0.1,0.79,0.12,0.42,0.1,0.76,0.12
0.89,0.94,0.29,0.92,0.04,0.92,0.08,0.71,0.27,0.81,0.18,0.24,0.27,0.08,0.08,0.86,0.13,0.88,0.07,0.38,0.13,0.84,0.07
0.89,0.94,0.27,0.94,0.03,0.95,0.05,0.76,0.23,0.85,0.14,0.17,0.23,0.06,0.05,0.85,0.14,0.87,0.09,0.37,0.14,0.79,0.09
0.89,0.94,0.25,0.95,0.03,0.96,0.04,0.76,0.23,0.86,0.14,0.1,0.23,0.05,0.04,0.85,0.14,0.77,0.16,0.37,0.14,0.66,0.16
0.89,0.94,0.24,0.96,0.02,0.97,0.03,0.79,0.2,0.88,0.12,0.1,0.2,0.05,0.03,0.84,0.15,0.81,0.13,0.36,0.15,0.68,0.13
0.89,0.94,0.22,0.96,0.02,0.97,0.03,0.81,0.18,0.89,0.1,0.08,0.18,0.03,0.03,0.84,0.15,0.87,0.09,0.36,0.15,0.75,0.09
0.89,0.94,0.22,0.96,0.02,0.97,0.03,0.82,0.17,0.9,0.1,0.09,0.17,0.02,0.03,0.83,0.15,0.99,0.01,0.35,0.15,0.97,0.01
