ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.27,0.21,0.0,1.0
0.89,0.94,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.27,0.21,0.0,1.0
0.9,0.95,0.33,0.93,0.04,0.94,0.06,0.73,0.24,0.83,0.15,0.28,0.24,0.05,0.06,0.83,0.16,0.98,0.01,0.32,0.16,0.96,0.01
0.9,0.95,0.32,0.94,0.03,0.95,0.05,0.77,0.22,0.86,0.14,0.26,0.22,0.04,0.05,0.82,0.16,0.91,0.07,0.31,0.16,0.76,0.07
0.9,0.95,0.37,0.9,0.05,0.92,0.08,0.66,0.29,0.79,0.18,0.31,0.29,0.07,0.08,0.85,0.14,0.96,0.03,0.34,0.14,0.93,0.03
0.9,0.95,0.4,0.88,0.06,0.9,0.1,0.55,0.38,0.73,0.24,0.29,0.38,0.1,0.1,0.88,0.11,0.81,0.13,0.38,0.11,0.72,0.13
0.9,0.95,0.36,0.91,0.04,0.93,0.07,0.69,0.28,0.81,0.18,0.3,0.28,0.08,0.07,0.85,0.14,0.91,0.06,0.33,0.14,0.83,0.06
0.9,0.95,0.34,0.92,0.04,0.95,0.05,0.69,0.28,0.82,0.17,0.24,0.28,0.07,0.05,0.84,0.15,0.9,0.07,0.33,0.15,0.79,0.07
0.9,0.95,0.36,0.92,0.04,0.93,0.07,0.7,0.26,0.81,0.17,0.32,0.26,0.08,0.07,0.84,0.15,0.92,0.05,0.33,0.15,0.85,0.05
0.9,0.95,0.35,0.92,0.04,0.94,0.06,0.68,0.29,0.81,0.17,0.25,0.29,0.08,0.06,0.85,0.14,0.87,0.09,0.34,0.14,0.75,0.09
0.9,0.95,0.4,0.9,0.05,0.93,0.07,0.6,0.34,0.77,0.21,0.29,0.34,0.1,0.07,0.87,0.12,0.85,0.11,0.36,0.12,0.73,0.11
0.9,0.94,0.41,0.86,0.07,0.88,0.11,0.54,0.36,0.71,0.23,0.39,0.36,0.16,0.11,0.89,0.1,0.73,0.17,0.38,0.1,0.67,0.17
0.89,0.94,0.41,0.86,0.07,0.88,0.12,0.52,0.36,0.7,0.24,0.4,0.36,0.18,0.12,0.89,0.1,0.7,0.19,0.39,0.1,0.66,0.19
