ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.27,0.92,0.04,0.92,0.08,0.72,0.26,0.82,0.17,0.17,0.26,0.04,0.08,0.84,0.15,0.98,0.01,0.33,0.15,0.97,0.01
0.9,0.95,0.34,0.87,0.06,0.86,0.14,0.57,0.38,0.71,0.26,0.22,0.38,0.05,0.14,0.88,0.11,0.99,0.01,0.37,0.11,0.99,0.01
0.8,0.88,0.37,0.66,0.15,0.63,0.31,0.27,0.31,0.45,0.31,0.65,0.31,0.32,0.31,0.97,0.03,0.58,0.17,0.54,0.03,0.77,0.17
0.9,0.95,0.33,0.89,0.06,0.88,0.12,0.62,0.34,0.75,0.23,0.23,0.34,0.05,0.12,0.87,0.12,0.96,0.02,0.35,0.12,0.95,0.02
0.9,0.95,0.22,0.96,0.02,0.97,0.03,0.8,0.19,0.89,0.11,0.07,0.19,0.03,0.03,0.83,0.16,0.73,0.19,0.32,0.16,0.63,0.19
0.9,0.95,0.21,0.97,0.01,0.0,1.0,0.85,0.15,0.42,0.57,0.02,0.15,0.0,1.0,0.82,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.16,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.25,0.95,0.02,0.96,0.04,0.76,0.23,0.86,0.14,0.06,0.23,0.02,0.04,0.84,0.15,0.95,0.03,0.33,0.15,0.9,0.03
0.9,0.95,0.34,0.89,0.05,0.88,0.12,0.64,0.32,0.76,0.22,0.29,0.32,0.07,0.12,0.87,0.12,0.98,0.01,0.35,0.12,0.98,0.01
0.9,0.95,0.32,0.89,0.05,0.89,0.11,0.6,0.37,0.74,0.24,0.17,0.37,0.04,0.11,0.87,0.12,0.99,0.0,0.37,0.12,0.99,0.0
0.9,0.95,0.38,0.85,0.07,0.84,0.16,0.51,0.41,0.68,0.28,0.29,0.41,0.06,0.16,0.9,0.09,0.99,0.0,0.4,0.09,0.99,0.0
0.9,0.95,0.34,0.87,0.06,0.87,0.13,0.54,0.43,0.71,0.28,0.15,0.43,0.03,0.13,0.89,0.1,0.97,0.02,0.4,0.1,0.96,0.02
0.9,0.95,0.29,0.92,0.04,0.93,0.07,0.65,0.34,0.79,0.21,0.05,0.34,0.02,0.07,0.86,0.13,0.84,0.1,0.36,0.13,0.77,0.1
0.9,0.95,0.31,0.9,0.05,0.91,0.09,0.58,0.4,0.74,0.24,0.07,0.4,0.02,0.09,0.88,0.11,0.84,0.1,0.39,0.11,0.78,0.1
0.9,0.95,0.27,0.94,0.03,0.95,0.05,0.72,0.27,0.83,0.16,0.05,0.27,0.01,0.05,0.85,0.14,0.87,0.1,0.34,0.14,0.66,0.1
0.9,0.95,0.28,0.94,0.03,0.96,0.04,0.72,0.27,0.84,0.15,0.07,0.27,0.01,0.04,0.85,0.14,1.0,0.0,0.34,0.14,0.99,0.0
0.9,0.95,0.27,0.94,0.03,0.94,0.06,0.72,0.27,0.83,0.17,0.1,0.27,0.04,0.06,0.85,0.14,0.82,0.12,0.34,0.14,0.74,0.12
0.9,0.95,0.19,0.97,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.19,0.97,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.15,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.33,0.87,0.06,0.88,0.12,0.51,0.47,0.7,0.29,0.08,0.47,0.02,0.12,0.89,0.1,0.92,0.05,0.42,0.1,0.9,0.05
0.9,0.95,0.32,0.9,0.05,0.92,0.08,0.59,0.4,0.76,0.24,0.09,0.4,0.02,0.08,0.88,0.11,0.95,0.03,0.39,0.11,0.91,0.03
0.9,0.95,0.24,0.95,0.02,0.0,1.0,0.76,0.24,0.38,0.62,0.02,0.24,0.0,1.0,0.84,0.15,0.0,1.0,0.33,0.15,0.0,1.0
0.9,0.95,0.27,0.93,0.03,0.0,1.0,0.69,0.31,0.34,0.66,0.02,0.31,0.0,1.0,0.85,0.14,0.0,1.0,0.35,0.14,0.0,1.0
