ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.88,0.93,0.33,0.87,0.06,0.86,0.13,0.61,0.3,0.73,0.21,0.42,0.3,0.22,0.13,0.87,0.12,0.61,0.22,0.35,0.12,0.67,0.22
0.86,0.92,0.37,0.81,0.09,0.81,0.17,0.5,0.31,0.66,0.24,0.56,0.31,0.31,0.17,0.91,0.08,0.57,0.23,0.38,0.08,0.68,0.23
0.86,0.92,0.37,0.81,0.09,0.81,0.18,0.49,0.31,0.65,0.24,0.56,0.31,0.31,0.18,0.91,0.08,0.57,0.23,0.39,0.08,0.68,0.23
0.86,0.92,0.38,0.81,0.09,0.81,0.18,0.49,0.31,0.65,0.24,0.56,0.31,0.3,0.18,0.91,0.08,0.58,0.22,0.39,0.08,0.69,0.22
0.87,0.93,0.38,0.82,0.09,0.82,0.17,0.51,0.32,0.67,0.24,0.52,0.32,0.25,0.17,0.9,0.09,0.62,0.2,0.38,0.09,0.7,0.2
0.86,0.92,0.39,0.79,0.1,0.79,0.2,0.44,0.33,0.61,0.27,0.55,0.33,0.28,0.2,0.92,0.07,0.59,0.21,0.41,0.07,0.7,0.21
0.86,0.92,0.39,0.79,0.1,0.78,0.2,0.44,0.33,0.61,0.27,0.55,0.33,0.28,0.2,0.92,0.07,0.6,0.2,0.41,0.07,0.71,0.2
0.87,0.93,0.39,0.8,0.1,0.79,0.19,0.43,0.36,0.61,0.28,0.5,0.36,0.24,0.19,0.92,0.07,0.63,0.2,0.42,0.07,0.71,0.2
0.88,0.93,0.39,0.82,0.08,0.83,0.16,0.47,0.38,0.65,0.27,0.42,0.38,0.2,0.16,0.91,0.08,0.64,0.2,0.41,0.08,0.69,0.2
0.89,0.94,0.38,0.84,0.08,0.86,0.14,0.48,0.41,0.67,0.28,0.36,0.41,0.19,0.14,0.91,0.09,0.63,0.22,0.42,0.09,0.65,0.22
0.89,0.94,0.36,0.86,0.07,0.88,0.12,0.5,0.42,0.69,0.27,0.26,0.42,0.15,0.12,0.9,0.1,0.6,0.24,0.41,0.1,0.62,0.24
0.9,0.94,0.36,0.88,0.06,0.9,0.1,0.55,0.4,0.73,0.25,0.22,0.4,0.12,0.1,0.88,0.11,0.65,0.22,0.39,0.11,0.61,0.22
0.9,0.95,0.33,0.91,0.04,0.93,0.07,0.64,0.34,0.79,0.21,0.19,0.34,0.1,0.07,0.86,0.13,0.7,0.21,0.36,0.13,0.61,0.21
0.9,0.95,0.32,0.93,0.04,0.94,0.06,0.69,0.29,0.81,0.17,0.18,0.29,0.07,0.06,0.85,0.14,0.81,0.13,0.34,0.14,0.69,0.13
