ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.9,0.95,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.18,0.99,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.2,0.08,0.08,0.01,0.81,0.18,0.88,0.1,0.29,0.18,0.67,0.1
0.9,0.95,0.21,0.97,0.02,0.98,0.02,0.86,0.14,0.92,0.08,0.14,0.14,0.04,0.02,0.82,0.17,0.94,0.04,0.3,0.17,0.88,0.04
0.9,0.95,0.3,0.93,0.04,0.93,0.07,0.72,0.26,0.82,0.17,0.22,0.26,0.06,0.07,0.85,0.14,0.91,0.06,0.33,0.14,0.86,0.06
0.9,0.95,0.27,0.96,0.02,0.97,0.03,0.81,0.18,0.89,0.1,0.21,0.18,0.04,0.03,0.83,0.15,0.99,0.01,0.31,0.15,0.96,0.01
0.9,0.95,0.32,0.92,0.04,0.93,0.07,0.7,0.28,0.81,0.18,0.23,0.28,0.05,0.07,0.86,0.13,0.99,0.0,0.34,0.13,0.99,0.0
0.9,0.95,0.29,0.95,0.02,0.96,0.04,0.77,0.22,0.86,0.13,0.16,0.22,0.03,0.04,0.84,0.15,0.92,0.06,0.33,0.15,0.77,0.06
0.91,0.95,0.31,0.94,0.03,0.96,0.04,0.72,0.26,0.84,0.15,0.14,0.26,0.03,0.04,0.85,0.14,0.97,0.02,0.34,0.14,0.92,0.02
0.9,0.95,0.31,0.94,0.03,0.95,0.05,0.71,0.27,0.83,0.16,0.17,0.27,0.04,0.05,0.85,0.14,0.99,0.01,0.34,0.14,0.98,0.01
0.9,0.95,0.3,0.94,0.03,0.95,0.05,0.73,0.25,0.84,0.15,0.18,0.25,0.04,0.05,0.85,0.14,0.96,0.03,0.34,0.14,0.91,0.03
0.91,0.95,0.33,0.93,0.04,0.95,0.05,0.67,0.31,0.81,0.18,0.17,0.31,0.05,0.05,0.86,0.13,0.9,0.07,0.36,0.13,0.81,0.07
0.9,0.95,0.3,0.94,0.03,0.95,0.05,0.74,0.25,0.84,0.15,0.18,0.25,0.04,0.05,0.85,0.14,1.0,0.0,0.33,0.14,1.0,0.0
0.9,0.95,0.36,0.89,0.05,0.9,0.09,0.59,0.35,0.74,0.22,0.29,0.35,0.11,0.09,0.89,0.11,0.77,0.14,0.38,0.11,0.72,0.14
0.91,0.95,0.34,0.93,0.03,0.95,0.05,0.7,0.28,0.82,0.17,0.23,0.28,0.05,0.05,0.86,0.13,1.0,0.0,0.34,0.13,0.99,0.0
0.9,0.95,0.36,0.89,0.05,0.91,0.09,0.58,0.36,0.74,0.22,0.27,0.36,0.12,0.09,0.89,0.1,0.74,0.17,0.39,0.1,0.68,0.17
0.91,0.95,0.36,0.91,0.04,0.93,0.07,0.62,0.34,0.78,0.21,0.24,0.34,0.08,0.07,0.88,0.11,0.87,0.09,0.37,0.11,0.79,0.09
0.91,0.95,0.35,0.92,0.04,0.94,0.06,0.64,0.33,0.79,0.2,0.21,0.33,0.06,0.06,0.87,0.12,0.9,0.07,0.37,0.12,0.81,0.07
0.91,0.95,0.35,0.92,0.04,0.94,0.06,0.66,0.31,0.8,0.18,0.21,0.31,0.05,0.06,0.87,0.12,0.96,0.03,0.36,0.12,0.91,0.03
0.91,0.95,0.33,0.93,0.04,0.95,0.05,0.69,0.29,0.82,0.17,0.18,0.29,0.04,0.05,0.86,0.13,0.98,0.02,0.35,0.13,0.95,0.02
0.91,0.95,0.34,0.92,0.04,0.94,0.06,0.67,0.31,0.8,0.18,0.22,0.31,0.06,0.06,0.87,0.12,0.93,0.05,0.36,0.12,0.87,0.05
0.9,0.95,0.37,0.89,0.05,0.91,0.09,0.57,0.37,0.74,0.23,0.29,0.37,0.12,0.09,0.89,0.1,0.77,0.15,0.39,0.1,0.7,0.15
