ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.11,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.1,0.04,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.31,0.92,0.04,0.93,0.07,0.69,0.28,0.81,0.18,0.21,0.28,0.05,0.07,0.86,0.13,0.98,0.01,0.34,0.13,0.96,0.01
0.9,0.95,0.34,0.89,0.05,0.9,0.1,0.62,0.32,0.76,0.21,0.31,0.32,0.12,0.1,0.88,0.12,0.77,0.14,0.36,0.12,0.75,0.14
0.89,0.94,0.35,0.88,0.06,0.88,0.12,0.62,0.29,0.75,0.2,0.43,0.29,0.19,0.12,0.88,0.11,0.7,0.17,0.35,0.11,0.72,0.17
0.89,0.94,0.37,0.85,0.07,0.84,0.15,0.56,0.32,0.7,0.23,0.47,0.32,0.21,0.15,0.9,0.1,0.68,0.17,0.37,0.1,0.73,0.17
0.87,0.93,0.38,0.81,0.09,0.79,0.2,0.49,0.33,0.64,0.27,0.51,0.33,0.22,0.2,0.91,0.08,0.68,0.16,0.39,0.08,0.76,0.16
0.85,0.92,0.39,0.76,0.11,0.75,0.23,0.41,0.32,0.58,0.28,0.59,0.32,0.27,0.23,0.94,0.06,0.64,0.17,0.43,0.06,0.75,0.17
0.83,0.9,0.38,0.72,0.13,0.69,0.28,0.43,0.27,0.56,0.28,0.66,0.27,0.28,0.28,0.93,0.07,0.66,0.15,0.38,0.07,0.79,0.15
0.84,0.9,0.38,0.73,0.13,0.69,0.27,0.42,0.28,0.55,0.28,0.64,0.28,0.27,0.27,0.93,0.07,0.66,0.15,0.39,0.07,0.79,0.15
0.88,0.93,0.39,0.8,0.09,0.8,0.19,0.45,0.35,0.62,0.27,0.51,0.35,0.22,0.19,0.92,0.07,0.68,0.16,0.42,0.07,0.75,0.16
0.9,0.95,0.37,0.86,0.07,0.87,0.13,0.52,0.4,0.7,0.27,0.3,0.4,0.11,0.13,0.9,0.09,0.78,0.13,0.4,0.09,0.76,0.13
0.9,0.95,0.35,0.89,0.05,0.9,0.1,0.57,0.38,0.73,0.24,0.24,0.38,0.09,0.1,0.89,0.1,0.77,0.14,0.39,0.1,0.72,0.14
0.91,0.95,0.33,0.93,0.04,0.94,0.06,0.68,0.3,0.81,0.18,0.18,0.3,0.04,0.06,0.86,0.13,0.98,0.01,0.35,0.13,0.96,0.01
0.9,0.95,0.28,0.95,0.03,0.96,0.04,0.76,0.23,0.86,0.14,0.14,0.23,0.02,0.04,0.84,0.15,0.9,0.07,0.33,0.15,0.76,0.07
0.9,0.95,0.24,0.96,0.02,0.97,0.03,0.81,0.18,0.89,0.1,0.15,0.18,0.03,0.03,0.83,0.16,0.95,0.04,0.31,0.16,0.88,0.04
0.9,0.95,0.23,0.96,0.02,0.97,0.03,0.82,0.17,0.9,0.1,0.13,0.17,0.03,0.03,0.83,0.16,0.97,0.02,0.31,0.16,0.94,0.02
0.9,0.95,0.24,0.96,0.02,0.97,0.03,0.81,0.18,0.89,0.1,0.15,0.18,0.03,0.03,0.83,0.16,0.95,0.04,0.31,0.16,0.88,0.04
0.9,0.95,0.22,0.97,0.02,0.98,0.02,0.84,0.15,0.91,0.08,0.11,0.15,0.04,0.02,0.82,0.16,0.85,0.11,0.31,0.16,0.7,0.11
0.9,0.95,0.14,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.13,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.94,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.9,0.95,0.12,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.15,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
