ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.1,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.88,0.93,0.34,0.86,0.07,0.85,0.14,0.58,0.31,0.71,0.23,0.44,0.31,0.22,0.14,0.89,0.11,0.64,0.19,0.36,0.11,0.7,0.19
0.89,0.94,0.34,0.87,0.06,0.87,0.12,0.59,0.34,0.73,0.23,0.35,0.34,0.16,0.12,0.88,0.11,0.69,0.18,0.37,0.11,0.7,0.18
0.89,0.94,0.36,0.85,0.07,0.85,0.15,0.55,0.35,0.7,0.25,0.41,0.35,0.18,0.15,0.89,0.1,0.69,0.17,0.38,0.1,0.73,0.17
0.89,0.94,0.36,0.86,0.07,0.87,0.13,0.55,0.36,0.71,0.24,0.34,0.36,0.13,0.13,0.89,0.1,0.75,0.14,0.39,0.1,0.74,0.14
0.9,0.94,0.36,0.87,0.06,0.88,0.12,0.55,0.37,0.72,0.24,0.33,0.37,0.14,0.12,0.89,0.1,0.73,0.16,0.39,0.1,0.72,0.16
0.89,0.94,0.37,0.85,0.07,0.85,0.14,0.54,0.36,0.7,0.25,0.38,0.36,0.16,0.14,0.9,0.1,0.71,0.16,0.39,0.1,0.73,0.16
0.89,0.94,0.37,0.84,0.08,0.84,0.15,0.51,0.37,0.68,0.26,0.39,0.37,0.17,0.15,0.9,0.09,0.71,0.16,0.4,0.09,0.73,0.16
0.89,0.94,0.36,0.87,0.06,0.88,0.12,0.58,0.33,0.73,0.23,0.39,0.33,0.17,0.12,0.89,0.11,0.73,0.16,0.37,0.11,0.72,0.16
0.9,0.94,0.34,0.88,0.06,0.89,0.11,0.55,0.4,0.72,0.26,0.22,0.4,0.1,0.11,0.89,0.1,0.73,0.17,0.4,0.1,0.69,0.17
0.9,0.95,0.32,0.9,0.05,0.92,0.08,0.59,0.38,0.76,0.23,0.14,0.38,0.08,0.08,0.88,0.11,0.66,0.23,0.39,0.11,0.6,0.23
0.9,0.95,0.3,0.91,0.04,0.93,0.07,0.63,0.35,0.78,0.21,0.11,0.35,0.07,0.07,0.87,0.12,0.64,0.24,0.38,0.12,0.58,0.24
0.9,0.95,0.27,0.94,0.03,0.95,0.05,0.71,0.28,0.83,0.17,0.11,0.28,0.05,0.05,0.85,0.14,0.74,0.18,0.35,0.14,0.64,0.18
0.9,0.95,0.27,0.94,0.03,0.95,0.05,0.72,0.27,0.83,0.16,0.09,0.27,0.04,0.05,0.84,0.14,0.76,0.17,0.35,0.14,0.64,0.17
0.9,0.95,0.25,0.94,0.03,0.95,0.05,0.75,0.25,0.85,0.15,0.06,0.25,0.02,0.05,0.84,0.15,0.84,0.11,0.34,0.15,0.74,0.11
