ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.85,0.91,0.35,0.85,0.07,0.84,0.14,0.71,0.16,0.77,0.15,0.75,0.16,0.39,0.14,0.88,0.11,0.59,0.2,0.3,0.11,0.71,0.2
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.89,0.94,0.27,0.94,0.03,0.94,0.06,0.8,0.17,0.87,0.12,0.43,0.17,0.22,0.06,0.84,0.15,0.67,0.2,0.31,0.15,0.65,0.2
0.89,0.94,0.13,0.99,0.0,0.0,1.0,0.95,0.05,0.47,0.53,0.07,0.05,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.9,0.94,0.23,0.95,0.02,0.96,0.04,0.81,0.19,0.89,0.12,0.19,0.19,0.1,0.04,0.83,0.16,0.66,0.22,0.32,0.16,0.61,0.22
0.89,0.94,0.35,0.89,0.06,0.89,0.1,0.65,0.26,0.77,0.18,0.5,0.26,0.27,0.1,0.88,0.11,0.63,0.22,0.35,0.11,0.65,0.22
0.89,0.94,0.29,0.93,0.03,0.94,0.06,0.76,0.2,0.85,0.13,0.43,0.2,0.26,0.06,0.85,0.14,0.61,0.24,0.32,0.14,0.61,0.24
0.88,0.93,0.36,0.88,0.06,0.88,0.11,0.69,0.21,0.78,0.16,0.63,0.21,0.31,0.11,0.88,0.12,0.64,0.2,0.32,0.12,0.69,0.2
0.89,0.94,0.17,0.99,0.01,1.0,0.0,0.94,0.06,0.97,0.03,0.2,0.06,0.07,0.0,0.8,0.19,0.92,0.07,0.29,0.19,0.67,0.07
0.9,0.94,0.28,0.94,0.03,0.94,0.05,0.76,0.21,0.85,0.13,0.33,0.21,0.17,0.05,0.84,0.15,0.67,0.21,0.32,0.15,0.63,0.21
0.89,0.94,0.33,0.91,0.04,0.92,0.08,0.73,0.2,0.82,0.14,0.55,0.2,0.32,0.08,0.86,0.13,0.61,0.24,0.32,0.13,0.63,0.24
0.9,0.94,0.18,0.99,0.01,1.0,0.0,0.93,0.07,0.97,0.04,0.17,0.07,0.07,0.0,0.8,0.18,0.91,0.08,0.3,0.18,0.59,0.08
0.9,0.94,0.19,0.98,0.01,1.0,0.0,0.91,0.08,0.96,0.04,0.21,0.08,0.24,0.0,0.81,0.18,0.63,0.32,0.3,0.18,0.3,0.32
0.9,0.94,0.21,0.97,0.02,0.98,0.02,0.85,0.14,0.92,0.08,0.17,0.14,0.12,0.02,0.82,0.17,0.64,0.27,0.31,0.17,0.49,0.27
0.89,0.94,0.29,0.93,0.03,0.94,0.06,0.77,0.2,0.85,0.13,0.39,0.2,0.19,0.06,0.84,0.15,0.69,0.2,0.32,0.15,0.65,0.2
0.9,0.94,0.18,0.98,0.01,1.0,0.0,0.92,0.08,0.96,0.04,0.22,0.08,0.24,0.0,0.8,0.18,0.64,0.31,0.3,0.18,0.31,0.31
0.89,0.94,0.14,0.99,0.0,0.0,1.0,0.95,0.05,0.47,0.53,0.07,0.05,0.0,1.0,0.8,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.9,0.94,0.22,0.96,0.02,0.97,0.03,0.84,0.15,0.91,0.09,0.18,0.15,0.1,0.03,0.82,0.17,0.67,0.23,0.31,0.17,0.57,0.23
0.89,0.94,0.15,0.99,0.01,0.0,1.0,0.94,0.06,0.47,0.53,0.05,0.06,0.0,1.0,0.8,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.9,0.94,0.23,0.97,0.02,0.98,0.02,0.85,0.14,0.92,0.08,0.3,0.14,0.17,0.02,0.82,0.17,0.68,0.23,0.31,0.17,0.55,0.23
