ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.26,0.95,0.03,0.95,0.05,0.77,0.22,0.86,0.14,0.12,0.22,0.03,0.05,0.82,0.17,0.91,0.06,0.3,0.17,0.84,0.06
0.9,0.95,0.28,0.92,0.04,0.92,0.08,0.72,0.26,0.82,0.17,0.22,0.26,0.08,0.08,0.83,0.16,0.78,0.13,0.31,0.16,0.76,0.13
0.9,0.95,0.27,0.93,0.03,0.93,0.06,0.76,0.23,0.84,0.15,0.2,0.23,0.05,0.06,0.83,0.16,0.93,0.05,0.3,0.16,0.89,0.05
0.9,0.95,0.27,0.94,0.03,0.95,0.05,0.76,0.23,0.85,0.14,0.15,0.23,0.04,0.05,0.83,0.16,0.91,0.06,0.31,0.16,0.85,0.06
0.9,0.95,0.27,0.94,0.03,0.95,0.05,0.76,0.23,0.85,0.14,0.15,0.23,0.04,0.05,0.83,0.16,0.92,0.06,0.3,0.16,0.85,0.06
0.9,0.95,0.26,0.95,0.03,0.95,0.05,0.77,0.22,0.86,0.14,0.15,0.22,0.04,0.05,0.82,0.16,0.88,0.08,0.3,0.16,0.8,0.08
0.9,0.95,0.3,0.93,0.03,0.95,0.05,0.71,0.27,0.83,0.16,0.17,0.27,0.06,0.05,0.84,0.15,0.81,0.13,0.32,0.15,0.71,0.13
0.9,0.95,0.31,0.91,0.04,0.92,0.08,0.67,0.3,0.8,0.19,0.2,0.3,0.08,0.08,0.85,0.14,0.76,0.15,0.32,0.14,0.71,0.15
0.9,0.95,0.34,0.89,0.05,0.9,0.1,0.61,0.34,0.76,0.22,0.27,0.34,0.11,0.1,0.87,0.13,0.71,0.18,0.34,0.13,0.68,0.18
0.9,0.94,0.37,0.87,0.06,0.87,0.12,0.59,0.33,0.73,0.23,0.37,0.33,0.13,0.12,0.87,0.12,0.75,0.15,0.34,0.12,0.74,0.15
0.9,0.94,0.38,0.86,0.07,0.87,0.13,0.57,0.34,0.72,0.24,0.38,0.34,0.14,0.13,0.88,0.11,0.75,0.15,0.35,0.11,0.73,0.15
0.9,0.94,0.37,0.87,0.06,0.88,0.12,0.57,0.35,0.72,0.23,0.34,0.35,0.13,0.12,0.88,0.11,0.74,0.16,0.35,0.11,0.72,0.16
0.9,0.95,0.35,0.89,0.06,0.89,0.11,0.62,0.32,0.76,0.21,0.33,0.32,0.11,0.11,0.86,0.13,0.77,0.14,0.33,0.13,0.75,0.14
0.9,0.95,0.33,0.9,0.05,0.91,0.09,0.66,0.31,0.79,0.2,0.25,0.31,0.09,0.09,0.85,0.14,0.78,0.14,0.33,0.14,0.73,0.14
0.9,0.95,0.32,0.92,0.04,0.93,0.07,0.67,0.31,0.8,0.19,0.18,0.31,0.06,0.07,0.85,0.14,0.83,0.11,0.33,0.14,0.75,0.11
0.9,0.95,0.28,0.94,0.03,0.95,0.05,0.72,0.27,0.83,0.16,0.13,0.27,0.04,0.05,0.83,0.15,0.81,0.13,0.32,0.15,0.71,0.13
0.9,0.95,0.25,0.96,0.02,0.97,0.03,0.8,0.2,0.89,0.12,0.12,0.2,0.05,0.03,0.82,0.17,0.8,0.15,0.3,0.17,0.64,0.15
0.9,0.95,0.23,0.96,0.02,0.98,0.02,0.82,0.18,0.9,0.1,0.08,0.18,0.05,0.02,0.81,0.17,0.67,0.25,0.3,0.17,0.5,0.25
0.9,0.95,0.2,0.97,0.01,0.98,0.02,0.85,0.15,0.92,0.08,0.05,0.15,0.06,0.02,0.81,0.18,0.44,0.43,0.29,0.18,0.36,0.43
0.9,0.95,0.19,0.97,0.01,0.98,0.02,0.87,0.13,0.93,0.07,0.06,0.13,0.03,0.02,0.8,0.18,0.67,0.24,0.28,0.18,0.51,0.24
0.9,0.95,0.2,0.97,0.01,0.98,0.02,0.85,0.14,0.92,0.08,0.05,0.14,0.03,0.02,0.8,0.18,0.66,0.26,0.29,0.18,0.49,0.26
0.9,0.95,0.21,0.97,0.02,0.98,0.02,0.84,0.16,0.91,0.09,0.05,0.16,0.04,0.02,0.81,0.18,0.53,0.35,0.29,0.18,0.42,0.35
0.9,0.95,0.25,0.96,0.02,0.97,0.03,0.8,0.19,0.89,0.11,0.13,0.19,0.03,0.03,0.82,0.17,0.96,0.03,0.3,0.17,0.91,0.03
0.9,0.95,0.27,0.95,0.03,0.96,0.04,0.76,0.24,0.86,0.14,0.12,0.24,0.03,0.04,0.83,0.16,0.88,0.08,0.31,0.16,0.78,0.08
0.9,0.95,0.28,0.93,0.04,0.93,0.07,0.71,0.28,0.82,0.18,0.12,0.28,0.03,0.07,0.83,0.15,0.91,0.06,0.32,0.15,0.86,0.06
0.9,0.95,0.3,0.92,0.04,0.93,0.07,0.69,0.29,0.81,0.18,0.17,0.29,0.05,0.07,0.84,0.15,0.88,0.08,0.32,0.15,0.82,0.08
0.9,0.95,0.33,0.92,0.04,0.93,0.07,0.67,0.3,0.8,0.18,0.2,0.3,0.05,0.07,0.85,0.14,0.91,0.06,0.33,0.14,0.85,0.06
0.9,0.95,0.34,0.91,0.04,0.93,0.07,0.65,0.32,0.79,0.2,0.2,0.32,0.05,0.07,0.85,0.14,0.9,0.07,0.33,0.14,0.82,0.07
0.91,0.95,0.34,0.91,0.04,0.93,0.07,0.65,0.32,0.79,0.2,0.2,0.32,0.06,0.07,0.86,0.13,0.88,0.08,0.34,0.13,0.8,0.08
0.91,0.95,0.34,0.91,0.04,0.93,0.07,0.65,0.32,0.79,0.2,0.2,0.32,0.05,0.07,0.85,0.14,0.92,0.06,0.33,0.14,0.85,0.06
0.9,0.95,0.31,0.92,0.04,0.93,0.07,0.67,0.31,0.8,0.19,0.16,0.31,0.05,0.07,0.85,0.14,0.87,0.09,0.33,0.14,0.79,0.09
0.9,0.95,0.28,0.93,0.04,0.93,0.07,0.71,0.28,0.82,0.18,0.13,0.28,0.04,0.07,0.84,0.15,0.87,0.08,0.32,0.15,0.81,0.08
