ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.25,0.97,0.01,0.98,0.02,0.89,0.1,0.94,0.06,0.37,0.1,0.1,0.02,0.8,0.18,0.94,0.05,0.27,0.18,0.83,0.05
0.9,0.95,0.23,0.98,0.01,0.99,0.01,0.91,0.08,0.95,0.04,0.34,0.08,0.12,0.01,0.8,0.19,0.89,0.09,0.27,0.19,0.67,0.09
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.78,0.86,0.36,0.74,0.11,0.72,0.23,0.63,0.12,0.68,0.17,0.86,0.12,0.45,0.23,0.91,0.09,0.52,0.21,0.25,0.09,0.73,0.21
0.89,0.94,0.09,1.0,0.0,1.0,0.0,0.97,0.03,0.98,0.01,0.12,0.03,0.29,0.0,0.78,0.2,0.39,0.52,0.26,0.2,0.21,0.52
0.89,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.14,0.99,0.0,1.0,0.0,0.96,0.04,0.98,0.02,0.21,0.04,0.14,0.0,0.79,0.2,0.72,0.23,0.27,0.2,0.42,0.23
0.89,0.94,0.09,1.0,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.14,0.02,0.14,0.0,0.78,0.2,0.6,0.33,0.26,0.2,0.33,0.33
0.9,0.95,0.17,0.99,0.01,0.99,0.01,0.95,0.05,0.97,0.03,0.33,0.05,0.14,0.01,0.79,0.2,0.82,0.15,0.27,0.2,0.56,0.15
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.53,0.65,0.25,0.57,0.14,0.57,0.22,0.67,0.03,0.62,0.12,0.97,0.03,0.69,0.22,0.94,0.06,0.38,0.21,0.18,0.06,0.75,0.21
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.3,0.94,0.03,0.95,0.05,0.82,0.14,0.89,0.1,0.56,0.14,0.32,0.05,0.83,0.16,0.61,0.26,0.28,0.16,0.57,0.26
0.89,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.08,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.27,0.97,0.02,0.98,0.02,0.89,0.09,0.94,0.06,0.55,0.09,0.25,0.02,0.81,0.18,0.74,0.19,0.27,0.18,0.6,0.19
0.34,0.42,0.18,0.51,0.1,0.59,0.12,0.0,1.0,0.29,0.56,0.0,1.0,0.86,0.12,0.0,1.0,0.3,0.22,0.0,1.0,0.75,0.22
0.89,0.94,0.1,0.99,0.0,0.99,0.01,0.97,0.03,0.98,0.02,0.2,0.03,0.04,0.01,0.78,0.2,0.95,0.03,0.26,0.2,0.92,0.03
