ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.17,0.0,1.0,0.32,0.17,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.17,0.0,1.0,0.32,0.17,0.0,1.0
0.89,0.94,0.09,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.33,0.16,0.0,1.0
0.89,0.94,0.17,0.97,0.01,0.98,0.02,0.86,0.13,0.92,0.07,0.05,0.13,0.05,0.02,0.84,0.15,0.5,0.33,0.35,0.15,0.5,0.33
0.89,0.94,0.34,0.9,0.05,0.9,0.1,0.71,0.22,0.8,0.16,0.54,0.22,0.24,0.1,0.89,0.11,0.76,0.13,0.38,0.11,0.77,0.13
0.89,0.94,0.3,0.93,0.03,0.94,0.06,0.75,0.21,0.84,0.14,0.4,0.21,0.2,0.06,0.87,0.12,0.74,0.16,0.38,0.12,0.71,0.16
0.89,0.94,0.12,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.16,0.0,1.0,0.34,0.16,0.0,1.0
0.89,0.94,0.33,0.92,0.04,0.93,0.07,0.71,0.23,0.82,0.15,0.45,0.23,0.24,0.07,0.89,0.11,0.72,0.17,0.39,0.11,0.69,0.17
0.89,0.94,0.18,0.99,0.01,0.99,0.01,0.91,0.09,0.95,0.05,0.11,0.09,0.05,0.01,0.83,0.15,0.88,0.1,0.35,0.15,0.6,0.1
0.89,0.94,0.18,0.98,0.01,0.99,0.01,0.89,0.11,0.94,0.06,0.14,0.11,0.16,0.01,0.84,0.15,0.62,0.31,0.35,0.15,0.38,0.31
0.89,0.94,0.29,0.93,0.03,0.94,0.06,0.75,0.22,0.84,0.14,0.37,0.22,0.18,0.06,0.87,0.12,0.74,0.16,0.38,0.12,0.71,0.16
0.85,0.91,0.39,0.82,0.08,0.81,0.17,0.55,0.22,0.68,0.2,0.71,0.22,0.37,0.17,0.93,0.06,0.66,0.16,0.41,0.06,0.77,0.16
0.89,0.94,0.21,0.97,0.02,0.97,0.03,0.86,0.14,0.92,0.09,0.22,0.14,0.12,0.03,0.84,0.14,0.75,0.17,0.35,0.14,0.67,0.17
0.9,0.94,0.24,0.96,0.02,0.97,0.03,0.81,0.18,0.89,0.1,0.23,0.18,0.12,0.03,0.85,0.13,0.77,0.16,0.37,0.13,0.68,0.16
0.9,0.94,0.24,0.96,0.02,0.96,0.04,0.8,0.19,0.88,0.12,0.21,0.19,0.1,0.04,0.86,0.13,0.78,0.14,0.37,0.13,0.7,0.14
