ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.09,1.0,0.0,0.0,1.0,0.98,0.02,0.49,0.51,0.16,0.02,0.0,1.0,0.8,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.89,0.94,0.26,0.92,0.04,0.92,0.08,0.74,0.23,0.83,0.15,0.37,0.23,0.22,0.08,0.85,0.14,0.6,0.23,0.34,0.14,0.66,0.23
0.89,0.94,0.29,0.92,0.04,0.92,0.07,0.73,0.23,0.82,0.15,0.41,0.23,0.24,0.07,0.86,0.13,0.61,0.23,0.34,0.13,0.64,0.23
0.88,0.94,0.33,0.89,0.05,0.89,0.1,0.67,0.25,0.78,0.17,0.49,0.25,0.26,0.1,0.88,0.11,0.65,0.2,0.35,0.11,0.69,0.2
0.89,0.94,0.31,0.91,0.04,0.92,0.08,0.7,0.25,0.81,0.17,0.4,0.25,0.2,0.08,0.87,0.13,0.67,0.2,0.35,0.13,0.67,0.2
0.9,0.94,0.27,0.94,0.03,0.94,0.06,0.75,0.24,0.84,0.15,0.23,0.24,0.1,0.06,0.85,0.14,0.75,0.16,0.34,0.14,0.7,0.16
0.9,0.94,0.28,0.93,0.04,0.93,0.07,0.73,0.24,0.83,0.15,0.3,0.24,0.13,0.07,0.85,0.14,0.73,0.16,0.35,0.14,0.71,0.16
0.89,0.94,0.28,0.93,0.04,0.93,0.07,0.74,0.23,0.83,0.15,0.32,0.23,0.16,0.07,0.85,0.14,0.69,0.19,0.34,0.14,0.68,0.19
0.89,0.94,0.27,0.93,0.04,0.93,0.07,0.74,0.23,0.83,0.15,0.31,0.23,0.16,0.07,0.85,0.14,0.67,0.2,0.34,0.14,0.67,0.2
0.9,0.94,0.26,0.95,0.03,0.95,0.05,0.79,0.19,0.87,0.12,0.28,0.19,0.12,0.05,0.84,0.15,0.75,0.16,0.33,0.15,0.69,0.16
0.9,0.94,0.25,0.95,0.03,0.95,0.05,0.78,0.2,0.86,0.12,0.26,0.2,0.14,0.05,0.84,0.15,0.69,0.2,0.34,0.15,0.63,0.2
0.9,0.95,0.25,0.97,0.02,0.98,0.02,0.85,0.14,0.92,0.08,0.26,0.14,0.09,0.02,0.83,0.16,0.88,0.09,0.32,0.16,0.76,0.09
0.9,0.94,0.2,0.97,0.01,0.98,0.02,0.88,0.12,0.93,0.07,0.22,0.12,0.1,0.02,0.82,0.17,0.78,0.16,0.32,0.17,0.63,0.16
0.9,0.94,0.2,0.98,0.01,0.98,0.02,0.89,0.11,0.94,0.07,0.23,0.11,0.11,0.02,0.82,0.17,0.76,0.17,0.31,0.17,0.61,0.17
0.9,0.95,0.22,0.97,0.02,0.98,0.02,0.87,0.13,0.93,0.07,0.25,0.13,0.1,0.02,0.82,0.16,0.82,0.13,0.32,0.16,0.71,0.13
0.9,0.95,0.23,0.97,0.02,0.98,0.02,0.85,0.14,0.92,0.08,0.27,0.14,0.17,0.02,0.83,0.16,0.68,0.23,0.32,0.16,0.53,0.23
0.9,0.94,0.22,0.97,0.02,0.98,0.02,0.85,0.14,0.92,0.08,0.27,0.14,0.18,0.02,0.83,0.16,0.65,0.25,0.32,0.16,0.53,0.25
0.9,0.94,0.2,0.97,0.01,0.99,0.01,0.87,0.13,0.93,0.07,0.19,0.13,0.17,0.01,0.82,0.16,0.61,0.3,0.32,0.16,0.43,0.3
0.89,0.94,0.18,0.97,0.01,0.98,0.02,0.88,0.12,0.93,0.07,0.18,0.12,0.12,0.02,0.82,0.17,0.63,0.26,0.32,0.17,0.54,0.26
0.9,0.94,0.19,0.97,0.01,0.98,0.02,0.87,0.12,0.93,0.07,0.17,0.12,0.12,0.02,0.82,0.17,0.62,0.27,0.32,0.17,0.53,0.27
0.9,0.94,0.19,0.98,0.01,0.99,0.01,0.89,0.11,0.94,0.06,0.14,0.11,0.08,0.01,0.82,0.17,0.73,0.2,0.31,0.17,0.54,0.2
0.9,0.94,0.19,0.98,0.01,0.99,0.01,0.87,0.13,0.93,0.07,0.13,0.13,0.17,0.01,0.82,0.16,0.49,0.4,0.32,0.16,0.36,0.4
0.9,0.94,0.19,0.98,0.01,0.99,0.01,0.88,0.12,0.94,0.07,0.11,0.12,0.12,0.01,0.82,0.17,0.61,0.32,0.32,0.17,0.36,0.32
0.9,0.95,0.2,0.98,0.01,0.99,0.01,0.89,0.11,0.94,0.06,0.12,0.11,0.06,0.01,0.82,0.17,0.82,0.15,0.32,0.17,0.56,0.15
0.9,0.95,0.2,0.98,0.01,0.99,0.01,0.89,0.11,0.94,0.06,0.12,0.11,0.03,0.01,0.82,0.17,0.98,0.01,0.32,0.17,0.93,0.01
0.9,0.94,0.2,0.97,0.02,0.98,0.02,0.85,0.14,0.92,0.08,0.13,0.14,0.08,0.02,0.83,0.16,0.69,0.22,0.32,0.16,0.55,0.22
0.9,0.94,0.2,0.97,0.01,0.98,0.02,0.86,0.13,0.92,0.07,0.14,0.13,0.09,0.02,0.82,0.16,0.69,0.23,0.32,0.16,0.54,0.23
0.9,0.94,0.2,0.97,0.01,0.98,0.02,0.87,0.13,0.93,0.07,0.12,0.13,0.07,0.02,0.82,0.16,0.75,0.19,0.32,0.16,0.58,0.19
0.9,0.94,0.2,0.97,0.01,0.98,0.02,0.86,0.14,0.92,0.08,0.14,0.14,0.09,0.02,0.82,0.16,0.66,0.24,0.32,0.16,0.56,0.24
0.9,0.94,0.2,0.97,0.02,0.97,0.03,0.85,0.14,0.91,0.09,0.13,0.14,0.08,0.03,0.82,0.16,0.67,0.23,0.32,0.16,0.57,0.23
0.9,0.94,0.2,0.97,0.02,0.97,0.03,0.85,0.14,0.91,0.09,0.13,0.14,0.08,0.03,0.82,0.16,0.67,0.23,0.32,0.16,0.57,0.23
0.9,0.94,0.19,0.97,0.01,0.98,0.02,0.86,0.13,0.92,0.07,0.1,0.13,0.06,0.02,0.82,0.16,0.69,0.22,0.32,0.16,0.56,0.22
0.9,0.94,0.18,0.97,0.01,0.98,0.02,0.87,0.12,0.93,0.07,0.11,0.12,0.04,0.02,0.82,0.17,0.81,0.13,0.32,0.17,0.69,0.13
0.9,0.94,0.19,0.98,0.01,0.99,0.01,0.88,0.12,0.94,0.07,0.11,0.12,0.04,0.01,0.82,0.17,0.87,0.1,0.32,0.17,0.7,0.1
0.9,0.94,0.19,0.98,0.01,0.99,0.01,0.89,0.11,0.94,0.06,0.12,0.11,0.04,0.01,0.82,0.17,0.88,0.09,0.32,0.17,0.72,0.09
0.9,0.94,0.19,0.98,0.01,0.99,0.01,0.89,0.11,0.94,0.06,0.12,0.11,0.04,0.01,0.82,0.17,0.88,0.09,0.32,0.17,0.72,0.09
0.9,0.94,0.18,0.98,0.01,0.98,0.02,0.89,0.11,0.94,0.07,0.12,0.11,0.02,0.02,0.82,0.17,0.89,0.09,0.31,0.17,0.69,0.09
0.9,0.95,0.2,0.97,0.02,0.98,0.02,0.84,0.16,0.91,0.09,0.07,0.16,0.03,0.02,0.83,0.16,0.83,0.12,0.33,0.16,0.69,0.12
0.9,0.95,0.21,0.97,0.01,0.98,0.02,0.85,0.15,0.92,0.08,0.09,0.15,0.03,0.02,0.83,0.16,0.88,0.09,0.32,0.16,0.73,0.09
0.9,0.94,0.21,0.97,0.02,0.98,0.02,0.85,0.15,0.92,0.08,0.13,0.15,0.06,0.02,0.83,0.16,0.76,0.17,0.32,0.16,0.63,0.17
