ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.11,1.0,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.13,0.03,0.0,1.0,0.8,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.89,0.94,0.09,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.89,0.94,0.15,0.99,0.0,0.0,1.0,0.95,0.05,0.47,0.53,0.19,0.05,0.0,1.0,0.81,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.89,0.94,0.14,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.16,0.04,0.0,1.0,0.8,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.9,0.94,0.19,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.26,0.07,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.94,0.18,0.99,0.01,0.0,1.0,0.92,0.08,0.46,0.54,0.19,0.08,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.89,0.94,0.15,0.99,0.0,0.0,1.0,0.95,0.05,0.47,0.53,0.13,0.05,0.0,1.0,0.81,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.9,0.95,0.21,0.99,0.01,1.0,0.0,0.95,0.05,0.97,0.03,0.53,0.05,0.62,0.0,0.81,0.17,0.61,0.37,0.3,0.17,0.12,0.37
0.9,0.95,0.21,0.99,0.01,1.0,0.0,0.94,0.05,0.97,0.03,0.49,0.05,0.62,0.0,0.81,0.17,0.59,0.39,0.3,0.17,0.12,0.39
0.9,0.95,0.19,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.24,0.07,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.21,0.99,0.01,0.0,1.0,0.94,0.05,0.47,0.53,0.45,0.05,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.21,0.99,0.01,0.0,1.0,0.94,0.06,0.47,0.53,0.41,0.06,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.21,0.99,0.01,1.0,0.0,0.96,0.04,0.98,0.02,0.63,0.04,0.95,0.0,0.81,0.17,0.65,0.32,0.3,0.17,0.24,0.32
0.9,0.95,0.19,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.3,0.07,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.2,0.99,0.01,0.0,1.0,0.94,0.06,0.47,0.53,0.37,0.06,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.94,0.18,0.99,0.01,0.0,1.0,0.93,0.06,0.47,0.53,0.25,0.06,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.2,0.99,0.01,1.0,0.0,0.94,0.06,0.97,0.03,0.41,0.06,0.97,0.0,0.81,0.17,0.65,0.33,0.3,0.17,0.14,0.33
0.9,0.95,0.2,0.99,0.01,0.0,1.0,0.94,0.06,0.47,0.53,0.37,0.06,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.22,0.99,0.01,1.0,0.0,0.95,0.05,0.97,0.03,0.56,0.05,0.68,0.0,0.81,0.17,0.65,0.33,0.3,0.17,0.14,0.33
0.9,0.95,0.21,0.99,0.01,0.0,1.0,0.94,0.06,0.47,0.53,0.41,0.06,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.22,0.99,0.01,1.0,0.0,0.97,0.03,0.98,0.01,0.7,0.03,0.97,0.0,0.81,0.17,0.65,0.31,0.3,0.17,0.24,0.31
0.9,0.95,0.2,0.99,0.01,0.0,1.0,0.94,0.06,0.47,0.53,0.37,0.06,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.19,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.26,0.07,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.94,0.19,0.99,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.28,0.07,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.22,0.99,0.01,1.0,0.0,0.96,0.04,0.98,0.02,0.67,0.04,0.8,0.0,0.81,0.17,0.6,0.36,0.3,0.17,0.21,0.36
0.9,0.95,0.2,0.99,0.01,0.0,1.0,0.93,0.06,0.47,0.53,0.33,0.06,0.0,1.0,0.81,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.21,0.99,0.01,1.0,0.0,0.95,0.05,0.97,0.03,0.53,0.05,0.73,0.0,0.81,0.17,0.67,0.3,0.3,0.17,0.25,0.3
0.9,0.94,0.21,0.99,0.01,1.0,0.0,0.97,0.03,0.98,0.01,0.74,0.03,0.83,0.0,0.81,0.18,0.64,0.3,0.29,0.18,0.32,0.3
0.9,0.94,0.18,0.99,0.0,0.0,1.0,0.94,0.06,0.47,0.53,0.27,0.06,0.0,1.0,0.81,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.9,0.94,0.18,0.99,0.0,0.0,1.0,0.94,0.06,0.47,0.53,0.27,0.06,0.0,1.0,0.81,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.9,0.94,0.21,0.99,0.01,1.0,0.0,0.97,0.03,0.98,0.01,0.73,0.03,0.93,0.0,0.81,0.17,0.58,0.36,0.3,0.17,0.27,0.36
0.9,0.95,0.22,0.99,0.01,0.0,1.0,0.95,0.05,0.47,0.53,0.53,0.05,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.94,0.21,0.99,0.01,1.0,0.0,0.96,0.04,0.98,0.02,0.63,0.04,0.85,0.0,0.81,0.17,0.59,0.37,0.3,0.17,0.21,0.37
0.9,0.95,0.2,0.99,0.01,0.0,1.0,0.94,0.05,0.47,0.53,0.45,0.05,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.21,0.99,0.01,1.0,0.0,0.94,0.05,0.97,0.03,0.49,0.05,0.68,0.0,0.81,0.17,0.62,0.36,0.3,0.17,0.13,0.36
0.9,0.94,0.2,0.99,0.01,1.0,0.0,0.95,0.05,0.97,0.03,0.56,0.05,0.97,0.0,0.81,0.17,0.59,0.37,0.3,0.17,0.21,0.37
0.9,0.94,0.21,0.99,0.01,1.0,0.0,0.96,0.03,0.98,0.01,0.7,0.03,0.98,0.0,0.81,0.17,0.59,0.35,0.3,0.17,0.28,0.35
0.9,0.94,0.21,0.99,0.01,1.0,0.0,0.97,0.03,0.98,0.01,0.7,0.03,0.8,0.0,0.81,0.17,0.6,0.36,0.3,0.17,0.22,0.36
0.9,0.94,0.21,0.99,0.01,1.0,0.0,0.97,0.03,0.98,0.01,0.7,0.03,0.76,0.0,0.81,0.17,0.58,0.37,0.3,0.17,0.21,0.37
0.9,0.95,0.21,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.6,0.04,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.89,0.94,0.2,0.99,0.01,1.0,0.0,0.96,0.04,0.98,0.02,0.69,0.04,0.85,0.0,0.81,0.17,0.5,0.42,0.3,0.17,0.28,0.42
0.9,0.95,0.21,0.99,0.01,1.0,0.0,0.96,0.04,0.98,0.02,0.6,0.04,0.97,0.0,0.81,0.17,0.61,0.35,0.3,0.17,0.22,0.35
0.89,0.94,0.21,0.99,0.01,1.0,0.0,0.96,0.04,0.98,0.02,0.69,0.04,0.68,0.0,0.81,0.17,0.5,0.44,0.3,0.17,0.22,0.44
0.89,0.94,0.21,0.99,0.0,0.99,0.01,0.97,0.03,0.98,0.02,0.76,0.03,0.45,0.01,0.81,0.17,0.49,0.46,0.3,0.17,0.16,0.46
0.9,0.94,0.2,0.99,0.0,0.0,1.0,0.95,0.05,0.47,0.53,0.52,0.05,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.94,0.22,0.99,0.01,1.0,0.0,0.97,0.03,0.98,0.01,0.76,0.03,0.85,0.0,0.81,0.17,0.58,0.37,0.29,0.17,0.26,0.37
0.9,0.94,0.2,0.99,0.01,1.0,0.0,0.96,0.04,0.98,0.02,0.63,0.04,0.8,0.0,0.81,0.17,0.57,0.39,0.3,0.17,0.21,0.39
0.9,0.95,0.21,0.99,0.01,0.0,1.0,0.94,0.06,0.47,0.53,0.46,0.06,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
